category,selected_start_year,selected_window_end_year,selected_divergence_smoothed,selected_divergence_raw,best_possible_divergence_smoothed
PTS_per36,1977,1991,0.08154163104492954,0.058719721612427805,0.06734273287307517
TRB_per36,1958,1972,0.03501084203689005,0.03364653329417799,0.030196863448285517
AST_per36,1963,1977,0.033971589493358184,0.03053883878543002,0.030265322808319582
STL_per36,1974,1988,0.11273999745418244,0.08812588139994817,0.09914690180640921
BLK_per36,1976,1990,0.05547565560291873,0.042275374386498844,0.04558376368408969
TOV_per36,1970,1984,0.1071914970241086,0.11617585957560615,0.08892709692925306
PF_per36,1958,1972,0.20375248267210763,0.20156560296362064,0.17400650229941336
TS_pct,1961,1975,0.3546506321356552,0.3019915250558694,0.2994203249349302
