category,start_year,divergence,n_matched_ages
PTS_per36,1985,0.02853225372384076,20
PTS_per36,1987,0.024978611535931738,20
PTS_per36,1989,0.025771028150143052,20
PTS_per36,1991,0.024154636135689207,20
PTS_per36,1993,0.022320349058065177,20
PTS_per36,1995,0.02512427089334787,20
PTS_per36,1997,0.02221643388207054,20
PTS_per36,1999,0.01698748561595012,20
PTS_per36,2001,0.022460408475605046,20
PTS_per36,2003,0.014792611173234839,20
PTS_per36,2005,0.0,20
TRB_per36,1985,0.012150525954274637,20
TRB_per36,1987,0.010500753242486375,20
TRB_per36,1989,0.01098956042550556,20
TRB_per36,1991,0.011496062390168453,20
TRB_per36,1993,0.011959237786894483,20
TRB_per36,1995,0.01110501521453893,20
TRB_per36,1997,0.0078019862768651475,20
TRB_per36,1999,0.007246648025600415,20
TRB_per36,2001,0.006942832783605099,20
TRB_per36,2003,0.007400314710979309,20
TRB_per36,2005,0.0,20
AST_per36,1985,0.03549869307118772,20
AST_per36,1987,0.03290441489930514,20
AST_per36,1989,0.032117895060648965,20
AST_per36,1991,0.030787198601556067,20
AST_per36,1993,0.028715477331280357,20
AST_per36,1995,0.02655187786399687,20
AST_per36,1997,0.026580191855793595,20
AST_per36,1999,0.023801409927458644,20
AST_per36,2001,0.0198105164111353,20
AST_per36,2003,0.008259232081013547,20
AST_per36,2005,0.0,20
STL_per36,1985,0.11905943023484869,20
STL_per36,1987,0.12375307191598724,20
STL_per36,1989,0.1257828381792012,20
STL_per36,1991,0.11883565854709263,20
STL_per36,1993,0.11937147928679855,20
STL_per36,1995,0.11678695268593046,20
STL_per36,1997,0.10873020643631268,20
STL_per36,1999,0.07677677286935933,20
STL_per36,2001,0.041846707801737354,20
STL_per36,2003,0.015657521034975728,20
STL_per36,2005,0.0,20
BLK_per36,1985,0.011219839330303646,20
BLK_per36,1987,0.012623939553247239,20
BLK_per36,1989,0.013443690732862603,20
BLK_per36,1991,0.014283957842624697,20
BLK_per36,1993,0.013668231652302736,20
BLK_per36,1995,0.011769871838407936,20
BLK_per36,1997,0.017244687294888098,20
BLK_per36,1999,0.014948790688666653,20
BLK_per36,2001,0.015860355773374836,20
BLK_per36,2003,0.007402705856681043,20
BLK_per36,2005,0.0,20
TOV_per36,1985,0.1018271949430757,20
TOV_per36,1987,0.0984130288446991,20
TOV_per36,1989,0.10366395298800136,20
TOV_per36,1991,0.10512118271452932,20
TOV_per36,1993,0.11013275908070097,20
TOV_per36,1995,0.10158933286679495,20
TOV_per36,1997,0.0933078860524949,20
TOV_per36,1999,0.04434772444636322,20
TOV_per36,2001,0.019630852289582876,20
TOV_per36,2003,0.01413604510167597,20
TOV_per36,2005,0.0,20
PF_per36,1985,0.08116562455508085,20
PF_per36,1987,0.07646983949893897,20
PF_per36,1989,0.08133215760757163,20
PF_per36,1991,0.08024314088846946,20
PF_per36,1993,0.07604540389267103,20
PF_per36,1995,0.04901473707896934,20
PF_per36,1997,0.03284777846870765,20
PF_per36,1999,0.029547471809261896,20
PF_per36,2001,0.02152350016254842,20
PF_per36,2003,0.01879171834838639,20
PF_per36,2005,0.0,20
TS_pct,1985,0.33322740886944374,20
TS_pct,1987,0.31788503531082235,20
TS_pct,1989,0.34119877163354156,20
TS_pct,1991,0.35796906750546265,20
TS_pct,1993,0.38313331809168316,20
TS_pct,1995,0.28397937553125674,20
TS_pct,1997,0.29018793942705445,20
TS_pct,1999,0.20246472053100606,20
TS_pct,2001,0.1331752363764025,20
TS_pct,2003,0.08075455753516354,20
TS_pct,2005,0.0,20
