draft_year,Rk,Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG_pct,3P_pct,FT_pct,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS_per48,BPM,VORP
1950,36.0,36.0,SYR,Stan Christie,USC,,,,,,,,,,,,,,,,,
1950,37.0,37.0,BOS,Ken Reeves,Louisville,,,,,,,,,,,,,,,,,
1950,38.0,38.0,BLB,Jerry Reed,Wyoming,,,,,,,,,,,,,,,,,
1950,39.0,39.0,PHW,Paul Senesky,Saint Joseph's,,,,,,,,,,,,,,,,,
1950,40.0,40.0,TRI,Paul Hicks,Eastern Kentucky University,,,,,,,,,,,,,,,,,
1950,41.0,41.0,WSC,Tommy O'Keefe,Georgetown,1.0,6.0,,23.0,7.0,10.0,0.357,,0.75,,3.8,1.2,1.7,0.1,,,
1950,42.0,42.0,CHS,Ken Murray,St. Bonaventure,3.0,181.0,2118.0,1471.0,599.0,482.0,0.335,,0.747,18.4,8.1,3.3,2.7,3.6,0.0,,
1950,43.0,43.0,NYK,Joe Ossola,Saint Louis,,,,,,,,,,,,,,,,,
1950,44.0,44.0,FTW,Lenny Rzeszewski,Indiana State University,,,,,,,,,,,,,,,,,
1950,45.0,45.0,INO,Jim Line,Kentucky,,,,,,,,,,,,,,,,,
1950,46.0,46.0,ROC,Chet Giermak,William & Mary,,,,,,,,,,,,,,,,,
1950,47.0,47.0,MNL,Bud Grant,Minnesota,2.0,96.0,,249.0,115.0,90.0,0.318,,0.59,,2.6,1.9,0.9,1.1,,,
1950,48.0,48.0,SYR,Paul Merchant,Oklahoma,,,,,,,,,,,,,,,,,
1950,49.0,49.0,BOS,Jack Shelton,Oklahoma State,,,,,,,,,,,,,,,,,
1950,50.0,50.0,BLB,Norm Mager,City College of New York,1.0,24.0,,124.0,47.0,23.0,0.282,,0.786,,5.2,2.0,1.0,0.0,,,
1950,51.0,51.0,PHW,Ike Borsavage,Temple,1.0,24.0,,64.0,24.0,4.0,0.351,,0.667,,2.7,1.0,0.2,0.1,,,
1950,52.0,52.0,TRI,Cal Christensen,Toledo,5.0,291.0,4009.0,1507.0,1587.0,460.0,0.33,,0.606,17.9,5.2,5.5,1.6,8.2,0.06,,
1950,53.0,53.0,WSC,Claude Overton,East Central University,1.0,15.0,182.0,58.0,25.0,15.0,0.253,,0.667,12.1,3.9,1.7,1.0,-0.4,-0.115,,
1950,54.0,54.0,CHS,Don Stroot,Missouri,,,,,,,,,,,,,,,,,
1950,55.0,55.0,NYK,Dick Barnes,San Diego State,,,,,,,,,,,,,,,,,
1950,56.0,56.0,FTW,Leroy Thompson,Kent State University,,,,,,,,,,,,,,,,,
1950,57.0,57.0,INO,Sonny Allen,Morehead State University,,,,,,,,,,,,,,,,,
1950,58.0,58.0,ROC,Joe Nelson,BYU,,,,,,,,,,,,,,,,,
1950,59.0,59.0,MNL,Ed Beach,West Virginia,1.0,12.0,,22.0,25.0,3.0,0.211,,0.667,,1.8,2.1,0.3,-0.3,,,
1950,60.0,60.0,SYR,Paul Hickey,Denver,,,,,,,,,,,,,,,,,
1950,61.0,61.0,BOS,Mo Mahoney,Brown University,2.0,8.0,45.0,12.0,9.0,2.0,0.333,,0.8,5.6,1.5,1.1,0.3,0.0,0.034,,
1950,62.0,62.0,BLB,Rick Harman,Kansas State,,,,,,,,,,,,,,,,,
1950,63.0,63.0,PHW,Dick Dallmer,Cincinnati,,,,,,,,,,,,,,,,,
1950,64.0,64.0,TRI,Bob Anderson,Loyola (MD),,,,,,,,,,,,,,,,,
1950,65.0,65.0,WSC,Warren Cartier,NC State,,,,,,,,,,,,,,,,,
1950,66.0,66.0,CHS,Stu Inman,San Jose State,,,,,,,,,,,,,,,,,
1950,67.0,67.0,NYK,Don Parsons,Rutgers University,,,,,,,,,,,,,,,,,
1950,68.0,68.0,FTW,Bob Metcalf,Valparaiso,,,,,,,,,,,,,,,,,
1950,69.0,69.0,INO,Ralph O'Brien,Butler,2.0,119.0,2335.0,848.0,192.0,180.0,0.36,,0.83,19.6,7.1,1.6,1.5,3.1,0.064,,
1950,70.0,70.0,ROC,John Givens,Western Kentucky,,,,,,,,,,,,,,,,,
1950,71.0,71.0,MNL,Wayne Glasgow,Oklahoma,,,,,,,,,,,,,,,,,
1950,72.0,72.0,SYR,Mack Suprunowicz,Michigan,,,,,,,,,,,,,,,,,
1950,73.0,73.0,BOS,Dale Barnstable,Kentucky,,,,,,,,,,,,,,,,,
1950,74.0,74.0,BLB,E. Francis Comerford,La Salle,,,,,,,,,,,,,,,,,
1950,75.0,75.0,PHW,Charles Northrup,Siena College,,,,,,,,,,,,,,,,,
1950,76.0,76.0,TRI,Bill Erickson,Illinois,,,,,,,,,,,,,,,,,
1950,77.0,77.0,WSC,Jim Cathcart,Arkansas,,,,,,,,,,,,,,,,,
1950,78.0,78.0,CHS,Milt Whitehead,Nebraska,,,,,,,,,,,,,,,,,
1950,79.0,79.0,NYK,Dan Bagley,Notre Dame,,,,,,,,,,,,,,,,,
1950,80.0,80.0,FTW,Hugh Jones,Tennessee,,,,,,,,,,,,,,,,,
1950,81.0,81.0,INO,Leon Blevins,Arizona,1.0,2.0,,2.0,2.0,1.0,0.25,,0.0,,1.0,1.0,0.5,0.0,,,
1950,82.0,82.0,ROC,Dan Kahler,Southwestern College,,,,,,,,,,,,,,,,,
1950,83.0,83.0,MNL,Joe Hutton,Hamline University,2.0,120.0,723.0,302.0,187.0,115.0,0.331,,0.69,12.1,2.5,1.6,1.0,2.2,0.102,,
1950,84.0,84.0,SYR,Lou Arko,University of Akron,,,,,,,,,,,,,,,,,
1950,85.0,85.0,BOS,Frank Oftring,Holy Cross,,,,,,,,,,,,,,,,,
1950,86.0,86.0,BLB,George Bush,Toledo,,,,,,,,,,,,,,,,,
1950,87.0,87.0,PHW,Brooks Ricca,Villanova,,,,,,,,,,,,,,,,,
1950,88.0,88.0,TRI,Loy Doty,Wyoming,,,,,,,,,,,,,,,,,
1950,89.0,89.0,WSC,Joe Greenbach,Santa Clara,,,,,,,,,,,,,,,,,
1950,90.0,90.0,CHS,George King,University of Charleston,6.0,411.0,13408.0,4219.0,1606.0,1958.0,0.382,,0.642,32.6,10.3,3.9,4.8,31.4,0.113,,
1950,91.0,91.0,NYK,Charles Hope,Appalachian State University,,,,,,,,,,,,,,,,,
1950,92.0,92.0,FTW,Billy Joe Adcock,Vanderbilt,,,,,,,,,,,,,,,,,
1950,93.0,93.0,INO,Jerry Stuteville,Indiana,,,,,,,,,,,,,,,,,
1950,94.0,94.0,ROC,Carl Kraushaar,UCLA,,,,,,,,,,,,,,,,,
1950,95.0,95.0,MNL,Newt Benson,Wisconsin-River Falls,,,,,,,,,,,,,,,,,
1950,96.0,96.0,SYR,Bob Healey,Georgia,,,,,,,,,,,,,,,,,
1950,97.0,97.0,BOS,Bob Cope,Montana,,,,,,,,,,,,,,,,,
1950,98.0,98.0,BLB,Jack Laub,Cincinnati,,,,,,,,,,,,,,,,,
1950,99.0,99.0,PHW,Joel Kaufman,NYU,,,,,,,,,,,,,,,,,
1950,100.0,100.0,TRI,Nate DeLong,Wisconsin-River Falls,1.0,17.0,132.0,64.0,31.0,14.0,0.476,,0.686,7.8,3.8,1.8,0.8,0.8,0.309,,
1950,101.0,101.0,WSC,Earl Lloyd,West Virginia State University,9.0,560.0,14477.0,4682.0,3609.0,810.0,0.356,,0.75,26.2,8.4,6.4,1.4,19.1,0.062,,
1950,102.0,102.0,CHS,John Brown,Georgetown,,,,,,,,,,,,,,,,,
1950,103.0,103.0,NYK,Don Heathington,Baylor,,,,,,,,,,,,,,,,,
1950,104.0,104.0,FTW,Al Henningsen,Northwest Missouri State University,,,,,,,,,,,,,,,,,
1950,105.0,105.0,INO,Gene Schmidt,TCU,,,,,,,,,,,,,,,,,
1950,106.0,106.0,ROC,Warren Switzer,Rice University,,,,,,,,,,,,,,,,,
1950,107.0,107.0,MNL,Jim Reilly,Swarthmore College,,,,,,,,,,,,,,,,,
1950,108.0,108.0,SYR,Bob Savage,Syracuse,,,,,,,,,,,,,,,,,
1950,109.0,109.0,BOS,Matty Forman,Holy Cross,,,,,,,,,,,,,,,,,
1950,110.0,110.0,BLB,Mike Zedalis,Loyola (MD),,,,,,,,,,,,,,,,,
1950,111.0,111.0,PHW,Bernie Adams,Princeton,,,,,,,,,,,,,,,,,
1950,112.0,112.0,TRI,Keith Bloom,Wyoming,,,,,,,,,,,,,,,,,
1950,113.0,113.0,WSC,Joe Noertker,Virginia,,,,,,,,,,,,,,,,,
1950,114.0,114.0,CHS,Bud Schaeffer,Wheaton College,,,,,,,,,,,,,,,,,
1950,115.0,115.0,INO,Colin Anderson,Georgia Tech,,,,,,,,,,,,,,,,,
1950,116.0,116.0,ROC,Harry Foley,Niagara University,,,,,,,,,,,,,,,,,
1950,117.0,117.0,MNL,Andy Butchko,Purdue,,,,,,,,,,,,,,,,,
1950,118.0,118.0,SYR,Glenn Wilkes,Mercer University,,,,,,,,,,,,,,,,,
1950,119.0,119.0,PHW,Leo Wolf,Villanova,,,,,,,,,,,,,,,,,
1950,120.0,120.0,INO,Jimmy Doyle,Butler,,,,,,,,,,,,,,,,,
1950,121.0,121.0,PHW,Ed Montgomery,Tennessee,,,,,,,,,,,,,,,,,
1951,1.0,10.0,MNL,Whitey Skoog,Minnesota,6.0,341.0,9193.0,2800.0,1133.0,903.0,0.388,,0.799,27.0,8.2,3.3,2.6,14.3,0.075,,
1951,2.0,1.0,BLB,Gene Melchiorre,Bradley,,,,,,,,,,,,,,,,,
1951,3.0,2.0,TRI,Mel Hutchins,BYU,7.0,437.0,16574.0,4851.0,4186.0,1298.0,0.389,,0.673,37.9,11.1,9.6,3.0,27.9,0.081,,
1951,4.0,3.0,INO,Marcus Freiberger,Oklahoma,,,,,,,,,,,,,,,,,
1951,5.0,4.0,FTW,Zeke Sinicola,Niagara University,2.0,12.0,48.0,13.0,2.0,3.0,0.25,,0.375,4.0,1.1,0.2,0.3,-0.2,-0.223,,
1951,6.0,5.0,SYR,John McConathy,Northwestern State University,1.0,11.0,106.0,14.0,20.0,8.0,0.138,,0.429,9.6,1.3,1.8,0.7,-0.5,-0.214,,
1951,7.0,6.0,NYK,Ed Smith,Harvard University,1.0,12.0,127.0,35.0,32.0,10.0,0.286,,0.538,10.6,2.9,2.7,0.8,-0.3,-0.105,,
1951,8.0,7.0,BOS,Ernie Barrett,Kansas State,2.0,131.0,2092.0,641.0,343.0,229.0,0.369,,0.748,16.0,4.9,2.6,1.7,0.8,0.017,,
1951,9.0,8.0,ROC,Sam Ranzino,NC State,1.0,39.0,234.0,86.0,39.0,25.0,0.333,,0.703,6.0,2.2,1.0,0.6,0.2,0.038,,
1951,10.0,9.0,PHW,Don Sunderlage,Illinois,2.0,113.0,2636.0,874.0,281.0,224.0,0.326,,0.732,23.3,7.7,2.5,2.0,2.7,0.049,,
1951,11.0,11.0,BLB,Jack Stone,Kansas State,,,,,,,,,,,,,,,,,
