category,start_year,end_year,divergence,n_matched_ages,divergence_smoothed
PTS_per36,1955,1969,0.19329626298021962,11,0.19720159544378915
PTS_per36,1956,1970,0.17118390748519735,11,0.19796901631312702
PTS_per36,1957,1971,0.22712461586595054,12,0.19216241394394787
PTS_per36,1958,1972,0.20027127892114058,12,0.18316097839923207
PTS_per36,1959,1973,0.16893600446723123,12,0.1751212853752088
PTS_per36,1960,1974,0.14828908525664067,12,0.15074517702250784
PTS_per36,1961,1975,0.1309854423650809,12,0.1350096051171557
PTS_per36,1962,1976,0.10524407410244575,12,0.12435078071694897
PTS_per36,1963,1977,0.12159341939438004,13,0.11477033259650796
PTS_per36,1964,1978,0.1156418824661975,13,0.1029584836276201
PTS_per36,1965,1979,0.10038684465443552,13,0.09928567488500407
PTS_per36,1966,1980,0.07192619752064168,14,0.09834661893090754
PTS_per36,1967,1981,0.0868800303893656,14,0.09814701486423646
PTS_per36,1968,1982,0.11689813962389746,14,0.09699636143485464
PTS_per36,1969,1983,0.11464386213284207,14,0.1015866249210873
PTS_per36,1970,1984,0.09463357750752634,14,0.10518439988871049
PTS_per36,1971,1985,0.09487751495180506,14,0.109288230485344
PTS_per36,1972,1986,0.10486890522748153,14,0.10784575930475619
PTS_per36,1973,1987,0.13741729260706495,14,0.10967231223675997
PTS_per36,1974,1988,0.10743150622990304,14,0.10932346352651227
PTS_per36,1975,1989,0.10376634216754531,14,0.10009362680350153
PTS_per36,1976,1990,0.09313327140056656,14,0.08851832334905733
PTS_per36,1977,1991,0.058719721612427805,14,0.08154163104492954
PTS_per36,1978,1992,0.07954077533484401,15,0.07354008396410314
PTS_per36,1979,1993,0.07254804470926404,15,0.06734273287307517
PTS_per36,1980,1994,0.0637586067634132,15,0.06978190607712757
PTS_per36,1981,1995,0.062146515945426806,15,0.07054872649501823
PTS_per36,1982,1996,0.07091558763268982,15,0.0745471454062693
PTS_per36,1983,1997,0.08337487742429732,16,0.0773905726227176
PTS_per36,1984,1998,0.09254013926551936,16,0.09963919817796454
PTS_per36,1985,1999,0.07797574284565474,16,0.11188864161278618
PTS_per36,1986,2000,0.17338964372166146,18,0.11579194420212317
PTS_per36,1987,2001,0.13216280480679798,18,0.12098634674977549
PTS_per36,1988,2002,0.10289139037098234,18,0.14519681278379853
PTS_per36,1989,2003,0.11851215200378087,19,0.13814860504933282
PTS_per36,1990,2004,0.19902807301577002,20,0.14014387179684443
TRB_per36,1955,1969,0.06751821892944938,11,0.051686425192330354
TRB_per36,1956,1970,0.04896846064210209,11,0.047176452217792264
TRB_per36,1957,1971,0.038572596005439594,12,0.043137554281816856
TRB_per36,1958,1972,0.03364653329417799,12,0.03501084203689005
TRB_per36,1959,1973,0.026981962537915218,12,0.030644077265527158
TRB_per36,1960,1974,0.026884657704815355,12,0.030196863448285517
TRB_per36,1961,1975,0.027134636785287634,12,0.0529305535164585
TRB_per36,1962,1976,0.036336526919231386,12,0.0657945595059938
TRB_per36,1963,1977,0.1473149836350429,13,0.07713532010215186
TRB_per36,1964,1978,0.0913019924855918,13,0.09233051031187599
TRB_per36,1965,1979,0.0835884606856056,13,0.10511273455037107
TRB_per36,1966,1980,0.1031105878339083,14,0.09676750044107119
TRB_per36,1967,1981,0.10024764811170678,14,0.09459672577852708
TRB_per36,1968,1982,0.10558881308854343,14,0.09648470473454974
TRB_per36,1969,1983,0.0804481191728713,14,0.09286550756493875
TRB_per36,1970,1984,0.09302835546571889,14,0.08831134896680547
TRB_per36,1971,1985,0.08501460198585335,14,0.08627394751700204
TRB_per36,1972,1986,0.0774768551210404,14,0.08523475458580079
TRB_per36,1973,1987,0.09540180583952626,14,0.07972471392574117
TRB_per36,1974,1988,0.075252154516865,14,0.07582096018914836
TRB_per36,1975,1989,0.06547815216542083,14,0.07327679984841244
TRB_per36,1976,1990,0.06549583330288927,14,0.06895597529590651
TRB_per36,1977,1991,0.06475605341736085,14,0.06616182894747737
TRB_per36,1978,1992,0.07379768307699662,15,0.06453154726940444
TRB_per36,1979,1993,0.0612814227747192,15,0.06083523359511358
TRB_per36,1980,1994,0.0573267437750563,15,0.05538831042664779
TRB_per36,1981,1995,0.04701426493143493,15,0.05112725952978046
TRB_per36,1982,1996,0.037521437575031895,15,0.04689555461340393
TRB_per36,1983,1997,0.05249242859265997,16,0.04568979922343601
TRB_per36,1984,1998,0.040122898192836556,16,0.07850247475178544
TRB_per36,1985,1999,0.0512979668252167,16,0.09791148325450447
TRB_per36,1986,2000,0.2110776425731821,18,0.10987993524212589
TRB_per36,1987,2001,0.13456648008862704,18,0.12105923545881488
TRB_per36,1988,2002,0.11233468853076709,18,0.12748730201836472
TRB_per36,1989,2003,0.09601939927628146,19,0.10658971687966039
TRB_per36,1990,2004,0.08343829962296595,20,0.09726412914333817
AST_per36,1955,1969,0.0625046116609929,11,0.05628999508143809
AST_per36,1956,1970,0.05424577441540174,11,0.05499373686818071
AST_per36,1957,1971,0.052119599167919625,12,0.053823719381345045
AST_per36,1958,1972,0.05110496222840859,12,0.05188411461707072
AST_per36,1959,1973,0.049143649434002394,12,0.05133306434885734
AST_per36,1960,1974,0.05280658783962125,12,0.04852670794015397
AST_per36,1961,1975,0.05149052307433482,12,0.04441348325155826
AST_per36,1962,1976,0.038087817124402804,12,0.03974027082501462
AST_per36,1963,1977,0.03053883878543002,13,0.033971589493358184
AST_per36,1964,1978,0.025777587301284217,13,0.04745814619344564
AST_per36,1965,1979,0.023963181181339045,13,0.0640176569981036
AST_per36,1966,1980,0.11892330657477211,14,0.08236924449720599
