category,age_from,age_to,n,weighted_mean_delta
STL_per36,23,24.0,1575.0,-0.007143372560146374
STL_per36,24,25.0,1553.0,-0.021226933084344
STL_per36,25,26.0,1480.0,-0.05033662842339829
STL_per36,26,27.0,1396.0,-0.06095723113272716
STL_per36,27,28.0,1287.0,-0.04827322220528769
STL_per36,28,29.0,1152.0,-0.013759606879590814
STL_per36,29,30.0,1046.0,-0.04288282772375908
STL_per36,30,31.0,903.0,-0.044275240369109826
STL_per36,31,32.0,750.0,-0.0701345234311701
STL_per36,32,33.0,582.0,-0.06598905620832285
STL_per36,33,34.0,432.0,0.010226881139872902
STL_per36,34,35.0,313.0,-0.03888639378949837
STL_per36,35,36.0,201.0,-0.05675045293319042
STL_per36,36,37.0,130.0,-0.027427255459765112
STL_per36,37,38.0,81.0,0.16179936320744454
STL_per36,38,39.0,45.0,-0.0332328975505998
STL_per36,39,40.0,19.0,-0.45576625139270266
STL_per36,40,41.0,6.0,0.38406889890659485
STL_per36,41,42.0,5.0,-0.7090994091441631
STL_per36,42,43.0,2.0,-0.5000281507765914
TOV_per36,18,19.0,12.0,-0.012653228031265623
TOV_per36,19,20.0,99.0,-0.031794551978491875
TOV_per36,20,21.0,254.0,-0.05999119451355982
TOV_per36,21,22.0,466.0,0.020632776601495605
TOV_per36,22,23.0,1071.0,-0.044964718796466484
TOV_per36,23,24.0,1473.0,-0.041751472982858556
TOV_per36,24,25.0,1457.0,-0.07338199452925001
TOV_per36,25,26.0,1382.0,-0.002981218594374523
TOV_per36,26,27.0,1311.0,-0.026748717772144902
TOV_per36,27,28.0,1214.0,-0.0373138794220365
TOV_per36,28,29.0,1101.0,-0.029848652666310135
TOV_per36,29,30.0,1003.0,-0.07333450740404464
TOV_per36,30,31.0,860.0,-0.06279033118378753
TOV_per36,31,32.0,716.0,-0.027522880757012314
TOV_per36,32,33.0,559.0,-0.04167452060393146
TOV_per36,33,34.0,420.0,-0.0543209222414715
TOV_per36,34,35.0,307.0,-0.05491385215405606
TOV_per36,35,36.0,199.0,0.04583247737429647
TOV_per36,36,37.0,128.0,-0.033523037135060066
TOV_per36,37,38.0,81.0,-0.08384346732070692
TOV_per36,38,39.0,45.0,-0.20787887836468286
TOV_per36,39,40.0,19.0,-0.012300327595872474
TOV_per36,40,41.0,6.0,-0.16819419154258392
TOV_per36,41,42.0,5.0,-0.08572732535987339
TOV_per36,42,43.0,2.0,0.5302526914766246
TRB_per36,18,19.0,13.0,-0.06007838306982883
TRB_per36,19,20.0,102.0,0.07437217297098103
TRB_per36,20,21.0,259.0,-0.005741873909757104
TRB_per36,21,22.0,502.0,0.015241891513247514
TRB_per36,22,23.0,1359.0,-0.021630048352080426
TRB_per36,23,24.0,1857.0,-0.030450613154179323
TRB_per36,24,25.0,1831.0,-0.02857164702583205
TRB_per36,25,26.0,1742.0,-0.024736635494891954
TRB_per36,26,27.0,1633.0,-0.04146487818021975
TRB_per36,27,28.0,1491.0,-0.01992482153564105
TRB_per36,28,29.0,1327.0,-0.03346119500400852
TRB_per36,29,30.0,1190.0,-0.02709436193727749
TRB_per36,30,31.0,1018.0,-0.04697290281694221
TRB_per36,31,32.0,837.0,-0.03657161935116073
TRB_per36,32,33.0,642.0,-0.023479728355796373
TRB_per36,33,34.0,467.0,-0.07503556953013372
TRB_per36,34,35.0,329.0,-0.016226454869393746
TRB_per36,35,36.0,208.0,-0.06361331662063717
TRB_per36,36,37.0,134.0,-0.013439838609904045
TRB_per36,37,38.0,82.0,-0.041742956721105534
TRB_per36,38,39.0,46.0,-0.015278008073224996
TRB_per36,39,40.0,19.0,-0.16242700887381917
TRB_per36,40,41.0,6.0,-0.14880246613306877
TRB_per36,41,42.0,5.0,0.04440057593125121
TRB_per36,42,43.0,2.0,-0.3508681618454597
TS_pct,18,19.0,13.0,0.9404719115265917
TS_pct,19,20.0,102.0,0.2662846013707051
TS_pct,20,21.0,259.0,0.24816688861995112
TS_pct,21,22.0,499.0,0.20955690492840295
TS_pct,22,23.0,1355.0,0.18905550856182948
TS_pct,23,24.0,1853.0,0.047283132928310774
TS_pct,24,25.0,1829.0,0.006546581711442295
TS_pct,25,26.0,1736.0,-0.024170781892161562
TS_pct,26,27.0,1631.0,-0.08390393549750563
TS_pct,27,28.0,1489.0,-0.09358779950244411
TS_pct,28,29.0,1326.0,-0.07403052005742755
TS_pct,29,30.0,1189.0,-0.15614376295001514
TS_pct,30,31.0,1017.0,-0.18590841757731158
TS_pct,31,32.0,835.0,-0.1374869022682023
TS_pct,32,33.0,641.0,-0.2624717569703209
TS_pct,33,34.0,466.0,-0.23035736570320273
TS_pct,34,35.0,327.0,-0.19129397065995415
TS_pct,35,36.0,208.0,-0.16870422091291049
TS_pct,36,37.0,134.0,-0.4229032346112388
TS_pct,37,38.0,82.0,-0.4409490703696499
TS_pct,38,39.0,46.0,0.041007362017048965
TS_pct,39,40.0,19.0,-0.5229828659606501
TS_pct,40,41.0,6.0,-1.0504384964864844
TS_pct,41,42.0,5.0,0.3571387878021819
TS_pct,42,43.0,2.0,-1.4309339906433542
