category,start_year,divergence,n_matched_ages
PTS_per36,1950,0.0364689966734778,20
PTS_per36,1955,0.03709037514517689,20
PTS_per36,1960,0.035891738877223404,20
PTS_per36,1965,0.03430740179108879,20
PTS_per36,1970,0.03516332469658345,20
PTS_per36,1975,0.031240613249071802,20
PTS_per36,1980,0.03190020573304053,20
PTS_per36,1985,0.02853225372384076,20
PTS_per36,1990,0.02388078830345725,20
PTS_per36,1995,0.02512427089334787,20
PTS_per36,2000,0.02230027800007699,20
TRB_per36,1950,0.013865586001917429,20
TRB_per36,1955,0.013890067434297809,20
TRB_per36,1960,0.013335343512513231,20
TRB_per36,1965,0.012563692234711384,20
TRB_per36,1970,0.01244385628039905,20
TRB_per36,1975,0.012740473268798154,20
TRB_per36,1980,0.01122028360388404,20
TRB_per36,1985,0.012150525954274637,20
TRB_per36,1990,0.011403747151017971,20
TRB_per36,1995,0.01110501521453893,20
TRB_per36,2000,0.006264022963877076,20
AST_per36,1950,0.04241017947208472,20
AST_per36,1955,0.04117546839718099,20
AST_per36,1960,0.0406356016716916,20
AST_per36,1965,0.040612606305515116,20
AST_per36,1970,0.04165547606938347,20
AST_per36,1975,0.03668744601494157,20
AST_per36,1980,0.03690496307112286,20
AST_per36,1985,0.03549869307118772,20
AST_per36,1990,0.030139066680695745,20
AST_per36,1995,0.02655187786399687,20
AST_per36,2000,0.018464659766125588,20
STL_per36,1950,0.11609506796936717,20
STL_per36,1955,0.11609506796936717,20
STL_per36,1960,0.11609506796936717,20
STL_per36,1965,0.11609506796936717,20
STL_per36,1970,0.11609506796936717,20
STL_per36,1975,0.11822988382004768,20
STL_per36,1980,0.12114112601584877,20
STL_per36,1985,0.11905943023484869,20
STL_per36,1990,0.12137288415589323,20
STL_per36,1995,0.11678695268593046,20
STL_per36,2000,0.0627450826373172,20
BLK_per36,1950,0.011473152567675437,20
BLK_per36,1955,0.011473152567675437,20
BLK_per36,1960,0.011473152567675437,20
BLK_per36,1965,0.011473152567675437,20
BLK_per36,1970,0.011473152567675437,20
BLK_per36,1975,0.011859472557908552,20
BLK_per36,1980,0.011901205780605224,20
BLK_per36,1985,0.011219839330303646,20
BLK_per36,1990,0.014697659877178077,20
BLK_per36,1995,0.011769871838407936,20
BLK_per36,2000,0.017269070858555183,20
TOV_per36,1950,0.1021695716193567,20
TOV_per36,1955,0.1021695716193567,20
TOV_per36,1960,0.1021695716193567,20
TOV_per36,1965,0.1021695716193567,20
TOV_per36,1970,0.1021695716193567,20
TOV_per36,1975,0.1021695716193567,20
TOV_per36,1980,0.10316347292621421,20
TOV_per36,1985,0.1018271949430757,20
TOV_per36,1990,0.10348193011793103,20
TOV_per36,1995,0.10158933286679495,20
TOV_per36,2000,0.02916893063853634,20
PF_per36,1950,0.09951080368471106,20
PF_per36,1955,0.09830906737005539,20
PF_per36,1960,0.09407234447482973,20
PF_per36,1965,0.0951310572258209,20
PF_per36,1970,0.09616002580031455,20
PF_per36,1975,0.09241046910426451,20
PF_per36,1980,0.08810639459767045,20
PF_per36,1985,0.08116562455508085,20
PF_per36,1990,0.08347289856589628,20
PF_per36,1995,0.04901473707896934,20
PF_per36,2000,0.026316117603985945,20
TS_pct,1950,0.3476796516087855,20
TS_pct,1955,0.3439333470375919,20
TS_pct,1960,0.3372388345508229,20
TS_pct,1965,0.3344508963939706,20
TS_pct,1970,0.34122931481339464,20
TS_pct,1975,0.33376383095966267,20
TS_pct,1980,0.3244703892769829,20
TS_pct,1985,0.33322740886944374,20
TS_pct,1990,0.3435548641750076,20
TS_pct,1995,0.28397937553125674,20
TS_pct,2000,0.18396201618289765,20
