category,selected_start_year,selected_window_end_year,selected_divergence,best_possible_divergence
PTS_per36,1966,1980,0.07192619752064168,0.058719721612427805
TRB_per36,1959,1973,0.026981962537915218,0.026884657704815355
AST_per36,1981,1995,0.017076412849479184,0.017076412849479184
STL_per36,1961,1975,0.04097789827051192,0.04097789827051192
BLK_per36,1961,1975,0.013622237603502459,0.013622237603502459
TOV_per36,1971,1985,0.08976069716559061,0.08285714523500103
PF_per36,1960,1974,0.1789834836108456,0.15292528098107305
TS_pct,1976,1990,0.1771007182846861,0.17128375153944195
