personId,PlayerName,season_year,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SeasonStart,Age
2730,Dwight Howard,2017-18,81,2463.4166666666665,506,911,1,7,334,582,255,757,1012,105,48,131,208,249,1347,2018,32
2730,Dwight Howard,2018-19,9,229.53333333333333,43,69,0,0,29,48,24,59,83,4,7,4,16,34,115,2019,33
2730,Dwight Howard,2019-20,69,1305.7,202,277,3,5,110,214,172,335,507,45,31,79,84,222,517,2020,34
2730,Dwight Howard,2020-21,69,1195.5166666666667,178,303,5,20,121,210,190,390,580,61,30,62,112,200,482,2021,35
2730,Dwight Howard,2021-22,60,970.7333333333333,134,219,8,15,96,146,118,238,356,35,34,36,47,115,372,2022,36
2731,Emeka Okafor,2017-18,26,353.23333333333335,48,95,0,0,18,22,47,73,120,8,8,25,13,30,114,2018,35
2733,Shaun Livingston,2017-18,71,1129.3333333333333,172,343,0,5,50,61,32,99,131,140,35,21,58,117,394,2018,32
2733,Shaun Livingston,2018-19,64,966.9166666666666,109,210,0,2,40,51,42,75,117,114,31,27,38,74,258,2019,33
2734,Devin Harris,2017-18,71,1339.5333333333333,187,454,79,227,142,170,12,115,127,152,47,12,76,158,595,2018,34
2734,Devin Harris,2018-19,68,1070.5833333333333,132,347,62,200,102,134,12,100,112,122,35,16,56,133,428,2019,35
2736,Luol Deng,2017-18,1,13.133333333333333,1,2,0,0,0,0,0,0,0,1,1,0,1,0,2,2018,32
2736,Luol Deng,2018-19,22,392.23333333333335,59,118,14,44,25,35,20,53,73,18,15,8,14,24,157,2019,33
2738,Andre Iguodala,2017-18,64,1622.4666666666667,148,320,33,117,55,87,50,196,246,210,54,38,67,99,384,2018,34
2738,Andre Iguodala,2018-19,68,1577.9,151,302,48,144,39,67,48,204,252,216,61,51,52,95,389,2019,35
2738,Andre Iguodala,2019-20,21,418.18333333333334,38,88,14,47,6,15,17,61,78,51,14,21,26,35,96,2020,36
2738,Andre Iguodala,2020-21,63,1338.9333333333334,95,248,60,182,25,38,38,183,221,142,57,35,67,90,275,2021,37
2738,Andre Iguodala,2021-22,31,602.8,46,121,17,74,15,20,21,79,100,114,27,22,28,34,124,2022,38
2738,Andre Iguodala,2022-23,8,112.56666666666666,7,15,1,9,2,3,3,14,17,19,4,3,9,11,17,2023,39
2744,Al Jefferson,2017-18,36,483.5833333333333,111,208,0,3,30,36,30,113,143,30,16,23,21,66,252,2018,33
2746,Josh Smith,2017-18,3,11.833333333333332,1,4,0,0,0,0,3,1,4,0,0,0,0,3,2,2018,32
2747,JR Smith,2017-18,80,2244.1833333333334,240,595,143,381,39,56,29,206,235,141,68,11,81,161,662,2018,32
2747,JR Smith,2018-19,11,222.33333333333334,27,79,12,39,8,10,0,18,18,21,11,3,11,19,74,2019,33
2747,JR Smith,2019-20,6,78.9,7,22,1,11,2,2,0,5,5,3,1,0,4,5,17,2020,34
2749,Jameer Nelson,2017-18,50,1013.1666666666666,95,244,41,124,16,20,13,91,104,179,27,4,67,81,247,2018,35
2754,Tony Allen,2017-18,22,272.56666666666666,44,91,4,12,11,21,20,27,47,9,11,3,19,49,103,2018,36
2760,Anderson Varejao,2020-21,5,35.93333333333334,4,16,0,1,5,9,7,13,20,3,0,2,1,3,13,2021,38
2772,Trevor Ariza,2017-18,67,2269.2166666666667,268,651,170,462,76,89,33,261,294,105,98,13,52,132,782,2018,32
2772,Trevor Ariza,2018-19,69,2348.8333333333335,294,736,145,434,130,164,50,321,371,252,91,21,106,130,863,2019,33
2772,Trevor Ariza,2019-20,53,1492.3,142,324,77,207,62,74,34,212,246,91,69,15,56,111,423,2020,34
2772,Trevor Ariza,2020-21,30,840.9666666666667,99,241,50,143,34,44,27,117,144,55,31,18,21,55,282,2021,35
2772,Trevor Ariza,2021-22,24,462.3,33,99,20,74,10,18,10,72,82,27,13,6,11,20,96,2022,36
2863,Damien Wilkins,2017-18,19,152.41666666666666,13,39,4,18,3,4,5,11,16,9,2,1,5,7,33,2018,38
101106,Andrew Bogut,2017-18,24,216.4,17,25,0,0,2,2,26,52,78,15,4,13,19,40,36,2018,33
101106,Andrew Bogut,2018-19,11,134.36666666666667,18,36,0,0,3,3,12,43,55,11,3,8,8,22,39,2019,34
101107,Marvin Williams,2017-18,78,2005.85,258,563,126,305,102,123,74,296,370,96,56,38,66,116,744,2018,31
101107,Marvin Williams,2018-19,75,2133.266666666667,275,652,140,382,66,86,76,331,407,92,71,61,47,156,756,2019,32
101107,Marvin Williams,2019-20,58,1128.9333333333334,119,267,56,156,49,57,30,153,183,60,36,30,33,103,343,2020,33
101108,Chris Paul,2017-18,58,1846.5666666666666,367,798,144,379,203,221,37,276,313,457,96,14,128,141,1081,2018,32
101108,Chris Paul,2018-19,58,1856.8,302,720,127,355,175,203,36,229,265,473,114,18,152,146,906,2019,33
101108,Chris Paul,2019-20,70,2207.85,434,887,111,304,253,279,26,323,349,472,111,11,161,158,1232,2020,34
101108,Chris Paul,2020-21,70,2199.5333333333333,439,879,102,258,169,181,25,287,312,622,99,19,156,166,1149,2021,35
101108,Chris Paul,2021-22,65,2138.95,363,736,63,199,169,202,22,261,283,702,121,20,153,134,958,2022,36
101108,Chris Paul,2022-23,59,1888.6166666666666,294,668,98,261,133,160,27,224,251,524,91,22,114,126,819,2023,37
101108,Chris Paul,2023-24,58,1530.8833333333332,206,467,78,210,43,52,18,207,225,393,70,6,76,108,533,2024,38
101109,Raymond Felton,2017-18,82,1364.75,224,552,81,230,36,44,25,131,156,203,49,16,76,91,565,2018,33
101109,Raymond Felton,2018-19,33,379.3666666666667,55,135,20,61,12,13,4,30,34,52,10,6,14,29,142,2019,34
101112,Channing Frye,2017-18,53,694.8666666666667,104,212,39,115,17,19,12,123,135,38,18,13,21,69,264,2018,34
101112,Channing Frye,2018-19,36,341.0,43,117,32,79,11,14,4,48,52,20,6,5,13,44,129,2019,35
101123,Gerald Green,2017-18,41,929.15,168,413,110,298,51,60,15,118,133,25,24,15,31,87,497,2018,32
101123,Gerald Green,2018-19,73,1472.9833333333333,231,578,156,441,57,68,30,152,182,40,33,27,55,126,675,2019,33
101127,Jarrett Jack,2017-18,62,1547.5833333333333,189,443,25,86,63,75,22,169,191,348,35,4,115,98,466,2018,34
101133,Ian Mahinmi,2017-18,77,1145.3166666666666,138,248,0,2,90,128,135,177,312,53,38,42,100,230,366,2018,31
101133,Ian Mahinmi,2018-19,34,497.75,47,104,3,16,42,61,48,80,128,25,25,16,21,84,139,2019,32
101133,Ian Mahinmi,2019-20,38,807.8166666666667,104,210,5,26,70,113,78,140,218,49,31,44,45,114,283,2020,33
101139,CJ Miles,2017-18,70,1336.5666666666666,227,599,164,454,81,97,18,134,152,55,37,21,39,134,699,2018,30
101139,CJ Miles,2018-19,53,856.6,112,311,67,203,48,58,13,82,95,36,26,15,30,79,339,2019,31
101139,CJ Miles,2019-20,10,161.03333333333333,19,59,11,35,15,20,4,8,12,12,10,4,4,14,64,2020,32
101139,CJ Miles,2021-22,1,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022,34
101141,Ersan Ilyasova,2017-18,69,1729.6666666666667,277,613,91,253,105,135,118,287,405,90,61,26,72,157,750,2018,30
101141,Ersan Ilyasova,2018-19,67,1231.3,167,381,58,160,61,74,94,208,302,52,32,20,48,172,453,2019,31
101141,Ersan Ilyasova,2019-20,63,986.3666666666667,146,313,50,137,72,87,62,240,302,49,24,17,34,95,414,2020,32
101141,Ersan Ilyasova,2020-21,17,147.53333333333333,21,54,18,41,5,5,7,22,29,4,10,3,8,29,65,2021,33
101150,Lou Williams,2017-18,79,2589.15,582,1337,186,518,432,491,40,158,198,417,85,19,234,106,1782,2018,31
101150,Lou Williams,2018-19,75,1992.65,484,1138,105,291,425,485,40,182,222,402,57,11,181,80,1498,2019,32
101150,Lou Williams,2019-20,65,1863.7833333333333,391,936,111,315,292,339,31,170,201,365,43,12,182,80,1185,2020,33
101150,Lou Williams,2020-21,66,1422.9666666666667,265,646,69,173,150,173,21,117,138,225,47,6,108,62,749,2021,34
101150,Lou Williams,2021-22,56,798.8833333333333,125,320,37,102,67,78,16,71,87,105,28,3,43,48,354,2022,35
101161,Amir Johnson,2017-18,74,1170.3166666666666,140,260,10,32,52,85,123,207,330,118,45,44,55,192,342,2018,30
101161,Amir Johnson,2018-19,51,529.1666666666666,79,157,12,40,31,41,47,100,147,60,16,13,45,99,201,2019,31
101162,Marcin Gortat,2017-18,82,2074.483333333333,290,560,0,0,110,163,181,442,623,151,40,61,99,175,690,2018,33
101162,Marcin Gortat,2018-19,47,750.4666666666667,99,186,0,0,35,48,67,194,261,65,6,24,50,92,233,2019,34
101181,Jose Calderon,2017-18,57,914.3,93,185,45,97,24,30,14,70,84,117,27,2,41,81,255,2018,36
101181,Jose Calderon,2018-19,49,631.95,45,120,14,57,9,11,11,49,60,115,16,3,35,64,113,2019,37
200746,LaMarcus Aldridge,2017-18,75,2508.616666666667,687,1347,27,92,334,399,246,389,635,152,43,90,111,161,1735,2018,32
200746,LaMarcus Aldridge,2018-19,81,2686.6666666666665,684,1319,10,42,349,412,251,493,744,194,43,107,144,179,1727,2019,33
200746,LaMarcus Aldridge,2019-20,53,1753.9333333333334,391,793,61,157,158,191,103,289,392,129,36,87,74,128,1001,2020,34
200746,LaMarcus Aldridge,2020-21,26,674.3833333333333,140,296,31,80,41,47,19,99,118,49,11,29,27,47,352,2021,35
200746,LaMarcus Aldridge,2021-22,47,1050.1,252,458,14,46,89,102,73,185,258,42,14,47,44,78,607,2022,36
200752,Rudy Gay,2017-18,57,1231.1666666666667,253,537,37,118,112,145,76,215,291,73,46,38,78,98,655,2018,31
200752,Rudy Gay,2018-19,69,1842.3166666666666,376,746,74,184,120,147,63,407,470,182,54,34,114,159,946,2019,32
200752,Rudy Gay,2019-20,67,1460.6,266,596,74,220,120,136,61,301,362,114,35,33,88,103,726,2020,33
200752,Rudy Gay,2020-21,63,1357.6666666666667,264,628,106,278,82,102,42,261,303,88,45,40,65,115,716,2021,34
200752,Rudy Gay,2021-22,55,1038.25,157,379,70,203,62,79,55,187,242,56,25,19,47,95,446,2022,35
200752,Rudy Gay,2022-23,56,815.5833333333334,109,288,33,131,42,49,33,130,163,57,19,18,37,68,293,2023,36
200755,JJ Redick,2017-18,70,2115.8333333333335,404,879,193,460,197,218,9,169,178,210,35,6,103,123,1198,2018,33
200755,JJ Redick,2018-19,76,2379.15,452,1027,240,605,228,255,20,166,186,206,32,17,101,129,1372,2019,34
200755,JJ Redick,2019-20,60,1581.0,286,631,180,397,165,185,10,141,151,119,20,10,75,96,917,2020,35
200755,JJ Redick,2020-21,44,723.3666666666667,106,267,66,178,49,52,4,60,64,51,11,3,36,50,327,2021,36
200757,Thabo Sefolosha,2017-18,38,805.6,118,240,32,84,44,54,29,132,161,33,52,12,30,59,312,2018,33
200757,Thabo Sefolosha,2018-19,50,608.65,71,149,34,78,14,22,8,115,123,27,43,5,25,41,190,2019,34
200757,Thabo Sefolosha,2019-20,41,435.85,37,91,15,54,3,8,21,72,93,25,24,12,15,43,92,2020,35
200765,Rajon Rondo,2017-18,65,1704.95,231,494,50,150,25,46,31,232,263,533,70,10,151,119,537,2018,31
200765,Rajon Rondo,2018-19,46,1368.6,175,432,51,142,23,36,34,209,243,367,57,7,127,100,424,2019,32
200765,Rajon Rondo,2019-20,48,984.25,137,328,41,125,27,41,23,119,142,240,40,2,91,58,342,2020,33
200765,Rajon Rondo,2020-21,45,769.3333333333334,95,215,36,89,16,17,18,92,110,199,37,4,79,53,242,2021,34
200765,Rajon Rondo,2021-22,39,697.9333333333333,68,176,31,88,19,26,15,93,108,170,30,6,68,56,186,2022,35
200768,Kyle Lowry,2017-18,78,2509.633333333333,403,944,238,596,223,261,66,368,434,537,85,19,183,192,1267,2018,31
200768,Kyle Lowry,2018-19,65,2213.3,304,739,157,453,161,194,41,271,312,564,91,31,182,166,926,2019,32
200768,Kyle Lowry,2019-20,58,2098.3333333333335,334,803,164,466,294,343,32,260,292,433,82,26,178,190,1126,2020,33
200768,Kyle Lowry,2020-21,46,1601.5166666666667,260,596,131,331,140,160,35,212,247,338,45,14,126,143,791,2021,34
200768,Kyle Lowry,2021-22,63,2133.1666666666665,276,627,144,382,148,174,33,249,282,474,67,17,168,177,844,2022,35
200768,Kyle Lowry,2022-23,55,1717.7333333333333,196,485,107,310,116,135,43,182,225,281,57,21,103,143,615,2023,36
200768,Kyle Lowry,2023-24,60,1689.8,163,377,98,250,63,75,34,160,194,253,59,21,85,146,487,2024,37
200782,P.J. Tucker,2017-18,82,2281.2,172,441,115,310,43,60,93,364,457,77,78,26,74,205,502,2018,32
200782,P.J. Tucker,2018-19,82,2802.133333333333,207,523,146,387,41,59,121,358,479,96,132,39,63,252,601,2019,33
200782,P.J. Tucker,2019-20,72,2467.233333333333,177,426,107,299,39,48,112,364,476,115,77,36,72,229,500,2020,34
200782,P.J. Tucker,2020-21,52,1355.6333333333332,66,177,40,119,21,28,51,153,204,61,39,20,40,125,193,2021,35
200782,P.J. Tucker,2021-22,71,1980.7666666666667,207,428,80,193,45,61,100,287,387,149,58,15,66,161,539,2022,36
200782,P.J. Tucker,2022-23,75,1920.1,96,225,55,140,19,23,95,200,295,60,39,15,44,180,266,2023,37
200782,P.J. Tucker,2023-24,31,486.3333333333333,18,50,13,35,3,3,28,57,85,16,16,7,8,54,52,2024,38
200794,Paul Millsap,2017-18,38,1143.45,202,435,39,113,112,161,65,180,245,105,39,44,73,99,555,2018,32
200794,Paul Millsap,2018-19,70,1894.55,322,665,58,159,181,249,153,352,505,141,83,54,95,183,883,2019,33
200794,Paul Millsap,2019-20,51,1239.95,211,438,54,124,115,141,98,195,293,83,44,30,70,150,591,2020,34
200794,Paul Millsap,2020-21,56,1162.3,191,401,49,143,71,98,76,186,262,98,51,36,51,111,502,2021,35
200794,Paul Millsap,2021-22,33,375.73333333333335,45,115,8,35,17,24,41,73,114,29,10,13,19,67,115,2022,36
200826,J.J. Barea,2017-18,69,1603.3333333333333,303,690,115,313,80,102,15,186,201,434,35,3,143,83,801,2018,33
200826,J.J. Barea,2018-19,38,751.8333333333334,161,385,38,128,55,78,13,82,95,211,22,1,72,50,415,2019,34
200826,J.J. Barea,2019-20,29,449.68333333333334,85,207,32,85,20,22,10,43,53,112,5,2,38,27,222,2020,35
201142,Kevin Durant,2017-18,68,2325.1,630,1222,173,413,359,404,31,433,464,366,50,119,207,133,1792,2018,29
201142,Kevin Durant,2018-19,78,2701.5333333333333,721,1383,137,388,448,506,33,464,497,457,58,84,225,155,2027,2019,30
201142,Kevin Durant,2020-21,35,1156.7666666666667,324,603,85,189,210,238,13,234,247,195,25,45,120,70,943,2021,32
201142,Kevin Durant,2021-22,55,2047.4,578,1115,115,300,372,409,29,378,407,351,48,52,191,113,1643,2022,33
201142,Kevin Durant,2022-23,47,1671.7333333333333,483,862,93,230,307,334,17,296,313,235,34,67,156,99,1366,2023,34
201142,Kevin Durant,2023-24,75,2790.6,751,1436,168,407,362,423,41,454,495,378,69,91,244,133,2032,2024,35
201143,Al Horford,2017-18,72,2277.0833333333335,368,753,97,226,94,120,103,428,531,339,43,78,132,138,927,2018,31
201143,Al Horford,2018-19,68,1972.6666666666667,387,723,73,203,78,95,120,338,458,283,59,86,102,126,925,2019,32
201143,Al Horford,2019-20,67,2025.5833333333333,319,709,99,283,61,80,103,353,456,270,52,61,80,142,798,2020,33
201143,Al Horford,2020-21,28,781.7666666666667,162,360,56,152,18,22,29,159,188,94,25,26,29,48,398,2021,34
201143,Al Horford,2021-22,69,2004.8333333333333,266,569,89,265,80,95,108,422,530,232,49,92,65,130,701,2022,35
201143,Al Horford,2022-23,63,1921.4,228,479,145,325,15,21,73,317,390,189,30,61,37,121,616,2023,36
201143,Al Horford,2023-24,65,1739.8166666666666,214,419,108,258,26,30,82,331,413,168,38,62,48,93,562,2024,37
201144,Mike Conley,2017-18,12,373.23333333333335,64,168,24,77,53,66,0,27,27,49,12,3,18,24,205,2018,30
201144,Mike Conley,2018-19,70,2341.8166666666666,490,1120,155,426,343,406,40,199,239,449,94,22,130,123,1478,2019,31
201144,Mike Conley,2019-20,47,1363.3,232,567,96,256,115,139,33,118,151,208,36,5,92,104,675,2020,32
201144,Mike Conley,2020-21,51,1497.6333333333332,284,640,138,335,121,142,36,141,177,305,70,9,99,98,827,2021,33
201144,Mike Conley,2021-22,72,2058.116666666667,344,791,169,414,129,162,47,170,217,385,96,21,123,142,986,2022,34
201144,Mike Conley,2022-23,67,2028.0666666666666,261,610,135,351,141,169,33,149,182,450,73,14,103,139,798,2023,35
201144,Mike Conley,2023-24,76,2193.4666666666667,294,644,179,405,102,112,37,181,218,449,88,17,102,128,869,2024,36
201145,Jeff Green,2017-18,78,1827.8666666666666,295,618,53,170,203,234,60,186,246,99,41,34,75,149,846,2018,31
201145,Jeff Green,2018-19,77,2096.6833333333334,326,687,111,320,183,206,57,252,309,137,43,39,101,160,946,2019,32
201145,Jeff Green,2019-20,48,960.1,159,344,62,183,73,91,24,109,133,50,26,19,42,89,453,2020,33
201145,Jeff Green,2020-21,68,1835.2,261,530,103,250,125,161,34,229,263,108,36,27,54,122,750,2021,34
201145,Jeff Green,2021-22,75,1848.9666666666667,277,529,53,168,165,198,41,190,231,96,28,27,71,151,772,2022,35
201145,Jeff Green,2022-23,56,1091.1166666666668,160,328,30,104,87,117,38,106,144,69,18,17,46,99,437,2023,36
201145,Jeff Green,2023-24,78,1307.3666666666668,167,366,53,160,122,149,46,132,178,70,16,31,46,100,509,2024,37
