DeAndre Jordan,28,Los Angeles Clippers,42767
DeAndre Liggins,28,Cleveland Cavaliers,42767
DeAndre Liggins,28,Dallas Mavericks,42767
Dejounte Murray,20,San Antonio Spurs,42767
Delon Wright,24,Toronto Raptors,42767
DeMar DeRozan,27,Toronto Raptors,42767
DeMarcus Cousins,26,Sacramento Kings,42767
DeMarcus Cousins,26,New Orleans Pelicans,42767
DeMarre Carroll,30,Toronto Raptors,42767
Demetrius Jackson,22,Boston Celtics,42767
Dennis Schröder,23,Atlanta Hawks,42767
Denzel Valentine,23,Chicago Bulls,42767
Deron Williams,32,Dallas Mavericks,42767
Deron Williams,32,Cleveland Cavaliers,42767
Derrick Favors,25,Utah Jazz,42767
Derrick Jones Jr.,19,Phoenix Suns,42767
Derrick Rose,28,New York Knicks,42767
Derrick Williams,25,Miami Heat,42767
Derrick Williams,25,Cleveland Cavaliers,42767
Devin Booker,20,Phoenix Suns,42767
Devin Harris,33,Dallas Mavericks,42767
Dewayne Dedmon,27,San Antonio Spurs,42767
Deyonta Davis,20,Memphis Grizzlies,42767
Diamond Stone,19,Los Angeles Clippers,42767
Dion Waiters,25,Miami Heat,42767
Dirk Nowitzki,38,Dallas Mavericks,42767
Domantas Sabonis,20,Oklahoma City Thunder,42767
Donatas Motiejūnas,26,New Orleans Pelicans,42767
Dorian Finney-Smith,23,Dallas Mavericks,42767
Doug McDermott,25,Chicago Bulls,42767
Doug McDermott,25,Oklahoma City Thunder,42767
Dragan Bender,19,Phoenix Suns,42767
Draymond Green,26,Golden State Warriors,42767
Dwight Howard,31,Atlanta Hawks,42767
Dwight Powell,25,Dallas Mavericks,42767
Dwyane Wade,35,Chicago Bulls,42767
Ed Davis,27,Portland Trail Blazers,42767
Edy Tavares,24,Cleveland Cavaliers,42767
Edy Tavares,24,Atlanta Hawks,42767
Elfrid Payton,22,Orlando Magic,42767
Elijah Millsap,29,Phoenix Suns,42767
Emmanuel Mudiay,20,Denver Nuggets,42767
Enes Freedom,24,Oklahoma City Thunder,42767
Eric Bledsoe,27,Phoenix Suns,42767
Eric Gordon,28,Houston Rockets,42767
Ersan İlyasova,29,Philadelphia 76ers,42767
Ersan İlyasova,29,Atlanta Hawks,42767
Ersan İlyasova,29,Oklahoma City Thunder,42767
E'Twaun Moore,27,New Orleans Pelicans,42767
Evan Fournier,24,Orlando Magic,42767
Evan Turner,28,Portland Trail Blazers,42767
Frank Kaminsky,23,Charlotte Hornets,42767
Fred VanVleet,22,Toronto Raptors,42767
Garrett Temple,30,Sacramento Kings,42767
Gary Harris,22,Denver Nuggets,42767
Gary Neal,32,Atlanta Hawks,42767
Gary Payton II,24,Milwaukee Bucks,42767
George Hill,30,Utah Jazz,42767
Georges Niang,23,Indiana Pacers,42767
Georgios Papagiannis,19,Sacramento Kings,42767
Gerald Green,31,Boston Celtics,42767
Gerald Henderson Jr.,29,Philadelphia 76ers,42767
Giannis Antetokounmpo,22,Milwaukee Bucks,42767
Glenn Robinson III,23,Indiana Pacers,42767
Goran Dragić,30,Miami Heat,42767
Gordon Hayward,26,Utah Jazz,42767
Gorgui Dieng,27,Minnesota Timberwolves,42767
Greg Monroe,26,Milwaukee Bucks,42767
Greivis Vásquez,30,Brooklyn Nets,42767
Harrison Barnes,24,Dallas Mavericks,42767
Hassan Whiteside,27,Miami Heat,42767
Henry Ellenson,20,Detroit Pistons,42767
Hollis Thompson,25,Philadelphia 76ers,42767
Hollis Thompson,25,New Orleans Pelicans,42767
Ian Clark,25,Golden State Warriors,42767
Ian Mahinmi,30,Washington Wizards,42767
Iman Shumpert,26,Cleveland Cavaliers,42767
Isaiah Canaan,25,Chicago Bulls,42767
Isaiah Taylor,22,Houston Rockets,42767
Isaiah Thomas,27,Boston Celtics,42767
Isaiah Whitehead,21,Brooklyn Nets,42767
Ish Smith,28,Detroit Pistons,42767
Ivica Zubac,19,Los Angeles Lakers,42767
J.J. Barea,32,Dallas Mavericks,42767
J.J. Redick,32,Los Angeles Clippers,42767
J.R. Smith,31,Cleveland Cavaliers,42767
Jabari Parker,21,Milwaukee Bucks,42767
Jae Crowder,26,Boston Celtics,42767
Jahlil Okafor,21,Philadelphia 76ers,42767
Jake Layman,22,Portland Trail Blazers,42767
Jakob Poeltl,21,Toronto Raptors,42767
Jamal Crawford,36,Los Angeles Clippers,42767
Jamal Murray,19,Denver Nuggets,42767
Jameer Nelson,34,Denver Nuggets,42767
James Ennis III,26,Memphis Grizzlies,42767
James Harden,27,Houston Rockets,42767
James Johnson,29,Miami Heat,42767
James Jones,36,Cleveland Cavaliers,42767
James Michael McAdoo,24,Golden State Warriors,42767
James Young,21,Boston Celtics,42767
JaMychal Green,26,Memphis Grizzlies,42767
Jared Dudley,31,Phoenix Suns,42767
Jared Sullinger,24,Toronto Raptors,42767
Jarell Eddie,25,Phoenix Suns,42767
Jarell Martin,22,Memphis Grizzlies,42767
Jarnell Stokes,23,Denver Nuggets,42767
Jarrett Jack,33,New Orleans Pelicans,42767
Jarrod Uthoff,23,Dallas Mavericks,42767
Jason Smith,30,Washington Wizards,42767
Jason Terry,39,Milwaukee Bucks,42767
JaVale McGee,29,Golden State Warriors,42767
Jaylen Brown,20,Boston Celtics,42767
Jeff Green,30,Orlando Magic,42767
Jeff Teague,28,Indiana Pacers,42767
Jeff Withey,26,Utah Jazz,42767
Jerami Grant,22,Oklahoma City Thunder,42767
Jerami Grant,22,Philadelphia 76ers,42767
Jeremy Lamb,24,Charlotte Hornets,42767
Jeremy Lin,28,Brooklyn Nets,42767
Jerian Grant,24,Chicago Bulls,42767
Jerryd Bayless,28,Philadelphia 76ers,42767
Jimmy Butler,27,Chicago Bulls,42767
Joakim Noah,31,New York Knicks,42767
Jodie Meeks,29,Orlando Magic,42767
Joe Harris,25,Brooklyn Nets,42767
Joe Ingles,29,Utah Jazz,42767
Joe Johnson,35,Utah Jazz,42767
Joe Young,24,Indiana Pacers,42767
Joel Anthony,34,San Antonio Spurs,42767
Joel Bolomboy,23,Utah Jazz,42767
Joel Embiid,22,Philadelphia 76ers,42767
Joffrey Lauvergne,25,Oklahoma City Thunder,42767
Joffrey Lauvergne,25,Chicago Bulls,42767
John Henson,26,Milwaukee Bucks,42767
John Jenkins,25,Phoenix Suns,42767
John Lucas III,34,Minnesota Timberwolves,42767
John Wall,26,Washington Wizards,42767
Johnny O'Bryant,23,Denver Nuggets,42767
Johnny O'Bryant,23,Charlotte Hornets,42767
Jon Leuer,27,Detroit Pistons,42767
Jonas Jerebko,29,Boston Celtics,42767
Jonas Valančiūnas,24,Toronto Raptors,42767
Jonathan Gibson,29,Dallas Mavericks,42767
Jonathon Simmons,27,San Antonio Spurs,42767
Jordan Clarkson,24,Los Angeles Lakers,42767
Jordan Crawford,28,New Orleans Pelicans,42767
Jordan Farmar,30,Sacramento Kings,42767
Jordan Hill,29,Minnesota Timberwolves,42767
Jordan McRae,25,Cleveland Cavaliers,42767
Jordan Mickey,22,Boston Celtics,42767
José Calderón,35,Los Angeles Lakers,42767
José Calderón,35,Atlanta Hawks,42767
Josh Huestis,25,Oklahoma City Thunder,42767
Josh McRoberts,29,Miami Heat,42767
Josh Richardson,23,Miami Heat,42767
Jrue Holiday,26,New Orleans Pelicans,42767
Juancho Hernangómez,21,Denver Nuggets,42767
Julius Randle,22,Los Angeles Lakers,42767
Justin Anderson,23,Dallas Mavericks,42767
Justin Anderson,23,Philadelphia 76ers,42767
Justin Hamilton,26,Brooklyn Nets,42767
Justin Harper,27,Philadelphia 76ers,42767
Justin Holiday,27,New York Knicks,42767
Justise Winslow,20,Miami Heat,42767
Jusuf Nurkić,22,Denver Nuggets,42767
Jusuf Nurkić,22,Portland Trail Blazers,42767
K.J. McDaniels,23,Brooklyn Nets,42767
K.J. McDaniels,23,Houston Rockets,42767
Karl-Anthony Towns,21,Minnesota Timberwolves,42767
Kawhi Leonard,25,San Antonio Spurs,42767
Kay Felder,21,Cleveland Cavaliers,42767
Kelly Olynyk,25,Boston Celtics,42767
Kelly Oubre Jr.,21,Washington Wizards,42767
