--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,11,720,24294,16384,8025,2263,.522,.397,.840,33.7,22.8,11.1,3.1,94.6,.187,4.3,38.5
2,2,LAL,D'Angelo Russell,Ohio State,11,655,19240,11132,2177,3690,.427,.363,.793,29.4,17.0,3.3,5.6,26.5,.066,0.6,12.4
3,3,PHI,Jahlil Okafor,Duke,7,248,4830,2566,1170,226,.542,.222,.676,19.5,10.3,4.7,0.9,7.2,.071,-2.0,0.0
4,4,NYK,Kristaps Porziņģis,,10,533,16175,10372,4055,994,.461,.364,.830,30.3,19.5,7.6,1.9,50.4,.150,2.6,18.9
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,.430,.349,.746,19.8,8.8,3.8,1.6,15.9,.094,-0.2,3.7
10,10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,.412,.315,.638,25.9,8.2,5.1,2.6,8.2,.044,-2.1,-0.3
11,11,IND,Myles Turner,Texas,11,713,20366,9877,4727,916,.494,.365,.769,28.6,13.9,6.6,1.3,51.7,.122,0.6,13.5
12,12,UTA,Trey Lyles,Kentucky,10,650,11970,4935,2826,697,.441,.347,.741,18.4,7.6,4.3,1.1,22.0,.088,-1.0,3.0
13,13,PHO,Devin Booker,Kentucky,11,737,25295,18120,2966,3908,.463,.352,.873,34.3,24.6,4.0,5.3,58.0,.110,1.2,20.2
14,14,OKC,Cameron Payne,Murray State,11,499,8730,3866,995,1585,.417,.366,.837,17.5,7.7,2.0,3.2,14.8,.081,-0.6,3.2
15,15,ATL,Kelly Oubre Jr.,Kansas,11,705,19316,9401,3284,827,.440,.327,.752,27.4,13.3,4.7,1.2,27.6,.068,-1.8,0.8
16,16,BOS,Terry Rozier,Louisville,10,665,18357,9252,2610,2337,.418,.361,.829,27.6,13.9,3.9,3.5,30.6,.080,0.2,10.1
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,529,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,10,548,11175,3656,1650,1636,.447,.348,.799,20.4,6.7,3.0,3.0,28.9,.124,1.9,11.1
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,11,721,16526,8733,5113,955,.479,.393,.761,22.9,12.1,7.1,1.3,36.6,.106,-0.4,6.8
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,11,749,15403,5448,1450,3181,.441,.372,.820,20.6,7.3,1.9,4.2,34.9,.109,0.4,9.2
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,11,581,13036,4335,3434,1051,.535,.352,.692,22.4,7.5,5.9,1.8,35.2,.130,1.1,10.1
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,11,620,10617,3036,3509,990,.570,.179,.610,17.1,4.9,5.7,1.6,38.1,.172,0.3,6.2
31,31,MIN,Cedi Osman,,7,476,10815,4427,1411,933,.432,.357,.711,22.7,9.3,3.0,2.0,12.5,.055,-2.1,-0.3
32,32,HOU,Montrezl Harrell,Louisville,8,515,10544,6220,2588,675,.619,.108,.664,20.5,12.1,5.0,1.3,42.9,.195,2.6,12.2
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
35,35,PHI,Willy Hernangómez,,7,344,5149,2524,1982,364,.533,.306,.713,15.0,7.3,5.8,1.1,16.3,.152,0.1,2.8
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,10,489,9360,4164,2606,479,.605,.269,.751,19.1,8.5,5.3,1.0,30.7,.158,0.1,5.0
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
