--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Brad Daugherty,UNC,8,548,20029,10389,5227,2028,.532,.143,.747,36.5,19.0,9.5,3.7,65.2,.156,2.2,21.3
2,2,BOS,Len Bias,Maryland,,,,,,,,,,,,,,,,,
3,3,GSW,Chris Washburn,NC State,2,72,645,222,176,22,.412,.000,.439,9.0,3.1,2.4,0.3,-0.6,-.046,-7.4,-0.9
4,4,IND,Chuck Person,Auburn,13,943,28941,13858,4763,2645,.458,.362,.723,30.7,14.7,5.1,2.8,38.9,.065,-0.7,9.2
5,5,NYK,Kenny Walker,Kentucky,7,448,9050,3128,1793,299,.485,.206,.749,20.2,7.0,4.0,0.7,17.9,.095,-1.8,0.6
6,6,PHO,William Bedford,Memphis,6,238,2514,964,573,109,.416,.318,.605,10.6,4.1,2.4,0.5,0.9,.017,-4.8,-1.8
7,7,DAL,Roy Tarpley,Michigan,6,280,7476,3533,2803,292,.483,.176,.744,26.7,12.6,10.0,1.0,19.8,.127,-0.2,3.4
8,8,CLE,Ron Harper,Miami University,15,1009,31199,13910,4309,3916,.446,.289,.720,30.9,13.8,4.3,3.9,65.8,.101,1.9,30.3
9,9,CHI,Brad Sellers,Ohio State,6,398,7154,2509,1064,435,.452,.200,.793,18.0,6.3,2.7,1.1,9.8,.066,-2.2,-0.4
10,10,SAS,Johnny Dawkins,Duke,9,541,14859,5984,1336,2997,.456,.330,.857,27.5,11.1,2.5,5.5,21.8,.070,-0.9,4.2
11,11,DET,John Salley,Georgia Tech,11,748,16524,5228,3356,916,.506,.214,.714,22.1,7.0,4.5,1.2,41.5,.121,0.5,10.5
12,12,WSB,John Williams,LSU,8,435,10952,4406,2201,1262,.451,.225,.704,25.2,10.1,5.1,2.9,19.9,.087,1.2,8.8
13,13,NJN,Pearl Washington,Syracuse,3,194,4044,1660,370,733,.452,.184,.746,20.8,8.6,1.9,3.8,1.9,.023,-1.7,0.3
14,14,POR,Walter Berry,St. John's,3,205,4863,2882,971,292,.539,.200,.638,23.7,14.1,4.7,1.4,8.2,.081,-1.0,1.2
15,15,UTA,Dell Curry,Virginia Tech,16,1083,23549,12670,2617,1909,.457,.402,.843,21.7,11.7,2.4,1.8,41.5,.085,0.9,17.1
16,16,DEN,Maurice Martin,Saint Joseph's,2,69,422,204,65,49,.378,.211,.598,6.1,3.0,0.9,0.7,-0.3,-.033,-6.0,-0.4
17,17,SAC,Harold Pressley,Villanova,4,299,6802,2702,1339,628,.437,.358,.778,22.7,9.0,4.5,2.1,10.0,.070,0.3,4.0
18,18,DEN,Mark Alarie,Duke,5,325,5500,2432,1120,363,.475,.252,.775,16.9,7.5,3.4,1.1,8.4,.073,-2.3,-0.5
19,19,ATL,Billy Thompson,Louisville,6,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069,-1.3,1.2
20,20,HOU,Buck Johnson,Alabama,7,505,11849,4617,1760,856,.488,.113,.738,23.5,9.1,3.5,1.7,20.8,.084,-1.4,1.7
21,21,WSB,Anthony Jones,UNLV,3,164,1704,594,214,119,.393,.306,.740,10.4,3.6,1.3,0.7,0.8,.022,-2.8,-0.3
22,22,MIL,Scott Skiles,Michigan State,10,600,16789,6652,1526,3881,.435,.379,.889,28.0,11.1,2.5,6.5,30.4,.087,-0.4,6.7
23,23,LAL,Ken Barlow,Notre Dame,,,,,,,,,,,,,,,,,
24,24,POR,Arvydas Sabonis,,7,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200,4.4,18.4
25,25,DAL,Mark Price,Georgia Tech,12,722,21560,10989,1848,4863,.472,.402,.904,29.9,15.2,2.6,6.7,71.1,.158,3.7,31.1
26,26,IND,Greg Dreiling,Kansas,10,474,4241,1014,1018,186,.467,.333,.649,8.9,2.1,2.1,0.4,4.0,.045,-5.3,-3.5
27,27,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,.521,.231,.584,31.7,7.3,13.1,1.8,89.8,.150,0.9,21.0
28,28,CHI,Larry Krystkowiak,Montana,9,420,9097,3425,2051,513,.457,.139,.795,21.7,8.2,4.9,1.2,15.6,.082,-2.7,-1.6
29,29,CLE,Johnny Newman,Richmond,16,1159,28435,12740,2536,1688,.461,.336,.810,24.5,11.0,2.2,1.5,50.3,.085,-1.6,2.9
30,30,SEA,Nate McMillan,NC State,12,796,20462,4733,3222,4893,.443,.343,.650,25.7,5.9,4.0,6.1,50.2,.118,3.3,27.2
31,31,PHO,Joe Ward,Georgia,,,,,,,,,,,,,,,,,
32,32,ATL,Cedric Henderson,Georgia,1,8,16,11,8,0,.500,,1.000,2.0,1.4,1.0,0.0,0.0,-.015,-8.6,0.0
33,33,SAS,Kevin Duckworth,Eastern Illinois University,11,684,17462,8085,3945,598,.468,.208,.736,25.5,11.8,5.8,0.9,24.7,.068,-3.8,-7.6
34,34,SAC,Johnny Rogers,University of California Irvine,2,69,636,251,104,29,.472,.000,.679,9.2,3.6,1.5,0.4,0.4,.032,-4.8,-0.4
35,35,DAL,Milt Wagner,Louisville,2,53,496,215,35,76,.422,.296,.875,9.4,4.1,0.7,1.4,0.4,.039,-4.0,-0.2
36,36,WSB,Steve Mitchell,UAB,,,,,,,,,,,,,,,,,
37,37,POR,Panagiotis Fasoulas,NC State,,,,,,,,,,,,,,,,,
38,38,SEA,Lemone Lampley,DePaul,,,,,,,,,,,,,,,,,
39,39,PHO,Rafael Addison,Syracuse,6,379,5697,2186,780,339,.449,.282,.772,15.0,5.8,2.1,0.9,4.9,.041,-3.8,-2.5
40,40,ATL,Augusto Binelli,,,,,,,,,,,,,,,,,,
41,41,DEN,Otis Smith,Jacksonville University,6,375,7720,3951,1416,690,.455,.251,.762,20.6,10.5,3.8,1.8,12.3,.076,0.2,4.2
42,42,ATL,Ron Kellogg,Kansas,,,,,,,,,,,,,,,,,
43,43,HOU,Dave Feitl,Texas-El Paso,5,275,3001,1192,815,125,.433,.000,.751,10.9,4.3,3.0,0.5,1.4,.022,-5.8,-2.9
44,44,PHI,David Wingate,Georgetown,15,740,13243,4166,1420,1376,.445,.272,.738,17.9,5.6,1.9,1.9,11.7,.042,-2.4,-1.2
45,45,MIL,Keith Smith,Loyola Marymount,1,42,461,138,32,43,.380,.333,.750,11.0,3.3,0.8,1.0,0.0,-.003,-5.5,-0.4
46,46,PHO,Jeff Hornacek,Iowa State,14,1077,33964,15659,3646,5281,.496,.403,.877,31.5,14.5,3.4,4.9,108.9,.154,2.9,42.1
47,47,NYK,Michael Jackson,Georgetown,3,89,888,188,70,198,.369,.273,.675,10.0,2.1,0.8,2.2,-0.2,-.011,-4.8,-0.6
48,48,SAS,Forrest McKenzie,Loyola Marymount,1,6,42,17,7,1,.250,.500,1.000,7.0,2.8,1.2,0.2,-0.2,-.223,-16.8,-0.2
49,49,POR,Juden Smith,Texas-El Paso,,,,,,,,,,,,,,,,,
50,50,CLE,Kevin Henderson,Cal State Fullerton,2,22,235,65,24,34,.393,.000,.607,10.7,3.0,1.1,1.5,-0.2,-.038,-6.4,-0.3
51,51,GSW,Mike Williams,Bradley,1,21,102,15,23,2,.333,.000,.500,4.9,0.7,1.1,0.1,0.0,.012,-7.4,-0.1
52,52,CHI,Ricky Wilson,George Mason,1,24,420,125,27,69,.391,.385,.725,17.5,5.2,1.1,2.9,0.3,.032,-2.6,-0.1
53,53,SEA,Tod Murphy,University of California Irvine,5,191,4071,1049,941,183,.454,.290,.679,21.3,5.5,4.9,1.0,8.0,.095,-1.5,0.6
54,54,LAC,Dwayne Polee,Pepperdine,1,1,6,2,0,0,.250,.000,,6.0,2.0,0.0,0.0,0.0,-.397,-22.3,0.0
55,55,PHO,Kenny Gattison,Old Dominion,9,494,9927,3923,2327,444,.520,.083,.649,20.1,7.9,4.7,0.9,16.9,.082,-2.4,-1.1
56,56,PHI,Keith Colbert,Virginia Tech,,,,,,,,,,,,,,,,,
57,57,SAC,Bruce Douglas,Illinois,1,8,98,14,14,17,.292,.000,.000,12.3,1.8,1.8,2.1,-0.2,-.082,-3.0,0.0
58,58,WSB,Dave Henderson,Duke,1,22,351,126,35,34,.405,.000,.681,16.0,5.7,1.6,1.5,-0.4,-.058,-7.1,-0.4
59,59,GSW,Wendell Alexis,Syracuse,,,,,,,,,,,,,,,,,
60,60,POR,Dražen Petrović,,4,290,7669,4461,669,701,.506,.437,.841,26.4,15.4,2.3,2.4,21.5,.134,0.8,5.4
61,61,UTA,John Shasky,Minnesota,3,136,1505,517,379,34,.466,.000,.655,11.1,3.8,2.8,0.3,2.5,.079,-3.4,-0.5
62,62,DAL,Anthony Welch,Illinois,,,,,,,,,,,,,,,,,
63,63,UTA,Bill Breeding,Rocky Mountain College,,,,,,,,,,,,,,,,,
64,64,DEN,Don Redden,LSU,,,,,,,,,,,,,,,,,
