--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,HOU,Ralph Sampson,Virginia,9,456,13591,7039,4011,1038,.486,.172,.661,29.8,15.4,8.8,2.3,20.1,.071,-0.6,5.0
2,2,IND,Steve Stipanovich,Missouri,5,403,12591,5323,3131,938,.484,.179,.796,31.2,13.2,7.8,2.3,30.4,.116,0.6,8.4
3,3,HOU,Rodney McCray,Louisville,10,768,24876,9014,5087,2750,.503,.260,.761,32.4,11.7,6.6,3.6,56.0,.108,1.0,19.1
4,4,SDC,Byron Scott,Arizona State,14,1073,30152,15097,2987,2729,.482,.370,.833,28.1,14.1,2.8,2.5,75.2,.120,0.8,21.0
5,5,CHI,Sidney Green,UNLV,10,679,13247,5080,4128,635,.454,.037,.738,19.5,7.5,6.1,0.9,17.4,.063,-3.2,-3.9
6,6,GSW,Russell Cross,Purdue,1,45,354,166,82,22,.571,,.418,7.9,3.7,1.8,0.5,0.8,.106,-0.8,0.1
7,7,UTA,Thurl Bailey,NC State,12,928,24873,11834,4718,1298,.473,.114,.812,26.8,12.8,5.1,1.4,45.0,.087,-0.9,6.9
8,8,DET,Antoine Carr,Wichita State,16,987,19780,9176,3384,1086,.503,.130,.780,20.0,9.3,3.4,1.1,42.1,.102,-1.2,4.1
9,9,DAL,Dale Ellis,Tennessee,17,1209,34778,19004,4201,1746,.479,.403,.784,28.8,15.7,3.5,1.4,84.7,.117,0.6,22.9
10,10,WSB,Jeff Malone,Mississippi State,13,905,29660,17231,2364,2154,.484,.268,.871,32.8,19.0,2.6,2.4,54.2,.088,-1.5,4.0
11,11,DAL,Derek Harper,Illinois,16,1199,37786,16006,2884,6577,.463,.354,.745,31.5,13.3,2.4,5.5,86.8,.110,1.8,35.7
12,12,NYK,Darrell Walker,Arkansas,10,720,18601,6389,3134,3276,.435,.059,.713,25.8,8.9,4.4,4.6,27.4,.071,0.8,13.0
13,13,KCK,Ennis Whatley,Alabama,10,385,7108,2150,679,1754,.468,.097,.755,18.5,5.6,1.8,4.6,9.6,.065,-0.9,2.0
14,14,POR,Clyde Drexler,Houston,15,1086,37537,22195,6677,6125,.472,.318,.788,34.6,20.4,6.1,5.6,135.6,.173,5.4,70.2
15,15,DEN,Howard Carter,LSU,2,66,754,351,89,75,.440,.227,.774,11.4,5.3,1.3,1.1,0.0,-.002,-5.0,-0.6
16,16,SEA,Jon Sundvold,Missouri,9,502,8811,3886,554,1469,.452,.392,.849,17.6,7.7,1.1,2.9,8.9,.048,-2.4,-0.9
17,17,PHI,Leo Rautins,Syracuse,2,32,208,48,35,32,.350,,.600,6.5,1.5,1.1,1.0,-0.1,-.030,-4.6,-0.2
18,18,MIL,Randy Breuer,Minnesota,11,681,12499,4599,2986,616,.467,.000,.628,18.4,6.8,4.4,0.9,20.9,.080,-1.3,2.3
19,19,SAS,John Paxson,Notre Dame,11,772,17257,5560,906,2758,.499,.355,.804,22.4,7.2,1.2,3.6,36.3,.101,-1.3,3.0
20,20,CLE,Roy Hinson,Rutgers University,8,507,15543,7206,3452,495,.499,.000,.741,30.7,14.2,6.8,1.0,30.2,.093,-1.1,3.4
21,21,BOS,Greg Kite,BYU,12,680,10080,1717,2607,345,.438,.167,.486,14.8,2.5,3.8,0.5,5.6,.027,-4.6,-6.7
22,22,WSB,Randy Wittman,Indiana,9,543,11594,4034,760,1201,.501,.321,.753,21.4,7.4,1.4,2.2,17.2,.071,-1.3,2.1
23,23,IND,Mitchell Wiggins,Florida State,6,389,8105,3877,1235,609,.460,.192,.755,20.8,10.0,3.2,1.6,15.2,.090,-1.2,1.6
24,24,CLE,Stewart Granger,Villanova,3,80,996,316,78,173,.414,.235,.742,12.5,4.0,1.0,2.2,-0.1,-.005,-4.7,-0.7
25,25,CHI,Sidney Lowe,NC State,4,193,3422,562,335,749,.367,.133,.764,17.7,2.9,1.7,3.9,3.9,.055,-1.6,0.3
26,26,IND,Leroy Combs,Oklahoma State,1,48,446,218,56,38,.497,.000,.615,9.3,4.5,1.2,0.8,0.4,.041,-0.8,0.1
27,27,CLE,John Garris,Boston College,1,33,267,131,77,10,.510,,.794,8.1,4.0,2.3,0.3,0.9,.166,-0.1,0.2
28,28,PHO,Rod Foster,UCLA,3,207,3446,1562,258,479,.440,.298,.768,16.6,7.5,1.2,2.3,2.2,.031,-3.3,-1.1
29,29,CHI,Larry Micheaux,Houston,2,96,897,330,256,49,.567,.000,.610,9.3,3.4,2.7,0.5,2.5,.134,0.4,0.6
30,30,DAL,Mark West,Old Dominion,17,1090,20213,6259,5347,428,.580,.000,.568,18.5,5.7,4.9,0.4,41.9,.100,-1.8,1.1
31,31,ATL,Doc Rivers,Marquette,13,864,23567,9377,2625,4889,.444,.328,.784,27.3,10.9,3.0,5.7,68.2,.139,3.1,30.5
32,32,WSB,Michael Britt,University of the District of Columbia,,,,,,,,,,,,,,,,,
33,33,DAL,Dirk Minniefield,Kentucky,3,222,3801,1187,367,845,.470,.272,.739,17.1,5.3,1.7,3.8,4.1,.052,-1.6,0.4
34,34,WSB,Guy Williams,Washington State,2,26,144,68,33,9,.456,.250,.455,5.5,2.6,1.3,0.3,0.2,.055,-1.4,0.0
35,35,SAS,Darrell Lockhart,Auburn,1,2,14,4,3,0,1.000,,,7.0,2.0,1.5,0.0,0.0,-.048,-4.9,0.0
36,36,SEA,Scooter McCray,Louisville,3,77,892,224,190,74,.423,,.611,11.6,2.9,2.5,1.0,0.4,.023,-2.9,-0.2
37,37,DEN,David Russell,St. John's,,,,,,,,,,,,,,,,,
38,38,KCK,Chris McNealy,San Jose State,3,108,1864,466,494,110,.456,,.658,17.3,4.3,4.6,1.0,2.6,.066,-1.9,0.0
39,39,POR,Granville Waiters,Ohio State,5,249,2547,606,540,121,.458,.000,.559,10.2,2.4,2.2,0.5,1.9,.036,-3.3,-0.8
40,40,IND,Jim Thomas,Indiana,4,161,3361,1355,418,377,.471,.170,.763,20.9,8.4,2.6,2.3,4.9,.071,-1.4,0.5
41,41,MIL,Ted Kitchel,Indiana,,,,,,,,,,,,,,,,,
42,42,MIL,Mike Davis,Alabama,,,,,,,,,,,,,,,,,
43,43,GSW,Pace Mannion,Utah,6,216,2125,660,259,231,.413,.203,.663,9.8,3.1,1.2,1.1,1.7,.038,-2.0,0.0
44,44,NJN,Horace Owens,Rhode Island,,,,,,,,,,,,,,,,,
45,45,PHO,Paul Williams,Arizona State,,,,,,,,,,,,,,,,,
46,46,SAS,Kevin Williams,St. John's,5,260,2947,1268,356,319,.435,.077,.805,11.3,4.9,1.4,1.2,2.6,.042,-3.5,-1.1
47,47,PHI,Ken Lyons,University of North Texas,,,,,,,,,,,,,,,,,
48,48,HOU,Craig Ehlo,Washington State,14,873,21071,7492,3139,2456,.453,.369,.689,24.1,8.6,3.6,2.8,41.2,.094,0.6,14.1
49,49,IND,Greg Jones,West Virginia,,,,,,,,,,,,,,,,,
50,50,CLE,Paul Thompson,Tulane,3,154,3105,1374,533,224,.432,.210,.792,20.2,8.9,3.5,1.5,4.9,.076,-0.1,1.5
51,51,PHO,Dereck Whittenburg,NC State,,,,,,,,,,,,,,,,,
52,52,BOS,Winfred King,East Tennessee State University,,,,,,,,,,,,,,,,,
53,53,GSW,Michael Holton,UCLA,6,325,5836,2016,459,977,.441,.257,.807,18.0,6.2,1.4,3.0,4.8,.039,-2.8,-1.2
54,54,UTA,Bob Hansen,Iowa,9,575,11104,3952,1282,947,.468,.323,.662,19.3,6.9,2.2,1.6,15.4,.066,-2.4,-1.2
55,55,DET,Erich Santifer,Syracuse,,,,,,,,,,,,,,,,,
56,56,CLE,Larry Anderson,UNLV,,,,,,,,,,,,,,,,,
57,57,WSB,Darren Daye,UCLA,5,328,5208,2225,844,672,.491,.118,.681,15.9,6.8,2.6,2.0,9.3,.086,-0.3,2.2
58,58,ATL,John Pinone,Villanova,1,7,65,20,10,3,.538,,.600,9.3,2.9,1.4,0.4,0.1,.040,-3.8,0.0
59,59,NJN,Bruce Kuczenski,UConn,1,15,119,28,23,8,.270,,.667,7.9,1.9,1.5,0.5,-0.4,-.152,-6.0,-0.3
60,60,KCK,Steve Harriel,Washington State,,,,,,,,,,,,,,,,,
61,61,DEN,David Little,Oklahoma,,,,,,,,,,,,,,,,,
62,62,POR,Tom Piotrowski,La Salle,1,18,78,30,16,5,.462,,1.000,4.3,1.7,0.9,0.3,0.1,.070,-4.6,-0.1
63,63,SEA,Frank Burnell,Stetson University,,,,,,,,,,,,,,,,,
64,64,PHI,Claude Riley,Texas A&M,,,,,,,,,,,,,,,,,
65,65,MIL,Billy Goodwin,St. John's,,,,,,,,,,,,,,,,,
66,66,CLE,Les Craft,Kansas State,,,,,,,,,,,,,,,,,
67,67,CLE,Derrick Hord,Kentucky,,,,,,,,,,,,,,,,,
68,68,BOS,Craig Robinson,Virginia,,,,,,,,,,,,,,,,,
69,69,LAL,Orlando Phillips,Pepperdine,,,,,,,,,,,,,,,,,
70,70,PHI,Dan Ruland,James Madison University,,,,,,,,,,,,,,,,,
71,71,HOU,Darrell Browder,TCU,,,,,,,,,,,,,,,,,
72,72,IND,Terry Fair,Georgia,,,,,,,,,,,,,,,,,
73,73,CLE,Dwight Jones,Cincinnati,,,,,,,,,,,,,,,,,
74,74,PHI,Kalpatrick Wells,Mississippi State,,,,,,,,,,,,,,,,,
75,75,CHI,Ron Crevier,Boston College,1,3,4,0,1,0,.000,,.000,1.3,0.0,0.3,0.0,-0.1,-.795,-42.2,0.0
76,76,UTA,Doug Arnold,TCU,,,,,,,,,,,,,,,,,
77,77,GSW,Peter Thibeaux,Saint Mary's,2,93,992,462,144,45,.453,.286,.626,10.7,5.0,1.5,0.5,0.1,.005,-5.2,-0.8
78,78,DET,Steve Bouchie,Indiana,,,,,,,,,,,,,,,,,
79,79,DAL,Johnny Martin,Northwestern State University,,,,,,,,,,,,,,,,,
80,80,WSB,Dan Gay,Louisiana,,,,,,,,,,,,,,,,,
81,81,ATL,Harry Kelly,Texas Southern,,,,,,,,,,,,,,,,,
82,82,NYK,Mark Jones,St. Bonaventure,1,6,16,7,2,5,.500,.000,.500,2.7,1.2,0.3,0.8,0.0,.070,-4.0,0.0
83,83,DEN,York Gross,UC Santa Barbara,,,,,,,,,,,,,,,,,
84,84,KCK,Mike Jackson,Wyoming,,,,,,,,,,,,,,,,,
85,85,POR,Tim Dunham,Chaminade University of Honolulu,,,,,,,,,,,,,,,,,
86,86,SEA,Pete DeBisschop,Fairfield,,,,,,,,,,,,,,,,,
87,87,NJN,Barney Mines,Bradley,,,,,,,,,,,,,,,,,
88,88,MIL,Mark Nickens,American University,,,,,,,,,,,,,,,,,
89,89,PHO,Sam Mosley,Nevada,,,,,,,,,,,,,,,,,
90,90,SAS,Brant Weidner,William & Mary,1,8,38,8,11,0,.222,,1.000,4.8,1.0,1.4,0.0,0.0,-.014,-4.9,-0.1
91,91,BOS,Carlos Clark,Ole Miss,2,93,689,223,86,65,.407,.000,.803,7.4,2.4,0.9,0.7,0.6,.044,-2.3,0.0
92,92,LAL,Terry Lewis,Mississippi State,,,,,,,,,,,,,,,,,
93,93,PHI,Craig Robinson,Princeton,,,,,,,,,,,,,,,,,
94,94,HOU,Chuck Barnett,Oklahoma,,,,,,,,,,,,,,,,,
95,95,IND,Roger Stieg,Ole Miss,,,,,,,,,,,,,,,,,
96,96,CLE,Chris Logan,Holy Cross,,,,,,,,,,,,,,,,,
97,97,SDC,Manute Bol,,10,624,11698,1599,2647,171,.407,.210,.561,18.7,2.6,4.2,0.3,12.3,.051,-0.5,4.5
98,98,CHI,Tim Andree,Notre Dame,,,,,,,,,,,,,,,,,
99,99,GSW,Greg Hines,Hampton,,,,,,,,,,,,,,,,,
100,100,UTA,Matt Clark,Oklahoma State,,,,,,,,,,,,,,,,,
101,101,DET,Ken Austin,Rice University,1,7,28,12,3,1,.462,,,4.0,1.7,0.4,0.1,0.0,-.046,-4.9,0.0
102,102,DAL,Jim Lampley,Little Rock,1,1,16,3,5,0,.333,,.500,16.0,3.0,5.0,0.0,0.0,-.003,-5.6,0.0
103,103,WSB,Robin Dixon,University of New Hampshire,,,,,,,,,,,,,,,,,
104,104,ATL,Charles Jones,Oklahoma,,,,,,,,,,,,,,,,,
105,105,NYK,Troy Lee Mikell,East Tennessee State University,,,,,,,,,,,,,,,,,
106,106,KCK,Lorenza Andrews,Oklahoma State,,,,,,,,,,,,,,,,,
107,107,DEN,James Braddock,UNC,,,,,,,,,,,,,,,,,
108,108,POR,Gary Monroe,Wright State University,,,,,,,,,,,,,,,,,
109,109,SEA,Brad Watson,Washington,,,,,,,,,,,,,,,,,
110,110,NJN,Tyren Naulls,Texas A&M,,,,,,,,,,,,,,,,,
111,111,MIL,Mark Petteway,New Orleans,,,,,,,,,,,,,,,,,
112,112,SAS,Jeff Pehl,Richmond,,,,,,,,,,,,,,,,,
113,113,PHO,Rick Lamb,Illinois State,,,,,,,,,,,,,,,,,
114,114,BOS,Bob Reitz,Stonehill College,,,,,,,,,,,,,,,,,
115,115,LAL,Danny Dixon,Alabama A&M University,,,,,,,,,,,,,,,,,
116,116,PHI,Mike Milligan,Tennessee State,,,,,,,,,,,,,,,,,
117,117,HOU,Jim Stack,Northwestern,,,,,,,,,,,,,,,,,
118,118,IND,Cliff Pruitt,UAB,,,,,,,,,,,,,,,,,
119,119,CLE,Mel McLaughlin,Central Michigan University,,,,,,,,,,,,,,,,,
120,120,MIL,Russell Todd,West Virginia,,,,,,,,,,,,,,,,,
121,121,CHI,Ernest Patterson,New Mexico State,,,,,,,,,,,,,,,,,
122,122,UTA,Fred Gilliam,Clemson,,,,,,,,,,,,,,,,,
123,123,GSW,Tom Heywood,Weber State,,,,,,,,,,,,,,,,,
124,124,DET,Derek Perry,Michigan State,,,,,,,,,,,,,,,,,
125,125,DAL,Billy Allen,Nevada,,,,,,,,,,,,,,,,,
126,126,WSB,Donald Carroll,Saint Augustine's College,,,,,,,,,,,,,,,,,
127,127,ATL,Tom Bethea,Richmond,,,,,,,,,,,,,,,,,
128,128,NYK,Tony Simms,Boston University,,,,,,,,,,,,,,,,,
129,129,DEN,Glenn Green,Murray State,,,,,,,,,,,,,,,,,
130,130,KCK,Alvis Rogers,Wake Forest,,,,,,,,,,,,,,,,,
131,131,POR,Derrick Pope,Montana,,,,,,,,,,,,,,,,,
132,132,SEA,Tony Wilson,Western Kentucky,,,,,,,,,,,,,,,,,
