--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CIN,Oscar Robertson,Cincinnati,14,1040,43886,26710,7804,9887,.485,,.838,42.2,25.7,7.5,9.5,189.2,.207,-0.1,1.2
2,2,LAL,Jerry West,West Virginia,14,932,36571,25192,5366,6238,.474,,.814,39.2,27.0,5.8,6.7,162.6,.213,4.7,1.6
3,3,NYK,Darrall Imhoff,California,12,801,17874,5759,6099,1405,.458,,.594,22.3,7.2,7.6,1.8,30.1,.081,,
4,4,DET,Jackie Moreland,Louisiana Tech,5,348,6250,2684,1779,432,.413,,.709,18.0,7.7,5.1,1.2,8.0,.061,,
5,5,SYR,Lee Shaffer,UNC,3,196,5488,3291,1240,232,.420,,.776,28.0,16.8,6.3,1.2,8.2,.072,,
6,6,STL,Lenny Wilkens,Providence,15,1077,38064,17772,5030,7211,.432,,.774,35.3,16.5,4.7,6.7,95.5,.120,1.7,3.4
7,7,PHW,Al Bunge,Maryland,,,,,,,,,,,,,,,,,
8,8,BOS,Tom Sanders,NYU,13,916,22164,8766,5798,1026,.428,,.767,24.2,9.6,6.3,1.1,56.5,.122,,
9,9,CIN,Jay Arnette,Texas,3,114,1177,424,116,139,.365,,.760,10.3,3.7,1.0,1.2,0.1,.006,,
10,10,NYK,Dave Budd,Wake Forest,5,353,6389,2505,1623,337,.460,,.682,18.1,7.1,4.6,1.0,11.7,.088,,
11,11,NYK,Kelly Coleman,Kentucky Wesleyan College,,,,,,,,,,,,,,,,,
12,12,DET,Ron Johnson,Minnesota,1,14,103,37,29,2,.302,,.647,7.4,2.6,2.1,0.1,-0.1,-.054,,
13,13,SYR,Wilbur Trosch,Saint Francis University,,,,,,,,,,,,,,,,,
14,14,STL,Frank Radovich,Indiana,1,37,175,87,51,4,.398,,.500,4.7,2.4,1.4,0.1,0.0,.006,,
15,15,PHW,Pickles Kennedy,Temple,1,7,52,12,8,9,.190,,.667,7.4,1.7,1.1,1.3,-0.1,-.134,,
16,16,BOS,Leroy Wright,University of the Pacific,,,,,,,,,,,,,,,,,
17,17,CIN,Ralph Davis,Cincinnati,2,150,3202,1195,248,424,.409,,.677,21.3,8.0,1.7,2.8,0.4,.006,,
18,18,LAL,Jim Hagan,Tennessee Technological University,,,,,,,,,,,,,,,,,
19,19,NYK,Bob McNeill,Saint Joseph's,2,125,1828,575,179,327,.394,,.819,14.6,4.6,1.4,2.6,1.9,.050,,
20,20,DET,Frank Case,Dayton,,,,,,,,,,,,,,,,,
21,21,SYR,Joe Roberts,Ohio State,3,181,2908,1118,936,109,.383,,.648,16.1,6.2,5.2,0.6,2.2,.036,,
22,22,STL,Fred LaCour,San Francisco,3,144,2400,940,474,269,.421,,.774,16.7,6.5,3.3,1.9,3.4,.068,,
23,23,PHW,Bob Mealy,Manhattan University,,,,,,,,,,,,,,,,,
24,24,BOS,Mike Graney,Notre Dame,,,,,,,,,,,,,,,,,
25,25,CIN,Dalen Showalter,Tennessee,,,,,,,,,,,,,,,,,
26,26,LAL,Wally Frank,Kansas State,,,,,,,,,,,,,,,,,
27,27,LAL,Ben Warley,Tennessee State,5,288,4656,1767,1524,204,.413,,.724,16.2,6.1,5.3,0.7,8.0,.083,,
28,28,DET,Ken Remley,West Virginia Wesleyan College,,,,,,,,,,,,,,,,,
29,29,SYR,Carl Cole,Eastern Kentucky University,,,,,,,,,,,,,,,,,
30,30,STL,Horace Walker,Michigan State,1,65,1331,438,466,69,.339,,.725,20.5,6.7,7.2,1.1,0.3,.010,,
31,31,PHW,Charley Sharp,Texas State University,,,,,,,,,,,,,,,,,
32,32,BOS,Sid Cohen,Kentucky,,,,,,,,,,,,,,,,,
33,33,CIN,Don Ogorek,Seattle University,,,,,,,,,,,,,,,,,
34,34,LAL,George Farley,Cornell,,,,,,,,,,,,,,,,,
35,35,NYK,Charley McNeil,Maryland,,,,,,,,,,,,,,,,,
36,36,DET,Willie Jones,Northwestern,5,272,4568,2016,767,545,.393,,.682,16.8,7.4,2.8,2.0,0.8,.009,,
37,37,SYR,Jim Mudd,University of North Texas,,,,,,,,,,,,,,,,,
38,38,STL,Jimmy Darrow,Bowling Green,1,5,34,12,7,6,.200,,.857,6.8,2.4,1.4,1.2,-0.1,-.112,,
39,39,PHW,Al Attles,North Carolina A&T,11,711,17826,6328,2463,2483,.451,,.632,25.1,8.9,3.5,3.5,36.5,.098,,
40,40,BOS,Wayne Lawrence,Texas A&M,,,,,,,,,,,,,,,,,
41,41,CIN,Bobby Joe Mason,Bradley,,,,,,,,,,,,,,,,,
42,42,LAL,Bobby Goodall,Tulsa,,,,,,,,,,,,,,,,,
43,43,NYK,David Denton,Georgia Tech,,,,,,,,,,,,,,,,,
44,44,DET,Bill Lowry,Christian Brothers University,,,,,,,,,,,,,,,,,
45,45,SYR,Herschell Turner,Nebraska,,,,,,,,,,,,,,,,,
46,46,STL,York Larese,UNC,1,59,703,302,77,94,.373,,.806,11.9,5.1,1.3,1.6,0.3,.020,,
47,47,PHW,Jim Brangan,Princeton,,,,,,,,,,,,,,,,,
48,48,BOS,Roger Newman,Kentucky,,,,,,,,,,,,,,,,,
49,49,CIN,Frank Sobrero,Santa Clara,,,,,,,,,,,,,,,,,
50,50,LAL,Howie Jolliff,Ohio University,3,138,1739,388,586,112,.367,,.527,12.6,2.8,4.2,0.8,0.8,.022,,
51,51,NYK,Dick Doughty,California,,,,,,,,,,,,,,,,,
52,52,DET,Doug Moe,UNC,,,,,,,,,,,,,,,,,
53,53,SYR,Bennie Coffman,Kentucky,,,,,,,,,,,,,,,,,
54,54,STL,Bob Sims,Pepperdine,1,65,1345,509,183,154,.393,,.569,20.7,7.8,2.8,2.4,0.4,.015,,
55,55,PHW,Bob Clarke,Saint Joseph's,,,,,,,,,,,,,,,,,
56,56,CIN,Sam Stith,St. Bonaventure,1,32,440,141,51,60,.364,,.605,13.8,4.4,1.6,1.9,-0.1,-.006,,
57,57,LAL,John Werhas,USC,,,,,,,,,,,,,,,,,
58,58,NYK,George Price,Memphis,,,,,,,,,,,,,,,,,
59,59,DET,Mike Yugovich,Youngstown State University,,,,,,,,,,,,,,,,,
60,60,SYR,Dick Lynch,LeMoyne College,,,,,,,,,,,,,,,,,
61,61,STL,Don Curry,Southern Miss,,,,,,,,,,,,,,,,,
62,62,PHW,George Raveling,Villanova,,,,,,,,,,,,,,,,,
