--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NYK,Cazzie Russell,Michigan,12,817,22213,12377,3068,1838,.464,,.827,27.2,15.1,3.8,2.2,51.7,.112,-0.5,3.3
2,2,DET,Dave Bing,Syracuse,12,901,32769,18327,3420,5397,.441,,.775,36.4,20.3,3.8,6.0,68.8,.101,-0.3,5.6
3,3,SFW,Clyde Lee,Vanderbilt,10,742,19885,5733,7626,788,.432,,.614,26.8,7.7,10.3,1.1,33.5,.081,-2.3,-0.4
4,4,STL,Lou Hudson,Minnesota,13,890,29794,17940,3926,2432,.489,,.797,33.5,20.2,4.4,2.7,81.0,.131,0.4,6.8
5,5,BAL,Jack Marin,Duke,11,849,24590,12541,4405,1813,.465,,.843,29.0,14.8,5.2,2.1,59.3,.116,-1.7,0.5
6,6,CIN,Walt Wesley,Kansas,10,590,10306,5002,3243,385,.434,,.630,17.5,8.5,5.5,0.7,9.5,.044,-2.7,-0.1
7,7,LAL,Jerry Chambers,Utah,4,239,3691,1931,739,182,.442,,.747,15.4,8.1,3.1,0.8,2.8,.037,,
8,8,BOS,Jim Barnett,Oregon,11,732,17410,8536,2259,2232,.435,,.797,23.8,11.7,3.1,3.0,33.2,.092,-1.1,1.1
9,9,PHI,Matt Guokas,Saint Joseph's,10,735,16603,4285,1446,2174,.489,,.727,22.6,5.8,2.0,3.0,26.7,.077,-1.8,0.2
10,10,CHI,Dave Schellhase,Purdue,2,73,513,208,76,60,.349,,.567,7.0,2.8,1.0,0.8,-0.6,-.061,,
11,11,NYK,Henry Akin,Morehead State University,2,86,712,304,177,39,.351,,.676,8.3,3.5,2.1,0.5,-1.2,-.084,,
12,12,DET,Dorie Murrey,Detroit Mercy,6,357,4486,1683,1555,226,.425,,.679,12.6,4.7,4.4,0.6,6.5,.070,,
13,13,SFW,Joe Ellis,San Francisco,8,524,10374,4623,2686,716,.398,,.727,19.8,8.8,5.1,1.4,5.0,.023,-4.0,-0.3
14,14,STL,Dick Snyder,Davidson,13,964,25676,11755,2732,2767,.488,,.824,26.6,12.2,2.8,2.9,58.3,.109,0.1,5.4
15,15,BAL,Neil Johnson,Creighton,4,202,2263,798,685,217,.426,,.613,11.2,4.0,3.4,1.1,2.0,.042,,
16,16,CIN,Jerry Lee Wells,Oklahoma City University,,,,,,,,,,,,,,,,,
17,17,LAL,Hank Finkel,Dayton,9,551,6866,2790,2151,426,.449,,.662,12.5,5.1,3.9,0.8,13.5,.094,-3.0,-0.2
18,18,BOS,Leon Clark,Wyoming,,,,,,,,,,,,,,,,,
19,19,PHI,Bill Melchionni,Villanova,2,144,1450,640,202,203,.412,,.673,10.1,4.4,1.4,1.4,1.0,.033,,
20,20,CHI,Erwin Mueller,San Francisco,6,425,9541,3248,2050,853,.429,,.627,22.4,7.6,4.8,2.0,9.6,.048,,
21,21,NYK,Stew Johnson,Murray State,,,,,,,,,,,,,,,,,
