--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,9,260,6159,2660,818,1119,.469,.280,.732,23.7,10.2,3.1,4.3,8.3,.065,-1.3,1.1
2,2,LAL,Lonzo Ball,UCLA,7,322,9692,3422,1705,1814,.392,.355,.603,30.1,10.6,5.3,5.6,13.3,.066,0.8,6.9
3,3,BOS,Jayson Tatum,Duke,9,601,20707,14132,4453,2328,.458,.368,.839,34.5,23.5,7.4,3.9,67.2,.156,3.8,30.3
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,9,603,19892,12735,2352,3707,.472,.331,.747,33.0,21.1,3.9,6.1,40.3,.097,1.0,15.1
6,6,ORL,Jonathan Isaac,Florida State,7,328,6161,2231,1491,244,.441,.316,.732,18.8,6.8,4.5,0.7,14.9,.116,0.7,4.3
7,7,MIN,Lauri Markkanen,Arizona,9,492,15401,9323,3490,746,.458,.370,.871,31.3,18.9,7.1,1.5,36.7,.114,1.2,12.2
8,8,NYK,Frank Ntilikina,,7,321,5454,1535,563,693,.369,.320,.762,17.0,4.8,1.8,2.2,0.3,.003,-4.4,-3.4
9,9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2
10,10,SAC,Zach Collins,Gonzaga,8,388,7321,3110,1883,700,.485,.334,.765,18.9,8.0,4.9,1.8,12.4,.081,-1.4,1.0
11,11,CHO,Malik Monk,Kentucky,9,585,13307,7216,1494,1842,.434,.355,.851,22.7,12.3,2.6,3.1,16.1,.058,-1.0,3.1
12,12,DET,Luke Kennard,Duke,9,538,12440,5169,1483,1219,.466,.442,.885,23.1,9.6,2.8,2.3,28.1,.108,0.0,6.3
13,13,DEN,Donovan Mitchell,Louisville,9,609,20585,15272,2640,2928,.453,.366,.844,33.8,25.1,4.3,4.8,60.2,.140,3.6,29.4
14,14,MIA,Bam Adebayo,Kentucky,9,640,19719,10391,5756,2276,.522,.316,.759,30.8,16.2,9.0,3.6,64.0,.156,2.5,22.2
15,15,POR,Justin Jackson,UNC,7,280,4886,1676,654,285,.423,.319,.796,17.5,6.0,2.3,1.0,5.3,.052,-2.8,-1.0
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,6,148,1818,657,454,110,.422,.331,.618,12.3,4.4,3.1,0.7,2.9,.077,-2.4,-0.2
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,9,541,15611,8488,4172,767,.546,.369,.789,28.9,15.7,7.7,1.4,43.8,.135,0.5,10.0
20,20,POR,Harry Giles,Duke,4,165,1935,888,573,180,.508,.244,.661,11.7,5.4,3.5,1.1,3.1,.076,-2.5,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
22,22,BRK,Jarrett Allen,Texas,9,624,17540,8148,5715,1048,.641,.159,.711,28.1,13.1,9.2,1.7,73.1,.200,2.4,19.4
23,23,TOR,OG Anunoby,Indiana,9,559,17078,7451,2495,976,.476,.377,.774,30.6,13.3,4.5,1.7,37.6,.106,0.4,10.5
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
25,25,ORL,Anžejs Pasečņiks,,2,28,443,156,108,19,.521,.000,.586,15.8,5.6,3.9,0.7,0.4,.038,-6.2,-0.5
