--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NYK,Patrick Ewing,Georgetown,17,1183,40594,24815,11607,2215,.504,.152,.740,34.3,21.0,9.8,1.9,126.4,.150,2.9,50.1
2,2,IND,Wayman Tisdale,Oklahoma,12,840,23868,12878,5117,1077,.505,.000,.760,28.4,15.3,6.1,1.3,45.7,.092,-1.6,2.3
3,3,LAC,Benoit Benjamin,Creighton,15,807,21911,9223,6063,1070,.497,.048,.721,27.2,11.4,7.5,1.3,32.7,.072,-1.1,4.8
4,4,SEA,Xavier McDaniel,Wichita State,12,870,25201,13606,5313,1775,.485,.261,.718,29.0,15.6,6.1,2.0,47.8,.091,-0.5,9.6
5,5,ATL,Jon Koncak,SMU,11,784,16409,3520,3856,785,.470,.226,.597,20.9,4.5,4.9,1.0,29.2,.085,-1.2,3.3
6,6,SAC,Joe Kleine,Arkansas,15,965,14712,4666,3991,622,.453,.271,.794,15.2,4.8,4.1,0.6,19.1,.062,-3.9,-7.0
7,7,GSW,Chris Mullin,St. John's,16,986,32163,17911,4034,3450,.509,.384,.865,32.6,18.2,4.1,3.5,93.1,.139,3.1,41.6
8,8,DAL,Detlef Schrempf,Washington,16,1136,33597,15761,7023,3833,.491,.384,.803,29.6,13.9,6.2,3.4,109.5,.156,1.8,32.4
9,9,CLE,Charles Oakley,Virginia Union University,19,1282,40280,12417,12205,3217,.471,.253,.761,31.4,9.7,9.5,2.5,89.7,.107,-0.5,15.4
10,10,PHO,Ed Pinckney,Villanova,12,793,15698,5378,3952,727,.535,.000,.765,19.8,6.8,5.0,0.9,42.7,.130,0.3,9.2
11,11,CHI,Keith Lee,Memphis,3,182,2907,1114,861,178,.451,.167,.746,16.0,6.1,4.7,1.0,3.7,.062,-3.0,-0.7
12,12,WSB,Kenny Green,Wake Forest,2,60,625,265,101,16,.412,.000,.721,10.4,4.4,1.7,0.3,-0.3,-.022,-7.3,-0.8
13,13,UTA,Karl Malone,Louisiana Tech,19,1476,54852,36928,14968,5248,.516,.274,.742,37.2,25.0,10.1,3.6,234.6,.205,5.1,99.0
14,14,SAS,Alfredrick Hughes,Loyola Chicago,1,68,866,356,113,61,.409,.176,.583,12.7,5.2,1.7,0.9,-0.5,-.029,-5.7,-0.8
15,15,DEN,Blair Rasmussen,Oregon,8,532,11409,5119,3006,467,.472,.257,.767,21.4,9.6,5.7,0.9,19.0,.080,-3.2,-3.4
16,16,DAL,Bill Wennington,St. John's,13,720,9740,3301,2148,440,.459,.139,.787,13.5,4.6,3.0,0.6,17.7,.087,-3.7,-4.2
17,17,DAL,Uwe Blab,Indiana,5,235,1966,505,413,102,.433,,.608,8.4,2.1,1.8,0.4,0.4,.009,-5.4,-1.7
18,18,DET,Joe Dumars,McNeese State University,14,1018,35139,16401,2203,4612,.460,.382,.843,34.5,16.1,2.2,4.5,86.2,.118,0.8,25.3
19,19,HOU,Steve Harris,Tulsa,5,207,2840,1440,365,238,.434,.050,.842,13.7,7.0,1.8,1.1,3.1,.053,-2.6,-0.4
20,20,BOS,Sam Vincent,Michigan State,7,396,7527,3106,819,1543,.449,.182,.863,19.0,7.8,2.1,3.9,10.9,.069,-0.8,2.2
21,21,PHI,Terry Catledge,University of South Alabama,8,515,13541,6520,3314,459,.485,.094,.654,26.3,12.7,6.4,0.9,20.9,.074,-2.6,-2.0
22,22,MIL,Jerry Reynolds,LSU,8,443,8379,4036,1317,904,.418,.226,.749,18.9,9.1,3.0,2.0,10.5,.060,0.6,5.4
23,23,LAL,A.C. Green,Oregon State,16,1278,36552,12331,9473,1400,.494,.254,.734,28.6,9.6,7.4,1.1,99.5,.131,-0.2,16.6
24,24,POR,Terry Porter,University of Wisconsin-Stevens Point,17,1274,35354,15586,3872,7160,.463,.386,.836,27.8,12.2,3.0,5.6,110.4,.150,2.9,43.3
25,25,POR,Mike Smrek,Canisius,7,194,1890,554,422,49,.431,.000,.617,9.7,2.9,2.2,0.3,0.7,.018,-6.1,-1.9
26,26,IND,Bill Martin,Georgetown,3,84,860,397,136,58,.449,.000,.813,10.2,4.7,1.6,0.7,0.3,.016,-4.4,-0.5
27,27,IND,Dwayne McClain,Villanova,1,45,461,157,30,67,.383,.111,.514,10.2,3.5,0.7,1.5,-0.3,-.026,-3.8,-0.2
28,28,CHI,Ken Johnson,Michigan State,1,64,815,263,243,19,.528,,.435,12.7,4.1,3.8,0.3,0.8,.044,-4.9,-0.6
29,29,SAS,Mike Brittain,South Carolina,2,38,248,63,53,7,.500,,.524,6.5,1.7,1.4,0.2,-0.1,-.011,-7.6,-0.4
30,30,CLE,Calvin Duncan,VCU,,,,,,,,,,,,,,,,,
31,31,WSB,Manute Bol,University of Bridgeport,10,624,11698,1599,2647,171,.407,.210,.561,18.7,2.6,4.2,0.3,12.3,.051,-0.5,4.5
32,32,PHO,Nick Vanos,Santa Clara,2,68,842,222,240,59,.383,.000,.561,12.4,3.3,3.5,0.9,-0.1,-.007,-5.5,-0.7
33,33,PHI,Greg Stokes,Iowa,2,42,384,130,62,17,.445,.000,.696,9.1,3.1,1.5,0.4,0.3,.041,-4.1,-0.2
34,34,CHI,Aubrey Sherrod,Wichita State,,,,,,,,,,,,,,,,,
35,35,SAS,Tyrone Corbin,DePaul,16,1065,27657,9766,5046,1894,.456,.299,.791,26.0,9.2,4.7,1.8,56.5,.098,-0.3,12.0
36,36,NJN,Yvon Joseph,Georgia Tech,1,1,5,2,0,0,,,1.000,5.0,2.0,0.0,0.0,0.0,.309,0.7,0.0
37,37,UTA,Carey Scurry,Long Island University,3,180,2376,847,524,192,.480,.250,.666,13.2,4.7,2.9,1.1,5.3,.107,1.7,2.2
38,38,NJN,Fernando Martín,,1,24,146,22,28,9,.290,.000,.364,6.1,0.9,1.2,0.4,-0.4,-.144,-10.3,-0.3
39,39,POR,George Montgomery,Illinois,,,,,,,,,,,,,,,,,
40,40,DAL,Mark Acres,Oral Roberts,6,375,5982,1343,1525,180,.506,.538,.665,16.0,3.6,4.1,0.5,9.3,.075,-3.3,-1.9
41,41,ATL,Lorenzo Charles,NC State,1,36,273,122,39,8,.557,,.667,7.6,3.4,1.1,0.2,0.5,.086,-1.6,0.0
42,42,GSW,Bobby Lee Hurt,Alabama,,,,,,,,,,,,,,,,,
43,43,DEN,Barry Stevens,Iowa State,1,2,6,2,2,0,.500,,,3.0,1.0,1.0,0.0,0.0,.157,-0.8,0.0
44,44,PHI,Voise Winters,Bradley,1,4,17,6,3,0,.231,.000,,4.3,1.5,0.8,0.0,-0.1,-.355,-21.8,-0.1
45,45,CLE,Hot Rod Williams,Tulane,13,887,26327,9784,5998,1592,.480,.105,.726,29.7,11.0,6.8,1.8,70.5,.129,1.0,19.9
46,46,CHI,Adrian Branch,Maryland,4,130,1429,834,253,96,.455,.231,.744,11.0,6.4,1.9,0.7,2.1,.070,-1.9,0.0
47,47,NYK,Gerald Wilkins,Chattanooga,13,900,26084,11736,2646,2697,.450,.316,.745,29.0,13.0,2.9,3.0,33.9,.062,-1.2,5.3
48,48,IND,Kenny Patterson,DePaul,,,,,,,,,,,,,,,,,
49,49,GSW,Brad Wright,UCLA,2,16,145,54,54,1,.412,.000,.429,9.1,3.4,3.4,0.1,-0.1,-.045,-8.0,-0.2
50,50,DAL,Leonard Allen,San Diego State,,,,,,,,,,,,,,,,,
51,51,SAC,Charles Bradley,South Florida,,,,,,,,,,,,,,,,,
52,52,LAC,Anicet Lavodrama,Houston Baptist University,,,,,,,,,,,,,,,,,
53,53,SEA,Rolando Lamb,VCU,,,,,,,,,,,,,,,,,
