--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHW,Ernie Beck,Penn,7,371,7054,2325,1191,669,.383,,.762,19.0,6.3,3.2,1.8,9.0,.061,,
2,8,NYK,Walter Dukes,Seton Hall,8,553,14671,5765,6223,608,.369,,.700,26.5,10.4,11.3,1.1,24.0,.079,,
3,10,PHW,Larry Hennessy,Villanova,2,74,817,331,94,73,.334,,.766,11.0,4.5,1.3,1.0,-0.9,-.052,,
4,2,BLB,Ray Felix,Long Island University,9,637,15187,6974,5654,456,.412,,.678,23.8,10.9,8.9,0.7,39.6,.125,,
5,3,MLH,Bob Houbregs,Washington,5,281,6725,2611,1552,500,.404,,.721,23.9,9.3,5.5,1.8,16.5,.118,,
6,4,FTW,Jack Molinas,Columbia University,1,32,958,370,228,51,.390,,.759,29.9,11.6,7.1,1.6,3.6,.179,,
7,5,ROC,Richie Regan,Seton Hall,3,215,5494,1785,554,629,.344,,.717,25.6,8.3,2.6,2.9,3.5,.031,,
8,6,BOS,Frank Ramsey,Kentucky,9,623,15330,8378,3410,1134,.399,,.804,24.6,13.4,5.5,1.8,49.2,.154,,
9,7,SYR,Jim Neal,Wofford College,2,80,1093,350,304,33,.301,,.601,13.7,4.4,3.8,0.4,0.1,.005,,
10,9,MNL,Jim Fritsche,Hamline University,2,84,1372,326,249,77,.309,,.738,16.3,3.9,3.0,0.9,-1.6,-.055,,
11,11,NYK,Don Ackerman,Long Island University,1,28,220,43,15,23,.222,,.536,7.9,1.5,0.5,0.8,-0.6,-.123,,
12,12,BLB,Bob Speight,NC State,,,,,,,,,,,,,,,,,
13,13,FTW,George Glasgow,Fairleigh Dickinson University,,,,,,,,,,,,,,,,,
14,14,ROC,Norm Swanson,Detroit Mercy,1,63,611,100,110,33,.226,,.594,9.7,1.6,1.7,0.5,-0.4,-.034,,
15,15,BOS,Chet Noe,Oregon,,,,,,,,,,,,,,,,,
16,16,SYR,Dick Knostman,Kansas State,1,5,47,13,17,6,.300,,.636,9.4,2.6,3.4,1.2,0.2,.183,,
17,17,NYK,Nield Gordon,Furman University,,,,,,,,,,,,,,,,,
18,18,MNL,Ron Feiereisel,DePaul,1,10,59,30,6,6,.286,,.875,5.9,3.0,0.6,0.6,0.0,.040,,
19,,BLB,Bob Peterson,Oregon,3,103,1342,479,389,78,.386,,.669,13.0,4.7,3.8,0.8,1.5,.052,,
20,,BOS,Cliff Hagan,Kentucky,10,745,21731,13447,5116,2242,.450,,.798,29.2,18.0,6.9,3.0,75.1,.166,,
21,,FTW,Jim Bredar,Illinois,,,,,,,,,,,,,,,,,
22,,MLH,Irv Bemoras,Illinois,2,131,2479,827,341,125,.347,,.672,18.9,6.3,2.6,1.0,1.3,.026,,
23,,MNL,Hartly Kruger,Idaho,,,,,,,,,,,,,,,,,
24,,NYK,Dick Atha,Indiana State University,2,43,448,137,66,51,.393,,.795,10.4,3.2,1.5,1.2,0.6,.068,,
25,,PHW,Norm Grekin,La Salle,1,1,1,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,.010,,
26,,ROC,Frank Reddout,Syracuse,1,7,18,13,9,0,.833,,.750,2.6,1.9,1.3,0.0,0.3,.802,,
