--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Mychal Thompson,Minnesota,12,935,27764,12810,6951,2141,.504,,.655,29.7,13.7,7.4,2.3,59.1,.102,0.1,14.5
2,2,KCK,Phil Ford,UNC,7,482,13503,5594,854,3083,.467,,.820,28.0,11.6,1.8,6.4,23.3,.083,-0.8,4.1
3,3,IND,Rick Robey,Kentucky,8,493,8824,3723,2301,611,.501,,.650,17.9,7.6,4.7,1.2,15.8,.086,-1.9,0.1
4,4,NYK,Michael Ray Richardson,Montana,8,556,18589,8253,3056,3899,.457,,.690,33.4,14.8,5.5,7.0,35.2,.091,2.5,21.2
5,5,GSW,Purvis Short,Jackson State University,12,842,24549,14607,3625,2123,.474,,.824,29.2,17.3,4.3,2.5,51.1,.100,0.0,12.1
6,6,BOS,Larry Bird,Indiana State University,13,897,34443,21791,8974,5695,.496,.376,.886,38.4,24.3,10.0,6.3,145.8,.203,6.9,77.2
7,7,POR,Ron Brewer,Arkansas,8,501,12892,5971,971,920,.459,,.824,25.7,11.9,1.9,1.8,17.3,.065,-1.3,2.4
8,8,BOS,Freeman Williams,Portland State,6,323,6606,4738,510,516,.467,,.824,20.5,14.7,1.6,1.6,10.0,.072,-0.5,2.4
9,9,CHI,Reggie Theus,UNLV,13,1026,34603,19015,3349,6453,.471,,.826,33.7,18.5,3.3,6.3,66.9,.093,0.1,18.5
10,10,ATL,Butch Lee,Marquette,2,96,1834,773,137,307,.450,,.761,19.1,8.1,1.4,3.2,2.4,.062,-1.2,0.3
11,11,NOJ,James Hardy,San Francisco,4,249,5379,1410,1312,315,.481,,.700,21.6,5.7,5.3,1.3,6.3,.056,-1.2,1.0
12,12,MIL,George Johnson,St. John's,8,464,9878,4214,2610,817,.463,,.779,21.3,9.1,5.6,1.8,14.1,.068,-1.4,1.4
