--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,SAS,Victor Wembanyama,,3,181,5499,4238,1997,641,.484,.342,.817,30.4,23.4,11.0,3.5,17.5,.152,7.4,13.0
2,2,CHO,Brandon Miller,Alabama,3,166,5275,3158,765,490,.431,.373,.863,31.8,19.0,4.6,3.0,5.7,.052,-0.6,1.9
3,3,POR,Scoot Henderson,,3,158,4272,2132,472,783,.404,.343,.802,27.0,13.5,3.0,5.0,1.1,.013,-3.7,-1.8
4,4,HOU,Amen Thompson,,3,210,6566,3005,1587,848,.541,.219,.731,31.3,14.3,7.6,4.0,22.6,.165,2.9,8.2
5,5,DET,Ausar Thompson,,3,195,4807,1871,1123,482,.515,.204,.600,24.7,9.6,5.8,2.5,11.3,.112,1.0,3.6
6,6,ORL,Anthony Black,Arkansas,3,211,4961,2011,613,567,.441,.338,.724,23.5,9.5,2.9,2.7,6.7,.065,-1.6,0.5
7,7,IND,Bilal Coulibaly,,3,178,5131,1916,793,454,.426,.313,.734,28.8,10.8,4.5,2.6,1.7,.016,-3.4,-1.8
8,8,WAS,Jarace Walker,Houston,3,184,3480,1465,683,342,.434,.386,.732,18.9,8.0,3.7,1.9,2.5,.035,-1.7,0.3
9,9,UTA,Taylor Hendricks,Central Florida,3,102,2049,744,421,89,.449,.354,.714,20.1,7.3,4.1,0.9,2.4,.056,-2.1,-0.1
10,10,DAL,Cason Wallace,Kentucky,3,227,5614,1789,654,493,.463,.374,.803,24.7,7.9,2.9,2.2,14.4,.123,0.8,4.0
11,11,ORL,Jett Howard,Michigan,3,133,1463,597,164,95,.392,.326,.833,11.0,4.5,1.2,0.7,1.4,.046,-3.5,-0.5
12,12,OKC,Dereck Lively II,Duke,3,98,2242,827,685,158,.725,.000,.579,22.9,8.4,7.0,1.6,8.7,.186,1.6,2.0
13,13,TOR,Gradey Dick,Kansas,3,190,3922,1742,472,217,.417,.343,.864,20.6,9.2,2.5,1.1,3.1,.038,-4.0,-2.0
14,14,NOP,Jordan Hawkins,UConn,3,174,3173,1386,394,178,.374,.348,.829,18.2,8.0,2.3,1.0,0.3,.005,-4.7,-2.2
15,15,ATL,Kobe Bufkin,Michigan,3,43,439,180,67,54,.354,.212,.737,10.2,4.2,1.6,1.3,-0.2,-.024,-5.7,-0.4
16,16,UTA,Keyonte George,Baylor,3,196,5918,3374,663,1041,.413,.348,.857,30.2,17.2,3.4,5.3,4.0,.032,-2.2,-0.3
17,17,LAL,Jalen Hood-Schifino,Indiana,2,36,424,140,40,45,.329,.262,.732,11.8,3.9,1.1,1.3,-0.6,-.068,-9.3,-0.8
18,18,MIA,Jaime Jaquez Jr.,UCLA,3,216,5602,2611,950,713,.491,.317,.779,25.9,12.1,4.4,3.3,10.5,.090,-0.9,1.6
19,19,GSW,Brandin Podziemski,Santa Clara,3,220,6017,2562,1171,797,.452,.375,.757,27.4,11.6,5.3,3.6,13.4,.107,0.2,3.4
20,20,HOU,Cam Whitmore,Villanova,3,119,2061,1249,389,97,.450,.349,.712,17.3,10.5,3.3,0.8,3.3,.077,-0.4,0.8
21,21,BRK,Noah Clowney,Alabama,3,135,3192,1362,535,166,.395,.332,.802,23.6,10.1,4.0,1.2,2.4,.036,-3.3,-1.0
22,22,BRK,Dariq Whitehead,Duke,3,28,453,215,57,24,.397,.380,.643,16.2,7.7,2.0,0.9,-0.1,-.015,-5.7,-0.4
23,23,POR,Kris Murray,Iowa,3,188,3721,994,612,229,.425,.259,.600,19.8,5.3,3.3,1.2,3.6,.046,-2.7,-0.6
24,24,SAC,Olivier-Maxence Prosper,Marquette,3,145,1904,852,392,113,.481,.348,.706,13.1,5.9,2.7,0.8,3.8,.097,-1.2,0.4
25,25,MEM,Marcus Sasser,Houston,3,166,2619,1158,233,444,.431,.386,.859,15.8,7.0,1.4,2.7,3.6,.066,-1.8,0.1
26,26,IND,Ben Sheppard,Belmont,3,185,3433,1043,461,252,.419,.342,.827,18.6,5.6,2.5,1.4,4.3,.060,-2.8,-0.7
27,27,CHO,Nick Smith Jr.,Arkansas,3,141,2473,1078,223,235,.398,.374,.882,17.5,7.6,1.6,1.7,-1.0,-.019,-5.6,-2.3
28,28,UTA,Brice Sensabaugh,Ohio State,3,178,3778,2129,543,308,.450,.380,.851,21.2,12.0,3.1,1.7,2.0,.026,-2.5,-0.5
29,29,IND,Julian Strawther,Gonzaga,3,172,2790,1228,317,191,.429,.346,.801,16.2,7.1,1.8,1.1,2.7,.046,-4.2,-1.5
30,30,LAC,Kobe Brown,Missouri,3,145,1629,519,312,129,.455,.338,.779,11.2,3.6,2.2,0.9,2.3,.067,-2.8,-0.3
31,31,DET,James Nnaji,,,,,,,,,,,,,,,,,,
32,32,IND,Jalen Pickett,Penn State,3,126,1595,502,199,243,.425,.387,.774,12.7,4.0,1.6,1.9,2.2,.067,-2.0,0.0
33,33,SAS,Leonard Miller,,3,76,803,410,212,48,.552,.312,.762,10.6,5.4,2.8,0.6,2.0,.120,-0.7,0.3
34,34,CHO,Colby Jones,Xavier,3,70,714,223,131,66,.433,.247,.630,10.2,3.2,1.9,0.9,0.6,.041,-3.4,-0.2
35,35,BOS,Julian Phillips,Tennessee,3,167,1874,595,254,62,.435,.320,.771,11.2,3.6,1.5,0.4,2.5,.065,-3.5,-0.7
36,36,ORL,Andre Jackson Jr.,UConn,3,172,1960,468,367,176,.440,.341,.597,11.4,2.7,2.1,1.0,1.8,.043,-4.2,-1.1
37,37,OKC,Hunter Tyson,Clemson,3,90,610,200,123,39,.349,.281,.780,6.8,2.2,1.4,0.4,0.4,.028,-5.6,-0.6
38,38,SAC,Jordan Walsh,Arkansas,3,129,1698,461,361,78,.471,.344,.732,13.2,3.6,2.8,0.6,4.3,.122,-0.9,0.5
39,39,CHO,Mouhamed Gueye,Washington State,3,116,1785,563,436,100,.436,.291,.700,15.4,4.9,3.8,0.9,4.1,.110,-1.1,0.4
40,40,DEN,Maxwell Lewis,Pepperdine,2,62,430,127,59,25,.380,.339,.692,6.9,2.0,1.0,0.4,-0.2,-.024,-6.6,-0.5
41,41,CHO,Amari Bailey,UCLA,1,10,65,23,9,7,.333,.125,.857,6.5,2.3,0.9,0.7,-0.1,-.044,-8.3,-0.1
42,42,WAS,Tristan Vukcevic,,3,94,1337,856,313,107,.481,.348,.780,14.2,9.1,3.3,1.1,1.6,.059,-0.6,0.5
43,43,POR,Rayan Rupert,,3,155,2165,642,350,155,.381,.322,.771,14.0,4.1,2.3,1.0,0.5,.012,-5.5,-1.9
