--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,5,272,9186,6119,1476,2164,.449,.340,.840,33.8,22.5,5.4,8.0,14.9,.078,2.2,9.8
2,2,HOU,Jalen Green,,5,339,10866,6741,1426,1121,.422,.339,.796,32.1,19.9,4.2,3.3,11.0,.049,-1.1,2.4
3,3,CLE,Evan Mobley,USC,5,334,10819,5592,2994,1018,.547,.309,.674,32.4,16.7,9.0,3.0,34.8,.154,2.4,12.1
4,4,TOR,Scottie Barnes,Florida State,5,356,12204,6204,2665,1842,.475,.301,.773,34.3,17.4,7.5,5.2,27.2,.107,2.3,13.1
5,5,ORL,Jalen Suggs,Gonzaga,5,268,7154,3384,922,1010,.423,.331,.792,26.7,12.6,3.4,3.8,8.3,.055,-0.3,3.1
6,6,OKC,Josh Giddey,,5,334,9926,4861,2548,2197,.461,.337,.764,29.7,14.6,7.6,6.6,17.2,.083,1.5,8.8
7,7,GSW,Jonathan Kuminga,,5,294,6502,3663,1239,539,.502,.332,.699,22.1,12.5,4.2,1.8,13.0,.096,-1.1,1.5
8,8,ORL,Franz Wagner,Michigan,5,325,10417,6251,1585,1180,.475,.324,.851,32.1,19.2,4.9,3.6,24.2,.112,0.9,7.7
9,9,SAC,Davion Mitchell,Baylor,5,371,8651,2932,719,1448,.452,.355,.687,23.3,7.9,1.9,3.9,10.3,.057,-2.6,-1.3
10,10,NOP,Ziaire Williams,Stanford,5,269,5767,2336,809,319,.422,.322,.824,21.4,8.7,3.0,1.2,6.2,.052,-3.0,-1.5
11,11,CHO,James Bouknight,UConn,3,79,900,383,133,73,.363,.335,.762,11.4,4.8,1.7,0.9,-0.3,-.017,-5.9,-0.9
12,12,SAS,Joshua Primo,Alabama,3,56,1068,318,127,99,.371,.300,.750,19.1,5.7,2.3,1.8,-0.2,-.011,-5.3,-0.9
13,13,IND,Chris Duarte,Oregon,4,177,3231,1348,467,231,.406,.349,.813,18.3,7.6,2.6,1.3,1.9,.028,-3.0,-0.8
14,14,GSW,Moses Moody,Arkansas,5,315,5769,2515,770,325,.447,.378,.773,18.3,8.0,2.4,1.0,11.6,.096,-1.0,1.5
15,15,WAS,Corey Kispert,Gonzaga,5,350,8643,3761,954,523,.473,.380,.803,24.7,10.7,2.7,1.5,11.1,.062,-2.3,-0.6
16,16,OKC,Alperen Şengün,,5,358,10499,6049,3086,1605,.518,.281,.699,29.3,16.9,8.6,4.5,30.5,.140,3.1,13.4
17,17,MEM,Trey Murphy III,Virginia,5,317,9197,4868,1353,712,.459,.382,.878,29.0,15.4,4.3,2.2,24.4,.128,1.6,8.3
18,18,OKC,Tre Mann,Florida,5,234,4525,1998,605,501,.402,.345,.795,19.3,8.5,2.6,2.1,1.9,.020,-3.6,-1.8
19,19,NYK,Kai Jones,Texas,3,107,1081,377,259,44,.671,.231,.682,10.1,3.5,2.4,0.4,2.8,.126,-1.2,0.2
20,20,ATL,Jalen Johnson,Duke,5,256,6867,3644,1895,1036,.497,.335,.751,26.8,14.2,7.4,4.0,15.9,.111,2.2,7.2
21,21,NYK,Keon Johnson,Tennessee,4,161,3098,1326,429,313,.379,.324,.765,19.2,8.2,2.7,1.9,-0.3,-.005,-4.2,-1.7
22,22,LAL,Isaiah Jackson,Kentucky,5,219,3346,1540,987,168,.605,.189,.666,15.3,7.0,4.5,0.8,10.3,.148,-0.4,1.3
23,23,HOU,Usman Garuba,,3,105,1228,276,397,82,.467,.363,.625,11.7,2.6,3.8,0.8,2.3,.090,-1.4,0.2
24,24,HOU,Josh Christopher,Arizona State,3,152,2189,987,266,231,.451,.273,.737,14.4,6.5,1.8,1.5,0.2,.003,-3.9,-1.1
25,25,LAC,Quentin Grimes,Houston,5,318,8151,3531,1020,732,.446,.366,.793,25.6,11.1,3.2,2.3,14.4,.085,-0.7,2.7
26,26,DEN,Bones Hyland,VCU,5,257,4351,2366,530,676,.411,.370,.832,16.9,9.2,2.1,2.6,7.4,.082,-0.2,2.0
27,27,BRK,Cam Thomas,LSU,5,257,5861,3822,624,550,.435,.340,.851,22.8,14.9,2.4,2.1,5.0,.041,-2.3,-0.4
28,28,PHI,Jaden Springer,Tennessee,4,110,967,316,152,85,.409,.238,.773,8.8,2.9,1.4,0.8,1.4,.068,-2.7,-0.2
29,29,PHO,Day'Ron Sharpe,UNC,5,253,3932,1777,1492,375,.564,.274,.658,15.5,7.0,5.9,1.5,11.9,.145,0.0,2.0
30,30,UTA,Santi Aldama,Loyola (MD),5,278,6518,2895,1513,570,.463,.346,.686,23.4,10.4,5.4,2.1,14.5,.107,0.9,4.7
31,31,MIL,Isaiah Todd,,2,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-.124,-10.2,-0.3
32,32,NYK,Jeremiah Robinson-Earl,Villanova,5,219,3835,1292,948,216,.434,.335,.811,17.5,5.9,4.3,1.0,5.9,.074,-2.4,-0.4
33,33,ORL,Jason Preston,Ohio University,2,21,195,53,39,43,.400,.238,.000,9.3,2.5,1.9,2.0,0.1,.023,-2.6,0.0
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,
35,35,NOP,Herbert Jones,Alabama,5,296,8843,2929,1105,748,.458,.350,.822,29.9,9.9,3.7,2.5,16.4,.089,-0.9,2.6
36,36,OKC,Miles McBride,West Virginia,5,277,5133,1975,453,520,.409,.374,.781,18.5,7.1,1.6,1.9,10.5,.099,-0.4,2.0
37,37,DET,JT Thor,Auburn,4,185,2261,599,389,90,.419,.317,.651,12.2,3.2,2.1,0.5,1.2,.026,-4.5,-1.5
38,38,CHI,Ayo Dosunmu,Illinois,5,348,9695,3878,1048,1161,.505,.380,.804,27.9,11.1,3.0,3.3,17.5,.086,-1.2,2.0
39,39,SAC,Neemias Queta,Utah State University,5,186,3271,1297,1036,198,.642,.091,.707,17.6,7.0,5.6,1.1,14.2,.209,1.4,2.8
