--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,4,FTW,Dick Rosenthal,Notre Dame,2,85,1594,575,352,170,.362,,.702,18.8,6.8,4.1,2.0,1.9,.057,,
2,5,BOS,Togo Palazzi,Holy Cross,6,324,4344,2382,1113,233,.386,,.730,13.4,7.4,3.4,0.7,6.5,.072,,
3,9,MNL,Ed Kalafat,Minnesota,3,209,4358,1474,1182,310,.345,,.688,20.9,7.1,5.7,1.5,5.3,.059,,
4,1,BLB,Frank Selvy,Furman University,9,565,14908,6120,2098,1579,.394,,.728,26.4,10.8,3.7,2.8,23.8,.077,,
5,2,MLH,Bob Pettit,LSU,11,792,30690,20880,12849,2369,.436,,.761,38.8,26.4,16.2,3.0,136.0,.213,,
6,3,PHW,Gene Shue,Maryland,10,699,23338,10068,2855,2608,.396,,.806,33.4,14.4,4.1,3.7,38.9,.080,,
7,6,SYR,Red Kerr,Illinois,12,905,27784,12480,10092,2004,.418,,.723,30.7,13.8,11.2,2.2,61.8,.107,,
8,7,ROC,Tom Marshall,Western Kentucky,4,168,2587,952,492,188,.388,,.709,15.4,5.7,2.9,1.1,4.1,.076,,
9,8,NYK,Jack Turner,Western Kentucky,1,65,922,282,154,77,.360,,.789,14.2,4.3,2.4,1.2,0.6,.032,,
10,10,BLB,Slick Leonard,Indiana,7,426,11632,4204,1217,1427,.349,,.745,27.3,9.9,2.9,3.3,3.8,.016,,
11,11,MLH,Bob Mattick,Oklahoma State,,,,,,,,,,,,,,,,,
12,12,PHW,Larry Costello,Niagara University,12,706,21198,8622,2705,3215,.438,,.841,30.0,12.2,3.8,4.6,62.7,.142,,
13,13,FTW,Arnold Short,Oklahoma City University,,,,,,,,,,,,,,,,,
14,14,BOS,Red Morrison,Idaho,3,155,2216,555,822,135,.396,,.572,14.3,3.6,5.3,0.9,2.2,.048,,
15,15,SYR,Dick Farley,Indiana,3,211,3822,1378,527,386,.384,,.700,18.1,6.5,2.5,1.8,8.2,.103,,
16,16,ROC,Boris Nachamkin,NYU,1,6,59,20,19,3,.300,,.615,9.8,3.3,3.2,0.5,0.0,-.010,,
17,17,NYK,Richie Guerin,Iona College,13,848,27449,14676,4278,4211,.416,,.780,32.4,17.3,5.0,5.0,69.2,.121,,
18,18,MNL,Al Bianchi,Bowling Green,10,687,13649,5550,1722,1497,.374,,.707,19.9,8.1,2.5,2.2,8.2,.029,,
19,19,BLB,Werner Killen,Lawrence Technological University,,,,,,,,,,,,,,,,,
20,20,MLH,Walt Walowac,Marshall,,,,,,,,,,,,,,,,,
21,21,PHW,Ben Peters,Benedictine College,,,,,,,,,,,,,,,,,
22,22,FTW,B. H. Born,Kansas,,,,,,,,,,,,,,,,,
23,23,BOS,Henry Daubenschmidt,St. Francis College,,,,,,,,,,,,,,,,,
24,24,SYR,Jim Tucker,Duquesne,3,99,1301,407,349,52,.349,,.762,13.1,4.1,3.5,0.5,1.3,.047,,
25,25,ROC,Lee Morton,Cornell,,,,,,,,,,,,,,,,,
26,26,NYK,Don Anielak,Missouri State,1,1,10,3,2,0,.000,,.750,10.0,3.0,2.0,0.0,-0.1,-.263,,
27,27,MNL,Don Lance,Rice University,,,,,,,,,,,,,,,,,
28,28,BLB,Burt Spice,Toledo,,,,,,,,,,,,,,,,,
29,29,MLH,Phil Martin,Toledo,1,7,47,12,10,6,.263,,1.000,6.7,1.7,1.4,0.9,-0.1,-.094,,
30,30,PHW,Chuck Noble,Louisville,7,411,9212,3276,1075,1344,.346,,.731,22.4,8.0,2.6,3.3,-0.9,-.005,,
31,31,FTW,Mel Thompson,NC State,,,,,,,,,,,,,,,,,
32,32,BOS,Ron Perry,Holy Cross,,,,,,,,,,,,,,,,,
33,33,SYR,Don McLane,Duquesne,,,,,,,,,,,,,,,,,
34,34,ROC,Art Spoelstra,Western Kentucky,4,278,5248,2012,1273,266,.391,,.693,18.9,7.2,4.6,1.0,8.6,.079,,
35,35,NYK,Don Lange,United States Naval Academy,,,,,,,,,,,,,,,,,
36,36,MNL,Gene Schwinger,Rice University,,,,,,,,,,,,,,,,,
37,37,BLB,Lou Scott,Indiana,,,,,,,,,,,,,,,,,
38,38,MLH,Paul Ebert,Ohio State,,,,,,,,,,,,,,,,,
39,39,PHW,Rudy D'Emilio,Duke,,,,,,,,,,,,,,,,,
40,40,FTW,Dutch Burch,Pitt,,,,,,,,,,,,,,,,,
41,41,BOS,Troy Burrus,West Texas A&M University,,,,,,,,,,,,,,,,,
42,42,SYR,Tom Pottenburgh,Siena College,,,,,,,,,,,,,,,,,
43,43,ROC,Bo Erias,Niagara University,1,18,401,148,83,26,.347,,.638,22.3,8.2,4.6,1.4,-0.1,-.018,,
