--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,4,270,9313,6031,2000,1292,.449,.317,.743,34.5,22.3,7.4,4.8,16.1,.083,1.0,7.1
2,2,OKC,Chet Holmgren,Gonzaga,3,183,5287,3017,1520,378,.534,.369,.785,28.9,16.5,8.3,2.1,21.2,.192,3.5,7.4
3,3,HOU,Jabari Smith Jr.,Auburn,4,289,9296,3967,2113,425,.437,.347,.796,32.2,13.7,7.3,1.5,18.3,.094,-1.4,1.4
4,4,SAC,Keegan Murray,Iowa,4,256,8373,3411,1430,374,.447,.365,.807,32.7,13.3,5.6,1.5,14.1,.081,-1.2,1.6
5,5,DET,Jaden Ivey,Purdue,4,218,6089,3233,767,870,.430,.355,.749,27.9,14.8,3.5,4.0,2.9,.023,-2.4,-0.6
6,6,IND,Bennedict Mathurin,Arizona,4,263,7529,4263,1228,500,.442,.336,.838,28.6,16.2,4.7,1.9,8.3,.053,-3.2,-2.2
7,7,POR,Shaedon Sharpe,Kentucky,4,234,6561,3676,937,518,.450,.332,.781,28.0,15.7,4.0,2.2,5.9,.043,-2.1,-0.2
8,8,NOP,Dyson Daniels,,4,272,7491,2555,1393,1080,.488,.298,.614,27.5,9.4,5.1,4.0,15.8,.102,0.8,5.3
9,9,SAS,Jeremy Sochan,Baylor,4,228,5484,2250,1230,559,.470,.286,.725,24.1,9.9,5.4,2.5,5.4,.047,-2.8,-1.1
10,10,WAS,Johnny Davis,Wisconsin,3,112,1278,395,175,71,.397,.273,.561,11.4,3.5,1.6,0.6,-0.4,-.013,-6.2,-1.3
11,11,NYK,Ousmane Dieng,,4,166,2438,899,417,250,.423,.314,.720,14.7,5.4,2.5,1.5,2.0,.040,-3.1,-0.7
12,12,OKC,Jalen Williams,Santa Clara,4,248,7672,4464,1140,1105,.509,.374,.808,30.9,18.0,4.6,4.5,23.8,.149,2.2,8.2
13,13,CHO,Jalen Duren,Memphis,4,276,7457,3736,2848,569,.652,.000,.715,27.0,13.5,10.3,2.1,29.5,.190,2.0,7.5
14,14,CLE,Ochai Agbaji,Kansas,4,263,5562,1903,720,295,.448,.339,.755,21.1,7.2,2.7,1.1,5.5,.047,-2.9,-1.3
15,15,CHO,Mark Williams,Duke,4,166,3923,2000,1412,207,.629,.200,.760,23.6,12.0,8.5,1.2,16.0,.196,1.9,3.8
16,16,ATL,AJ Griffin,Duke,2,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1
17,17,HOU,Tari Eason,LSU,4,221,5216,2288,1387,288,.451,.350,.748,23.6,10.4,6.3,1.3,11.8,.108,0.1,2.8
18,18,CHI,Dalen Terry,Arizona,4,218,2433,767,360,266,.443,.314,.638,11.2,3.5,1.7,1.2,3.1,.061,-2.6,-0.3
19,19,MIN,Jake LaRavia,Wake Forest,4,218,4630,1616,776,382,.441,.351,.756,21.2,7.4,3.6,1.8,8.2,.085,-1.2,0.9
20,20,SAS,Malaki Branham,Ohio State,4,216,3846,1726,424,344,.441,.339,.840,17.8,8.0,2.0,1.6,0.1,.001,-4.9,-2.9
21,21,DEN,Christian Braun,Kansas,4,281,6910,2704,1108,516,.526,.365,.758,24.6,9.6,3.9,1.8,16.4,.114,-1.0,1.8
22,22,MEM,Walker Kessler,Auburn,4,201,5090,1910,1862,241,.681,.266,.545,25.3,9.5,9.3,1.2,17.1,.161,2.0,5.1
23,23,PHI,David Roddy,Colorado State,4,173,2918,1084,508,178,.424,.301,.693,16.9,6.3,2.9,1.0,2.0,.033,-3.9,-1.4
24,24,MIL,MarJon Beauchamp,,4,149,1661,651,290,92,.431,.352,.712,11.1,4.4,1.9,0.6,1.4,.041,-3.8,-0.7
25,25,SAS,Blake Wesley,Notre Dame,4,187,2589,817,275,440,.416,.294,.617,13.8,4.4,1.5,2.4,-0.2,-.004,-5.4,-2.2
26,26,DAL,Wendell Moore Jr.,Duke,4,96,787,220,131,70,.464,.246,.828,8.2,2.3,1.4,0.7,1.0,.059,-2.5,-0.1
27,27,MIA,Nikola Jović,,4,154,3064,1272,556,333,.425,.341,.756,19.9,8.3,3.6,2.2,4.7,.073,-0.9,0.8
28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,4,102,928,376,211,48,.405,.376,.667,9.1,3.7,2.1,0.5,0.7,.034,-3.3,-0.3
29,29,MEM,TyTy Washington Jr.,Kentucky,4,74,695,215,69,85,.357,.243,.542,9.4,2.9,0.9,1.1,-0.2,-.012,-5.7,-0.7
30,30,OKC,Peyton Watson,UCLA,4,225,4928,1947,792,302,.479,.361,.697,21.9,8.7,3.5,1.3,7.8,.076,-1.8,0.3
31,31,IND,Andrew Nembhard,Gonzaga,4,265,7437,2954,716,1384,.457,.344,.809,28.1,11.1,2.7,5.2,8.9,.057,-2.2,-0.2
32,32,ORL,Caleb Houstan,Michigan,4,186,2490,727,269,98,.397,.378,.844,13.4,3.9,1.4,0.5,4.2,.081,-2.6,-0.4
33,33,TOR,Christian Koloko,Arizona,3,122,1501,345,344,65,.493,.080,.648,12.3,2.8,2.8,0.5,2.9,.094,-3.6,-0.6
34,34,OKC,Jaylin Williams,Arkansas,4,230,3872,1311,1095,464,.428,.387,.770,16.8,5.7,4.8,2.0,11.7,.145,1.6,3.6
35,35,LAL,Max Christie,Michigan State,4,263,5827,2106,724,378,.433,.386,.864,22.2,8.0,2.8,1.4,6.7,.055,-2.4,-0.6
36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,
37,37,SAC,Jaden Hardy,,4,235,3502,1969,395,313,.425,.386,.756,14.9,8.4,1.7,1.3,0.5,.007,-4.1,-1.8
38,38,SAS,Kennedy Chandler,Tennessee,2,47,636,243,75,132,.436,.321,.607,13.5,5.2,1.6,2.8,0.5,.035,-4.4,-0.4
39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,
40,40,MIN,Bryce McGowens,Nebraska,4,160,2581,901,286,169,.438,.351,.771,16.1,5.6,1.8,1.1,2.3,.043,-4.7,-1.7
41,41,NOP,E.J. Liddell,Ohio State,3,46,425,172,83,28,.477,.313,.833,9.2,3.7,1.8,0.6,0.6,.070,-3.5,-0.2
42,42,NYK,Trevor Keels,Duke,2,11,23,11,4,0,.250,.231,,2.1,1.0,0.4,0.0,-0.1,-.150,-14.0,-0.1
43,43,LAC,Moussa Diabaté,Michigan,4,177,3399,1066,1147,205,.606,.200,.634,19.2,6.0,6.5,1.2,11.4,.162,0.2,1.9
44,44,ATL,Ryan Rollins,Toledo,4,155,3336,1697,471,538,.474,.408,.800,21.5,10.9,3.0,3.5,5.1,.074,-0.1,1.6
45,45,CHO,Josh Minott,Memphis,4,142,1297,579,247,77,.495,.396,.833,9.1,4.1,1.7,0.5,4.0,.148,2.3,1.4
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,
47,47,MEM,Vince Williams Jr.,VCU,4,134,2860,1030,558,400,.400,.322,.796,21.3,7.7,4.2,3.0,3.2,.054,-1.5,0.4
48,48,MIN,Kendall Brown,Baylor,2,21,103,30,11,8,.545,.000,.600,4.9,1.4,0.5,0.4,0.1,.055,-5.3,-0.1
49,49,CLE,Isaiah Mobley,USC,3,23,173,60,34,14,.407,.333,.714,7.5,2.6,1.5,0.6,0.3,.090,-3.0,0.0
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,
51,51,GSW,Tyrese Martin,UConn,3,122,2158,834,347,202,.401,.337,.761,17.7,6.8,2.8,1.7,1.0,.022,-3.0,-0.5
52,52,NOP,Karlo Matković,,2,104,1703,677,438,96,.589,.378,.753,16.4,6.5,4.2,0.9,4.3,.120,-0.6,0.6
53,53,BOS,JD Davison,Alabama,4,64,416,137,66,69,.380,.266,.688,6.5,2.1,1.0,1.1,0.6,.066,-2.3,0.0
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,
55,55,GSW,Gui Santos,,3,147,2349,934,487,253,.490,.347,.737,16.0,6.4,3.3,1.7,5.2,.105,-0.9,0.7
56,56,CLE,Luke Travers,,2,24,191,40,44,17,.250,.040,1.000,8.0,1.7,1.8,0.7,-0.1,-.025,-6.2,-0.2
57,57,POR,Jabari Walker,Colorado,4,252,3830,1443,1042,176,.463,.323,.738,15.2,5.7,4.1,0.7,6.8,.085,-3.1,-1.1
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,
,,,,,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.,Milwaukee Bucks forfeited their Second Round pick.
,,,,,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.,Miami Heat forfeited their Second Round pick.
