--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Danny Manning,Kansas,15,883,24202,12367,4615,2063,.511,.206,.729,27.4,14.0,5.2,2.3,55.1,.109,1.0,18.4
2,2,IND,Rik Smits,Marist College,12,867,23100,12871,5277,1215,.507,.115,.773,26.6,14.8,6.1,1.4,56.6,.118,-0.2,10.4
3,3,PHI,Charles Smith,Pitt,9,564,16378,8107,3246,798,.475,.194,.774,29.0,14.4,5.8,1.4,40.9,.120,-0.1,8.1
4,4,NJN,Chris Morris,Auburn,11,747,18748,8184,3544,1182,.441,.306,.739,25.1,11.0,4.7,1.6,37.4,.096,0.9,13.7
5,5,GSW,Mitch Richmond,Kansas State,14,976,34309,20497,3801,3398,.455,.388,.850,35.2,21.0,3.9,3.5,79.3,.111,1.4,29.3
6,6,LAC,Hersey Hawkins,Bradley,13,983,32034,14470,3554,2860,.461,.394,.870,32.6,14.7,3.6,2.9,90.6,.136,2.0,32.6
7,7,PHO,Tim Perry,Temple,8,481,9436,3283,1911,436,.485,.318,.648,19.6,6.8,4.0,0.9,14.6,.074,-1.4,1.5
8,8,CHH,Rex Chapman,Kentucky,12,666,19542,9731,1645,1798,.430,.350,.800,29.3,14.6,2.5,2.7,24.7,.061,-1.0,5.2
9,9,MIA,Rony Seikaly,Syracuse,11,678,21395,9991,6424,860,.484,.188,.679,31.6,14.7,9.5,1.3,37.3,.084,-1.9,0.6
10,10,SAS,Willie Anderson,Georgia,9,555,15974,6771,2082,2105,.471,.266,.786,28.8,12.2,3.8,3.8,27.9,.084,0.1,8.6
11,11,CHI,Will Perdue,Vanderbilt,13,792,12360,3740,3918,595,.515,.067,.577,15.6,4.7,4.9,0.8,26.6,.103,-2.1,-0.2
12,12,WSB,Harvey Grant,Oklahoma,11,783,20510,7781,3436,1219,.469,.267,.709,26.2,9.9,4.4,1.6,36.4,.085,-0.9,5.7
13,13,MIL,Jeff Grayer,Iowa State,9,438,8277,3257,1294,635,.457,.255,.663,18.9,7.4,3.0,1.4,9.0,.052,-2.5,-1.1
14,14,PHO,Dan Majerle,Central Michigan University,14,955,30206,10925,4265,2755,.431,.358,.741,31.6,11.4,4.5,2.9,78.5,.125,1.9,29.7
15,15,SEA,Gary Grant,Michigan,13,552,12602,4368,1283,3013,.450,.278,.776,22.8,7.9,2.3,5.5,12.0,.046,-0.8,3.7
16,16,HOU,Derrick Chievous,Missouri,3,154,2240,1086,364,110,.443,.242,.755,14.5,7.1,2.4,0.7,2.7,.057,-3.2,-0.7
17,17,UTA,Eric Leckner,Wyoming,8,449,5448,1835,1418,211,.508,.000,.669,12.1,4.1,3.2,0.5,6.2,.054,-5.3,-4.6
18,18,SAC,Ricky Berry,San Jose State,1,64,1406,706,197,80,.450,.406,.789,22.0,11.0,3.1,1.3,2.4,.083,-1.7,0.1
19,19,NYK,Rod Strickland,DePaul,17,1094,33634,14463,4084,7987,.454,.282,.721,30.7,13.2,3.7,7.3,85.8,.122,2.3,36.6
20,20,MIA,Kevin Edwards,DePaul,11,604,15332,6596,1653,1609,.423,.335,.803,25.4,10.9,2.7,2.7,12.5,.039,-1.1,3.3
21,21,POR,Mark Bryant,Seton Hall,15,797,13479,4313,2992,491,.500,.083,.697,16.9,5.4,3.8,0.6,26.1,.093,-3.2,-4.0
22,22,CLE,Randolph Keys,Southern Miss,5,241,3318,1262,551,192,.425,.272,.721,13.8,5.2,2.3,0.8,2.3,.034,-3.9,-1.6
23,23,DEN,Jerome Lane,Pitt,5,218,3215,1154,1258,322,.441,.063,.379,14.7,5.3,5.8,1.5,2.3,.034,-3.6,-1.3
24,24,BOS,Brian Shaw,UC Santa Barbara,14,943,21666,6547,3183,3918,.403,.304,.782,23.0,6.9,3.4,4.2,23.8,.053,-1.0,5.3
25,25,LAL,David Rivers,Notre Dame,3,114,1286,383,147,282,.398,.083,.794,11.3,3.4,1.3,2.5,-0.3,-.010,-4.0,-0.7
26,26,POR,Rolando Ferreira,Houston,1,12,34,9,13,1,.056,,.875,2.8,0.8,1.1,0.1,-0.2,-.352,-23.2,-0.2
27,27,SAS,Shelton Jones,St. John's,1,51,682,244,113,42,.445,.000,.725,13.4,4.8,2.2,0.8,0.3,.022,-3.3,-0.2
28,28,PHO,Andrew Lang,Arkansas,12,737,15344,4431,3511,424,.470,.250,.744,20.8,6.0,4.8,0.6,28.6,.089,-1.8,0.7
29,29,SAC,Vinny Del Negro,NC State,12,771,19211,7038,1810,2484,.475,.359,.840,24.9,9.1,2.3,3.2,40.6,.101,-0.7,6.1
30,30,DET,Fennis Dembo,Wyoming,1,31,74,36,23,5,.333,.000,.800,2.4,1.2,0.7,0.2,-0.1,-.037,-10.8,-0.2
31,31,PHI,Everette Stephens,Purdue,2,38,215,71,23,39,.333,.200,.792,5.7,1.9,0.6,1.0,-0.4,-.083,-4.7,-0.1
32,32,NJN,Charles Shackleford,NC State,6,303,4614,1625,1448,170,.483,.000,.654,15.2,5.4,4.8,0.6,7.3,.076,-3.0,-1.2
33,33,MIA,Grant Long,Eastern Michigan,15,1003,28514,9518,6154,1716,.467,.283,.761,28.4,9.5,6.1,1.7,60.1,.101,-0.6,10.2
34,34,CHH,Tom Tolbert,Arizona,7,312,5680,2030,1251,285,.460,.296,.716,18.2,6.5,4.0,0.9,6.6,.056,-3.4,-2.0
35,35,MIA,Sylvester Gray,Memphis,1,55,1220,440,286,117,.420,.250,.673,22.2,8.0,5.2,2.1,0.7,.028,-2.6,-0.2
36,36,WSB,Ledell Eackles,New Orleans,7,441,8917,4783,979,740,.445,.336,.767,20.2,10.8,2.2,1.7,10.8,.058,-2.3,-0.7
37,37,NYK,Greg Butler,Stanford,3,55,210,76,53,4,.354,.000,.714,3.8,1.4,1.0,0.1,-0.3,-.078,-12.7,-0.6
38,38,PHO,Dean Garrett,Indiana,6,359,6969,1737,1810,204,.480,,.677,19.4,4.8,5.0,0.6,14.1,.097,-1.4,1.1
39,39,MIL,Tito Horford,Miami (FL),3,63,376,93,84,5,.300,,.628,6.0,1.5,1.3,0.1,-0.5,-.069,-9.4,-0.7
40,40,MIA,Orlando Graham,Auburn University at Montgomery,1,7,22,8,11,0,.300,,.500,3.1,1.1,1.6,0.0,0.0,-.047,-13.2,-0.1
41,41,GSW,Keith Smart,Indiana,1,2,12,2,1,2,.000,.000,1.000,6.0,1.0,0.5,1.0,0.0,-.175,-14.1,0.0
42,42,UTA,Jeff Moe,Iowa,,,,,,,,,,,,,,,,,
