--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Austin Carr,Notre Dame,10,682,19660,10473,1990,1878,.449,,.804,28.8,15.4,2.9,2.8,32.9,.080,-0.6,5.2
2,2,POR,Sidney Wicks,UCLA,10,760,25762,12803,6620,2437,.459,,.685,33.9,16.8,8.7,3.2,42.4,.079,-0.3,8.2
3,3,BUF,Elmore Smith,Kentucky State University,8,562,17879,7541,5962,808,.482,,.579,31.8,13.4,10.6,1.4,34.7,.093,1.2,9.4
4,4,CIN,Ken Durrett,La Salle,4,120,1205,484,233,54,.434,,.637,10.0,4.0,1.9,0.5,0.6,.025,-3.9,-0.5
5,5,ATL,George Trapp,Cal State Long Beach,6,379,6863,3353,1466,375,.444,,.752,18.1,8.8,3.9,1.0,8.4,.059,-2.6,-0.6
6,6,SEA,Fred Brown,Iowa,13,963,24422,14018,2637,3160,.478,,.858,25.4,14.6,2.7,3.3,63.2,.124,2.1,22.6
7,7,HOU,Cliff Meely,Colorado,5,318,6329,2658,1703,398,.417,,.675,19.9,8.4,5.4,1.3,4.6,.035,-2.9,-0.6
8,8,GSW,Darnell Hillman,San Jose State,4,287,6594,2471,1881,406,.466,,.592,23.0,8.6,6.6,1.4,9.9,.072,-1.8,0.3
9,9,BAL,Stan Love,Oregon,3,227,3451,1550,905,172,.440,,.751,15.2,6.8,4.0,0.8,5.5,.076,-3.1,-0.3
10,10,BOS,Clarence Glover,Western Kentucky,1,25,119,65,46,4,.455,,.469,4.8,2.6,1.8,0.2,0.3,.103,,
11,11,DET,Curtis Rowe,UCLA,8,590,18277,6873,4264,932,.482,,.701,31.0,11.6,7.2,1.6,34.1,.090,-1.0,3.2
12,12,PHI,Dana Lewis,Tulsa,,,,,,,,,,,,,,,,,
13,13,LAL,Jim Cleamons,Ohio State,9,652,16994,5412,1981,2531,.460,,.765,26.1,8.3,3.0,3.9,29.1,.082,-0.3,6.6
14,14,PHO,John Roche,South Carolina,3,162,3450,1358,178,640,.468,,.819,21.3,8.4,1.1,4.0,5.4,.075,-1.2,0.6
15,15,CHI,Kenny McIntosh,Eastern Michigan,4,177,3700,934,696,173,.361,,.581,20.9,5.3,3.9,1.0,-1.5,-.020,-3.2,-0.7
16,16,NYK,Dean Meminger,Marquette,6,416,8554,2552,1086,1046,.475,,.627,20.6,6.1,2.6,2.5,16.6,.093,-0.3,2.6
17,17,MIL,Collis Jones,Notre Dame,,,,,,,,,,,,,,,,,
18,18,CLE,Steve Patterson,UCLA,5,350,5582,1552,1632,443,.403,,.594,15.9,4.4,4.7,1.3,4.8,.041,-1.2,0.9
19,19,BUF,Fred Hilton,Grambling State University,2,120,2080,1131,254,190,.388,,.749,17.3,9.4,2.1,1.6,-3.5,-.080,,
20,20,CHI,Willie Sojourner,Weber State,,,,,,,,,,,,,,,,,
21,21,CIN,John Mengelt,Auburn,10,636,12788,6218,1221,1329,.479,,.809,20.1,9.8,1.9,2.1,27.9,.105,-1.1,2.2
22,22,ATL,Ted McClain,Tennessee State,3,178,3487,1058,410,541,.447,,.786,19.6,5.9,2.3,3.0,4.0,.055,-1.9,0.1
23,23,SEA,Jim McDaniels,Western Kentucky,3,184,2705,967,810,170,.402,,.703,14.7,5.3,4.4,0.9,0.7,.012,-3.7,-0.6
24,24,HOU,Mike Newlin,Utah,11,837,24574,12507,2494,3364,.466,,.870,29.4,14.9,3.0,4.0,50.4,.098,-0.5,7.6
25,25,POR,Charlie Yelverton,Fordham,1,69,1227,545,201,81,.389,,.707,17.8,7.9,2.9,1.2,-0.5,-.018,,
26,26,BUF,Amos Thomas,Southwestern Oklahoma State University,,,,,,,,,,,,,,,,,
27,27,POR,Rick Fisher,Colorado State,,,,,,,,,,,,,,,,,
28,28,BOS,Jim Rose,Western Kentucky,,,,,,,,,,,,,,,,,
29,29,DET,Isaiah Wilson,University of Baltimore,1,48,322,167,47,41,.356,,.732,6.7,3.5,1.0,0.9,-0.5,-.074,,
30,30,BUF,Spencer Haywood,Detroit Mercy,12,760,25600,14592,7038,1351,.465,,.800,33.7,19.2,9.3,1.8,61.4,.115,-0.3,7.7
31,31,CIN,Joe Bergman,Creighton,,,,,,,,,,,,,,,,,
32,32,CHI,Howard Porter,Villanova,7,457,8534,4215,1872,211,.469,,.802,18.7,9.2,4.1,0.5,17.6,.099,-1.0,1.8
33,33,PHI,Marvin Stewart,Nebraska,,,,,,,,,,,,,,,,,
34,34,NYK,Gregg Northington,Alabama State University,,,,,,,,,,,,,,,,,
35,35,CLE,Willie Long,New Mexico,,,,,,,,,,,,,,,,,
36,36,CLE,Gerald Lockett,University of Arkansas at Pine Bluff,,,,,,,,,,,,,,,,,
37,37,POR,Larry Steele,Kentucky,9,610,14777,5009,1781,1719,.483,,.796,24.2,8.2,2.9,2.8,28.2,.091,0.2,6.7
38,38,CIN,Rich Yunkus,Georgia Tech,,,,,,,,,,,,,,,,,
39,39,ATL,Jeff Halliburton,Drake University,2,92,1075,562,145,116,.440,,.814,11.7,6.1,1.6,1.3,1.4,.061,,
40,40,CHI,Clifford Ray,Oklahoma,10,784,19940,5821,6953,1728,.524,,.588,25.4,7.4,8.9,2.2,56.7,.136,0.5,10.3
41,41,CLE,Jackie Ridgle,California,1,32,107,57,15,7,.432,,.731,3.3,1.8,0.5,0.2,0.2,.102,,
42,42,POR,Bill Smith,Syracuse,2,30,491,205,143,20,.431,,.597,16.4,6.8,4.8,0.7,0.1,.014,,
43,43,BAL,Rich Rinaldi,Saint Peter's College,2,79,853,393,93,73,.393,,.724,10.8,5.0,1.2,0.9,0.2,.012,-5.3,-0.1
44,44,BOS,Dave Robisch,Kansas,8,508,10556,4426,2620,813,.457,,.814,20.8,8.7,5.2,1.6,23.5,.107,-0.3,4.6
45,45,DET,Marv Roberts,Utah State University,1,28,209,58,25,19,.355,,.667,7.5,2.1,0.9,0.7,-0.2,-.051,-6.3,-0.3
46,46,PHI,Dave Wohl,Penn,7,410,8142,2553,558,1397,.430,,.750,19.9,6.2,1.4,3.4,6.1,.036,-3.1,-1.4
47,47,CHI,Mike Gale,Elizabeth City State University,6,453,11189,3372,1122,1965,.474,,.825,24.7,7.4,2.5,4.3,18.0,.077,0.6,7.3
48,48,PHO,Mo Layton,USC,4,264,4429,1826,353,699,.448,,.747,16.8,6.9,1.3,2.6,4.5,.048,-2.5,-0.2
49,49,CHI,Dick Gibbs,Texas-El Paso,5,333,4310,1739,624,260,.402,,.799,12.9,5.2,1.9,0.8,2.6,.029,-3.5,-1.0
50,50,NYK,Ken Mayfield,Tuskegee University,1,13,64,37,8,4,.370,,1.000,4.9,2.8,0.6,0.3,-0.2,-.134,-7.0,-0.2
51,51,MIL,Gary Brell,Marquette,,,,,,,,,,,,,,,,,
52,52,CLE,Cliff Harris,Hardin-Simmons University,,,,,,,,,,,,,,,,,
53,53,BUF,Jimmy O'Brien,Boston College,,,,,,,,,,,,,,,,,
54,54,POR,Bobby Fields,La Salle,,,,,,,,,,,,,,,,,
55,55,CIN,Sid Catlett,Notre Dame,1,9,40,6,4,1,.222,,.222,4.4,0.7,0.4,0.1,-0.2,-.197,,
56,56,ATL,Jim Welch,Houston,,,,,,,,,,,,,,,,,
57,57,SEA,Pembrook Burrows,Jacksonville University,,,,,,,,,,,,,,,,,
58,58,HOU,Tom Owens,South Carolina,7,488,11471,5612,3010,984,.508,,.764,23.5,11.5,6.2,2.0,32.9,.138,0.3,6.8
59,59,GSW,Greg Gary,St. Bonaventure,,,,,,,,,,,,,,,,,
60,60,BAL,Willie Allen,Miami (FL),,,,,,,,,,,,,,,,,
61,61,BOS,Randy Denton,Duke,1,45,700,239,218,33,.402,,.702,15.6,5.3,4.8,0.7,0.4,.029,-3.7,-0.3
62,62,DET,Jarrett Durham,Duquesne,,,,,,,,,,,,,,,,,
63,63,PHI,Erwin Johnson,Augusta State University,,,,,,,,,,,,,,,,,
64,64,LAL,Roger Brown,Kansas,2,77,818,135,230,25,.389,,.702,10.6,1.8,3.0,0.3,0.6,.035,-3.2,-0.2
65,65,PHO,Walt Szczerbiak,George Washington,,,,,,,,,,,,,,,,,
66,66,CHI,Jim Irving,Saint Louis,,,,,,,,,,,,,,,,,
67,67,NYK,Steve Niles,Texas A&M,,,,,,,,,,,,,,,,,
68,68,MIL,Henry Smith,Missouri,,,,,,,,,,,,,,,,,
69,69,CLE,Brian Mahoney,Manhattan University,,,,,,,,,,,,,,,,,
70,70,BUF,Garry Nelson,Duquesne,,,,,,,,,,,,,,,,,
71,71,POR,Hector Blondet,Murray State,,,,,,,,,,,,,,,,,
72,72,CIN,Jimmie Guymon,Eastern New Mexico University,,,,,,,,,,,,,,,,,
73,73,CIN,Tyrone Marioneaux,Loyola New Orleans,,,,,,,,,,,,,,,,,
74,74,SEA,Jeff Smith,New Mexico State,,,,,,,,,,,,,,,,,
75,75,HOU,Rudy Benjamin,Michigan State,,,,,,,,,,,,,,,,,
76,76,GSW,Odis Allison,UNLV,1,36,166,67,45,10,.218,,.541,4.6,1.9,1.3,0.3,-0.6,-.181,,
77,77,BAL,Don Johnson,Tennessee,,,,,,,,,,,,,,,,,
78,78,HOU,Greg Nelson,Jacksonville University,,,,,,,,,,,,,,,,,
79,79,DET,Vincent White,Savannah State University,,,,,,,,,,,,,,,,,
80,80,PHI,Richard Hood,Phillips University,,,,,,,,,,,,,,,,,
81,81,LAL,Lee Dedmon,UNC,,,,,,,,,,,,,,,,,
82,82,PHO,Ken Gardner,Utah,,,,,,,,,,,,,,,,,
83,83,CHI,Larry Weatherford,Purdue,,,,,,,,,,,,,,,,,
84,84,PHO,Bob Kissane,Holy Cross,,,,,,,,,,,,,,,,,
85,85,MIL,Barry Nelson,Duquesne,1,28,102,35,20,7,.417,,.500,3.6,1.3,0.7,0.3,0.1,.026,,
86,86,CLE,Mike Childress,Colorado State,,,,,,,,,,,,,,,,,
87,87,BUF,Glen Summors,Gannon University,,,,,,,,,,,,,,,,,
88,88,POR,Jim Day,Morehead State University,,,,,,,,,,,,,,,,,
89,89,CIN,Gil McGregor,Wake Forest,1,42,532,171,148,18,.363,,.696,12.7,4.1,3.5,0.4,-0.4,-.038,,
90,90,ATL,Willie Humes,Idaho,,,,,,,,,,,,,,,,,
91,91,SEA,Mike Necaise,William Carey College,,,,,,,,,,,,,,,,,
92,92,HOU,Gary Reist,Rice University,,,,,,,,,,,,,,,,,
93,93,GSW,Charles Johnson,California,7,521,9972,4241,1318,973,.429,,.756,19.1,8.1,2.5,1.9,13.4,.064,-1.4,1.3
94,94,BAL,John Novey,Mount St. Mary's University,,,,,,,,,,,,,,,,,
95,95,BOS,Thorpe Weber,Vanderbilt,,,,,,,,,,,,,,,,,
96,96,DET,Jim Larranaga,Providence,,,,,,,,,,,,,,,,,
