--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,5,PHW,Guy Rodgers,Temple,12,892,28663,10415,3791,6917,.378,,.721,32.1,11.7,4.3,7.8,33.3,.056,,
2,1,MNL,Elgin Baylor,Seattle University,14,846,33863,23149,11463,3650,.431,,.780,40.0,27.4,13.5,4.3,104.2,.148,,
3,2,CIN,Archie Dees,Indiana,4,190,3092,1548,907,132,.402,,.794,16.3,8.1,4.8,0.7,5.4,.084,,
4,3,NYK,Mike Farmer,San Francisco,7,423,8818,2816,1950,550,.393,,.814,20.8,6.7,4.6,1.3,6.3,.035,,
5,4,NYK,Pete Brennan,UNC,1,16,136,40,31,6,.302,,.560,8.5,2.5,1.9,0.4,-0.1,-.030,,
6,6,SYR,Connie Dierking,Cincinnati,10,706,15474,7094,4757,1053,.417,,.697,21.9,10.0,6.7,1.5,13.3,.041,,
7,7,STL,Dave Gambee,Oregon State,12,750,14665,7935,3891,757,.420,,.822,19.6,10.6,5.2,1.0,35.9,.117,,
8,8,BOS,Bennie Swain,Texas Southern,1,58,708,265,262,29,.406,,.609,12.2,4.6,4.5,0.5,1.9,.128,,
9,9,MNL,Steve Hamilton,Morehead State University,2,82,1094,368,278,43,.372,,.697,13.3,4.5,3.4,0.5,0.9,.040,,
10,10,CIN,Vern Hatton,Kentucky,4,225,3666,1244,531,310,.344,,.735,16.3,5.5,2.4,1.4,0.2,.002,,
11,11,DET,Barney Cable,Bradley,6,362,6817,2372,1884,381,.420,,.665,18.8,6.6,5.2,1.1,6.5,.046,,
12,12,NYK,Joe Quigg,UNC,,,,,,,,,,,,,,,,,
13,13,PHW,Lloyd Sharrar,West Virginia,,,,,,,,,,,,,,,,,
14,14,SYR,Hal Greer,Marshall,15,1122,39788,21586,5665,4540,.452,,.801,35.5,19.2,5.0,4.0,102.7,.124,,
15,15,STL,Hub Reed,Oklahoma City University,7,479,7870,2618,2449,367,.436,,.724,16.4,5.5,5.1,0.8,9.3,.057,,
16,16,BOS,Jimmy Smith,Franciscan University of Steubenville,,,,,,,,,,,,,,,,,
17,17,MNL,Boo Ellis,Niagara University,2,118,1873,607,616,86,.402,,.695,15.9,5.1,5.2,0.7,3.1,.079,,
18,18,CIN,Bucky Bockhorn,Dayton,7,474,14791,5430,2234,1645,.403,,.748,31.2,11.5,4.7,3.5,7.9,.026,,
19,19,DET,Roy DeWitz,Kansas State,,,,,,,,,,,,,,,,,
20,20,NYK,John Lee,Yale,,,,,,,,,,,,,,,,,
21,21,PHW,Frank Howard,Ohio State,,,,,,,,,,,,,,,,,
22,22,SYR,John Nacincik,Maryland,,,,,,,,,,,,,,,,,
23,23,STL,Wayne Embry,Miami University,11,831,21763,10380,7544,1194,.440,,.640,26.2,12.5,9.1,1.4,37.8,.083,,
24,24,BOS,Jim Cunningham,Fordham,,,,,,,,,,,,,,,,,
25,25,MNL,George Kline,Minnesota,,,,,,,,,,,,,,,,,
26,26,CIN,Phil Murrell,Drake University,,,,,,,,,,,,,,,,,
27,27,DET,Ralph Crosthwaite,Western Kentucky,,,,,,,,,,,,,,,,,
28,28,NYK,Johnny Cox,Kentucky,1,73,1685,573,280,142,.421,,.704,23.1,7.8,3.8,1.9,0.5,.015,,
29,29,PHW,Temple Tucker,Rice University,,,,,,,,,,,,,,,,,
30,30,SYR,Tommy Kearns,UNC,1,1,7,2,0,0,1.000,,,7.0,2.0,0.0,0.0,0.0,.230,,
31,31,STL,Julius Pegues,Pitt,,,,,,,,,,,,,,,,,
32,32,BOS,Dom Flora,Washington & Lee University,,,,,,,,,,,,,,,,,
33,33,MNL,Quitman Sullins,Murray State,,,,,,,,,,,,,,,,,
34,34,CIN,Jim Fulmer,Alabama,,,,,,,,,,,,,,,,,
35,35,DET,Hank Morano,Saint Peter's College,,,,,,,,,,,,,,,,,
36,36,NYK,Don Lane,Dayton,,,,,,,,,,,,,,,,,
37,37,PHW,Don Ohl,Illinois,10,727,22413,11549,2163,2243,.434,,.732,30.8,15.9,3.0,3.1,30.2,.065,,
38,38,SYR,Fred Grim,Arkansas,,,,,,,,,,,,,,,,,
39,39,STL,Rick Herrscher,SMU,,,,,,,,,,,,,,,,,
40,40,BOS,Gene Brown,San Francisco,,,,,,,,,,,,,,,,,
41,41,MNL,Al Inniss,St. Francis College,,,,,,,,,,,,,,,,,
42,42,CIN,Jim McClellan,Saint Francis University,,,,,,,,,,,,,,,,,
43,43,DET,Shellie McMillon,Bradley,4,263,4977,2397,1571,232,.434,,.634,18.9,9.1,6.0,0.9,8.1,.078,,
44,44,NYK,Joe King,Oklahoma,,,,,,,,,,,,,,,,,
45,45,PHW,Bucky Allen,Duke,,,,,,,,,,,,,,,,,
46,46,SYR,Jack Mimlitz,Saint Louis,,,,,,,,,,,,,,,,,
47,47,STL,John Crawford,Iowa State,,,,,,,,,,,,,,,,,
48,48,BOS,Dave Keleher,Morehead State University,,,,,,,,,,,,,,,,,
49,49,MNL,Jim Bond,Point Loma Nazarene,,,,,,,,,,,,,,,,,
50,50,CIN,Wayne Stevens,Cincinnati,1,8,49,13,16,4,.158,,.700,6.1,1.6,2.0,0.5,-0.2,-.169,,
51,51,DET,Ed Blair,Western Michigan,,,,,,,,,,,,,,,,,
52,52,NYK,Owen Lawson,Western Kentucky,,,,,,,,,,,,,,,,,
53,53,PHW,Jay Norman,Temple,,,,,,,,,,,,,,,,,
54,54,SYR,Pete Tillotson,Michigan,,,,,,,,,,,,,,,,,
55,55,STL,Ken Sidle,Ohio State,,,,,,,,,,,,,,,,,
56,56,BOS,Rudy Finderson,Brandeis University,,,,,,,,,,,,,,,,,
57,57,MNL,Ed Brinkley,Clemson,,,,,,,,,,,,,,,,,
58,58,CIN,Bob Mantz,Lafayette College,,,,,,,,,,,,,,,,,
59,59,DET,Jack Quiggle,Michigan State,,,,,,,,,,,,,,,,,
60,60,NYK,Milt Kane,Utah,,,,,,,,,,,,,,,,,
61,61,PHW,Tom Brennan,Villanova,,,,,,,,,,,,,,,,,
62,62,SYR,Ruell Tucker,Rockhurst University,,,,,,,,,,,,,,,,,
63,63,STL,Bruno Boin,Washington,,,,,,,,,,,,,,,,,
64,64,MNL,Joe Hobbs,Florida,,,,,,,,,,,,,,,,,
65,65,CIN,Larry Staverman,Thomas More College,5,265,3380,1237,1019,251,.465,,.785,12.8,4.7,3.8,0.9,6.9,.097,,
66,66,DET,Harry Marske,North Dakota State University,,,,,,,,,,,,,,,,,
67,67,NYK,John McCarthy,Notre Dame,,,,,,,,,,,,,,,,,
68,68,PHW,Nick Davis,Maryland,,,,,,,,,,,,,,,,,
69,69,STL,Tink Van Patton,Temple,,,,,,,,,,,,,,,,,
70,70,MNL,Shorty Patterson,Gustavus Adolphus,,,,,,,,,,,,,,,,,
71,71,CIN,Jack Parr,Kansas State,1,66,1037,262,278,51,.355,,.603,15.7,4.0,4.2,0.8,-0.3,-.014,,
72,72,DET,Pete Gaudin,Loyola New Orleans,,,,,,,,,,,,,,,,,
73,73,PHW,Larry Hedden,Michigan State,,,,,,,,,,,,,,,,,
74,74,STL,Al Pursell,Coe College,,,,,,,,,,,,,,,,,
75,75,MNL,Hal Duffy,Oregon,,,,,,,,,,,,,,,,,
76,76,CIN,Frank Tartaron,Xavier,,,,,,,,,,,,,,,,,
77,77,DET,Herb Merritt,Tennessee Technological University,,,,,,,,,,,,,,,,,
78,78,STL,Don Klein,Rockhurst University,,,,,,,,,,,,,,,,,
79,79,MNL,Gary Simmons,Idaho,,,,,,,,,,,,,,,,,
80,80,CIN,Don Medsker,Iowa State,,,,,,,,,,,,,,,,,
81,81,DET,Jim Dew,Alabama State University,,,,,,,,,,,,,,,,,
82,82,STL,Joe Buckhalter,Tennessee State,2,65,740,375,265,43,.451,,.627,11.4,5.8,4.1,0.7,1.2,.075,,
83,83,MNL,Gary Alcorn,Fresno State,2,78,844,261,329,24,.293,,.598,10.8,3.3,4.2,0.3,-1.3,-.072,,
