--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,4,PHW,Bill Mlkvy,Temple,1,31,608,181,101,62,.305,,.646,19.6,5.8,3.3,2.0,-1.0,-.082,,
2,1,MLH,Mark Workman,West Virginia,2,79,1181,386,230,44,.331,,.618,14.9,4.9,2.9,0.6,-1.2,-.049,,
3,2,BLB,Jim Baechtold,Eastern Kentucky University,5,321,8256,3123,1009,685,.388,,.783,25.7,9.7,3.1,2.1,14.8,.086,,
4,3,FTW,Dick Groat,Duke,1,26,663,309,86,69,.368,,.790,25.5,11.9,3.3,2.7,2.0,.148,,
5,5,INO,Joe Dean,LSU,,,,,,,,,,,,,,,,,
6,6,NYK,Ralph Polson,Whitworth,1,49,810,191,211,24,.363,,.635,16.5,3.9,4.3,0.5,0.8,.047,,
7,7,BOS,Bill Stauffer,Missouri,,,,,,,,,,,,,,,,,
8,8,SYR,Bob Lochmueller,Louisville,1,62,802,232,162,47,.322,,.607,12.9,3.7,2.6,0.8,0.5,.031,,
9,9,ROC,Chuck Darling,Iowa,,,,,,,,,,,,,,,,,
10,10,MNL,Clyde Lovellette,Kansas,11,704,19075,11947,6663,1097,.443,,.757,27.1,17.0,9.5,1.6,70.6,.178,,
11,,BLB,Chuck Grigsby,Dayton,1,7,45,16,11,7,.368,,.250,6.4,2.3,1.6,1.0,0.0,-.042,,
12,,BOS,Jim Iverson,Kansas State,,,,,,,,,,,,,,,,,
13,,FTW,Monk Meineke,Dayton,5,343,6782,2338,1626,433,.367,,.756,19.8,6.8,4.7,1.3,14.9,.105,,
14,,INO,Zeke Zawoluk,St. John's,3,179,3534,1210,732,217,.372,,.767,19.7,6.8,4.1,1.2,8.2,.111,,
15,,MLH,Eddie Miller,Syracuse,2,142,3675,1452,1206,210,.374,,.692,25.9,10.2,8.5,1.5,5.1,.066,,
16,,MNL,Jim Holstein,Cincinnati,4,225,3476,859,659,249,.323,,.647,15.4,3.8,2.9,1.1,2.4,.034,,
17,,NYK,Bert Cook,Utah State University,1,37,424,118,72,33,.316,,.680,11.5,3.2,1.9,0.9,0.0,-.006,,
18,,PHW,Walt Davis,Texas A&M,5,325,5344,1558,1397,231,.377,,.695,16.4,4.8,4.3,0.7,4.8,.043,,
19,,ROC,Jack McMahon,St. John's,8,524,14228,4237,1390,1939,.337,,.637,27.2,8.1,2.7,3.7,6.2,.021,,
