--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Jimmy Walker,Providence,9,698,23590,11655,1860,2429,.461,,.829,33.8,16.7,2.7,3.5,42.9,.087,-1.4,1.4
2,2,BAL,Earl Monroe,Winston-Salem State,13,926,29636,17454,2796,3594,.464,,.807,32.0,18.8,3.0,3.9,77.4,.125,0.8,9.8
3,3,CHI,Clem Haskins,Western Kentucky,9,681,17624,8743,2087,2382,.449,,.792,25.9,12.8,3.1,3.5,35.8,.097,-0.1,1.5
4,4,DET,Sonny Dove,St. John's,2,57,398,174,114,23,.394,,.581,7.0,3.1,2.0,0.4,0.0,-.003,,
5,5,NYK,Walt Frazier,Southern Illinois,13,825,30965,15581,4830,5040,.490,,.786,37.5,18.9,5.9,6.1,113.5,.176,2.5,15.5
6,6,SEA,Al Tucker,Oklahoma Baptist University,3,257,5348,2431,1283,230,.453,,.702,20.8,9.5,5.0,0.9,7.2,.065,,
7,7,SDR,Pat Riley,Kentucky,9,528,8187,3906,855,913,.414,,.705,15.5,7.4,1.6,1.7,4.5,.026,-4.7,-2.2
8,8,STL,Tom Workman,Seattle University,2,43,187,109,52,5,.432,,.711,4.3,2.5,1.2,0.1,0.4,.107,,
9,9,CIN,Mel Daniels,New Mexico,1,11,126,39,34,6,.371,,.565,11.5,3.5,3.1,0.5,0.0,-.002,-4.3,-0.1
10,10,SFW,Dave Lattin,Texas-El Paso,2,112,1244,506,427,62,.400,,.644,11.1,4.5,3.8,0.6,0.7,.028,,
11,11,BOS,Mal Graham,NYU,2,70,889,327,118,75,.398,,.657,12.7,4.7,1.7,1.1,0.8,.043,,
12,12,PHI,Craig Raymond,BYU,1,27,177,55,68,8,.344,,.647,6.6,2.0,2.5,0.3,0.0,-.001,,
13,13,BAL,Jimmy Jones,Grambling State University,3,140,2590,901,272,283,.505,,.738,18.5,6.4,1.9,2.0,6.2,.115,-0.4,1.0
14,14,DET,Steve Sullivan,Georgetown,,,,,,,,,,,,,,,,,
15,15,CHI,Byron Beck,Denver,1,53,480,250,96,33,.435,,.818,9.1,4.7,1.8,0.6,0.8,.078,-3.1,-0.1
16,16,LAL,Randy Mahaffey,Clemson,,,,,,,,,,,,,,,,,
17,17,NYK,Phil Jackson,University of North Dakota,12,807,14201,5428,3454,898,.453,,.736,17.6,6.7,4.3,1.1,29.3,.099,-0.9,2.4
18,18,SDR,Bob Netolicky,Drake University,,,,,,,,,,,,,,,,,
19,19,SEA,Bob Rule,Colorado State,8,403,11862,7007,3333,594,.461,,.686,29.4,17.4,8.3,1.5,22.7,.092,-3.1,-0.2
20,20,BAL,Malkin Strong,Seattle University,,,,,,,,,,,,,,,,,
21,21,DET,Darrell Hardy,Baylor,,,,,,,,,,,,,,,,,
22,22,CHI,John Dickson,Arkansas State University,,,,,,,,,,,,,,,,,
23,23,LAL,Dwight Smith,Western Kentucky,,,,,,,,,,,,,,,,,
24,24,NYK,Gary Gregor,South Carolina,4,296,7397,2905,2065,436,.431,,.715,25.0,9.8,7.0,1.5,2.6,.017,,
25,25,STL,Bob Verga,Duke,1,21,216,104,18,17,.452,,.625,10.3,5.0,0.9,0.8,0.1,.032,-2.9,0.0
26,26,CIN,Gary Gray,Oklahoma City University,1,44,276,105,23,26,.366,,.700,6.3,2.4,0.5,0.6,-0.5,-.093,,
27,27,SFW,Bill Turner,University of Akron,6,294,4060,1597,1039,167,.407,,.728,13.8,5.4,3.5,0.6,4.8,.057,,
28,28,CIN,Sam Smith,Kentucky Wesleyan College,,,,,,,,,,,,,,,,,
29,29,SDR,Richie Moore,Hiram Scott College,,,,,,,,,,,,,,,,,
30,30,SEA,Sam Singleton,Nebraska-Omaha,,,,,,,,,,,,,,,,,
31,31,SDR,Nick Jones,Oregon,3,188,2264,1003,216,247,.413,,.772,12.0,5.3,1.1,1.3,2.1,.046,,
32,32,BAL,Al Salvadori,South Carolina,,,,,,,,,,,,,,,,,
33,33,DET,Ron Franz,Kansas,,,,,,,,,,,,,,,,,
34,34,CHI,Jim Burns,Northwestern,,3,11,4,2,1,.286,,,3.7,1.3,0.7,0.3,-0.1,-.248,,
35,35,LAL,Cliff Anderson,Saint Joseph's,3,81,581,247,103,68,.351,,.593,7.2,3.0,1.3,0.8,0.3,.021,,
36,36,NYK,Keith Swagerty,University of the Pacific,,,,,,,,,,,,,,,,,
37,37,STL,Wes Bialosuknia,UConn,,,,,,,,,,,,,,,,,
38,38,CIN,Louie Dampier,Kentucky,3,232,4431,1553,261,643,.488,,.748,19.1,6.7,1.1,2.8,6.7,.073,-1.0,1.1
39,39,SFW,Bobby Lewis,UNC,4,255,4303,1481,533,555,.381,,.712,16.9,5.8,2.1,2.2,1.1,.012,,
40,40,BOS,Nevil Shed,Texas-El Paso,,,,,,,,,,,,,,,,,
41,41,SDR,Ron Kozlicki,Northwestern,,,,,,,,,,,,,,,,,
42,42,SDR,Craig Dill,Michigan,,,,,,,,,,,,,,,,,
43,43,SEA,Larry Bunce,Utah State University,,,,,,,,,,,,,,,,,
44,44,BAL,Dexter Westbrook,Providence,,,,,,,,,,,,,,,,,
45,45,DET,Paul Long,Wake Forest,3,71,436,274,57,54,.464,,.753,6.1,3.9,0.8,0.8,1.0,.111,,
46,46,CHI,Dick Pruet,Jacksonville University,,,,,,,,,,,,,,,,,
47,47,LAL,Joe Allen,Bradley,,,,,,,,,,,,,,,,,
48,48,NYK,Barry Leibowitz,Long Island University,,,,,,,,,,,,,,,,,
49,49,STL,Mike Wittman,Miami (FL),,,,,,,,,,,,,,,,,
50,50,CIN,Trooper Washington,Cheyney (PA),,,,,,,,,,,,,,,,,
51,51,SFW,Mike Lynn,UCLA,2,49,428,126,68,31,.329,,.667,8.7,2.6,1.4,0.6,-0.3,-.035,,
52,52,BOS,Mike Redd,Kentucky Wesleyan College,,,,,,,,,,,,,,,,,
53,53,PHI,Jim Reid,Winston-Salem State,1,6,52,21,11,3,.500,,.200,8.7,3.5,1.8,0.5,0.1,.078,,
54,54,SEA,Plummer Lott,Seattle University,2,67,638,147,123,43,.294,,.583,9.5,2.2,1.8,0.6,-1.3,-.101,,
55,55,SDR,Herb McPherson,Murray State,,,,,,,,,,,,,,,,,
56,56,BAL,Bob Riedy,Duke,,,,,,,,,,,,,,,,,
57,57,DET,Vaughn Harper,Syracuse,,,,,,,,,,,,,,,,,
58,58,CHI,Mal Pradd,Dillard University,,,,,,,,,,,,,,,,,
59,59,LAL,Gary Keller,Florida,,,,,,,,,,,,,,,,,
60,60,NYK,Bob Benfield,West Virginia,,,,,,,,,,,,,,,,,
61,61,STL,John Morrison,Canisius,,,,,,,,,,,,,,,,,
62,62,CIN,Frank Stronczek,American International College,,,,,,,,,,,,,,,,,
63,63,SFW,Dale Schlueter,Colorado State,10,586,9624,3130,3034,920,.497,,.678,16.4,5.3,5.2,1.6,20.8,.104,-1.0,0.7
64,64,BOS,Ed Hummer,Princeton,,,,,,,,,,,,,,,,,
65,65,PHI,Tim Powers,Creighton,,,,,,,,,,,,,,,,,
66,66,SDR,Robert Cole,Saint Louis,,,,,,,,,,,,,,,,,
67,67,SEA,Gordon Harris,Washington,,,,,,,,,,,,,,,,,
68,68,BAL,Ron Perry,Virginia Tech,,,,,,,,,,,,,,,,,
69,69,DET,Bobby Lloyd,Rutgers University,,,,,,,,,,,,,,,,,
70,70,CHI,Bob Wolf,Marquette,,,,,,,,,,,,,,,,,
71,71,LAL,Jamie Thompson,Wichita State,,,,,,,,,,,,,,,,,
72,72,NYK,Butch Wade,Indiana State University,,,,,,,,,,,,,,,,,
73,73,STL,Carl Fuller,Bethune-Cookman College,,,,,,,,,,,,,,,,,
74,74,CIN,Charlie Beasley,SMU,,,,,,,,,,,,,,,,,
75,75,SFW,Sonny Bustion,Colorado State,,,,,,,,,,,,,,,,,
76,76,BOS,Edgar Lacey,UCLA,,,,,,,,,,,,,,,,,
77,77,PHI,Frank Card,South Carolina State,,,,,,,,,,,,,,,,,
78,78,SEA,Dick Kolberg,UC Santa Barbara,,,,,,,,,,,,,,,,,
79,79,SDR,Elburt Miller,UNLV,,,,,,,,,,,,,,,,,
80,80,BAL,Ed Manning,Jackson State University,4,280,4013,1418,1264,200,.423,,.702,14.3,5.1,4.5,0.7,4.2,.050,,
81,81,DET,George Carter,St. Bonaventure,1,1,5,3,0,1,.500,,1.000,5.0,3.0,0.0,1.0,0.0,.230,,
82,82,CHI,Leon Simon,College of Santa Fe,,,,,,,,,,,,,,,,,
83,83,LAL,Don Carlos,Otterbein College,,,,,,,,,,,,,,,,,
84,84,NYK,Gil Radday,St. Francis College,,,,,,,,,,,,,,,,,
85,85,STL,Arvesta Kelly,Lincoln University of Missouri,,,,,,,,,,,,,,,,,
86,86,CIN,Frank Hollendoner,Georgetown,,,,,,,,,,,,,,,,,
87,87,SFW,Bob Krulish,University of the Pacific,,,,,,,,,,,,,,,,,
88,88,BOS,Andy Anderson,Canisius,,,,,,,,,,,,,,,,,
89,89,PHI,Jim Connelly,Virginia,,,,,,,,,,,,,,,,,
90,90,SDR,Al Grundy,Saint Joseph's,,,,,,,,,,,,,,,,,
91,91,SEA,Willie Wolters,Boston College,,,,,,,,,,,,,,,,,
92,92,BAL,Robert Allen,University of Arkansas at Pine Bluff,,,,,,,,,,,,,,,,,
93,93,CHI,Ernie Laurent,University of Albuquerque,,,,,,,,,,,,,,,,,
94,94,LAL,Jay McMillen,Maryland,,,,,,,,,,,,,,,,,
95,95,NYK,Roy Smith,Kansas State,,,,,,,,,,,,,,,,,
96,96,STL,Ed Biedenbach,NC State,1,7,18,4,2,3,.000,,.667,2.6,0.6,0.3,0.4,-0.1,-.248,,
97,97,CIN,Ron Sepic,Ohio State,,,,,,,,,,,,,,,,,
98,98,SFW,Richard Dean,Syracuse,,,,,,,,,,,,,,,,,
99,99,BOS,Henry Brown,University of Massachusetts Lowell,,,,,,,,,,,,,,,,,
100,100,PHI,Ron Filipek,Tennessee Technological University,1,19,73,43,25,7,.383,,.500,3.8,2.3,1.3,0.4,0.0,-.009,,
101,101,SEA,Rod McDonald,Whitworth,,,,,,,,,,,,,,,,,
102,102,SDR,Ron Coleman,Missouri,,,,,,,,,,,,,,,,,
103,103,BAL,Bill Gillespie,Montana State,,,,,,,,,,,,,,,,,
104,104,CHI,Jim Boshart,Wake Forest,,,,,,,,,,,,,,,,,
105,105,LAL,Don Kruse,Houston,,,,,,,,,,,,,,,,,
106,106,NYK,Bruce Kaplan,NYU,,,,,,,,,,,,,,,,,
107,107,STL,Dick Falkenbush,Saint Michael's College,,,,,,,,,,,,,,,,,
108,108,CIN,Willie Davis,University of North Texas,,,,,,,,,,,,,,,,,
109,109,SFW,Joe Galbo,San Francisco State University,,,,,,,,,,,,,,,,,
110,110,BOS,Rick Weitzman,Northeastern University,1,25,75,33,10,8,.261,,.692,3.0,1.3,0.4,0.3,-0.3,-.184,,
111,111,PHI,Butch Erwin,Niagara University,,,,,,,,,,,,,,,,,
112,112,SDR,Don Duncan,Murray State,,,,,,,,,,,,,,,,,
113,113,SEA,Gary Lechman,Gonzaga,,,,,,,,,,,,,,,,,
114,114,BAL,Bubba Smith,Michigan State,,,,,,,,,,,,,,,,,
115,115,CHI,Phil Andros,University of New Haven,,,,,,,,,,,,,,,,,
116,116,LAL,Nick Pino,Kansas State,,,,,,,,,,,,,,,,,
117,117,NYK,Mark Mirken,UNC,,,,,,,,,,,,,,,,,
118,118,CIN,Ken Calloway,Cincinnati,,,,,,,,,,,,,,,,,
119,119,SFW,Bill Morgan,New Mexico,,,,,,,,,,,,,,,,,
120,120,BOS,Joe Harrington,Maryland,,,,,,,,,,,,,,,,,
121,121,PHI,Ted Campbell,North Carolina A&T,,,,,,,,,,,,,,,,,
122,122,SEA,Randy Matson,Texas A&M,,,,,,,,,,,,,,,,,
123,123,SDR,Al Razutis,Alliant International University,,,,,,,,,,,,,,,,,
124,124,BAL,Tony Eatmon,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,,
125,125,DET,George Dalzell,Colgate,,,,,,,,,,,,,,,,,
126,126,CHI,Ron Widby,Tennessee,,,,,,,,,,,,,,,,,
127,127,LAL,Ben Monroe,New Mexico,,,,,,,,,,,,,,,,,
128,128,NYK,Mike Riordan,Providence,9,639,15890,6334,1830,1524,.470,,.744,24.9,9.9,2.9,2.4,33.2,.100,-1.1,1.8
129,129,CIN,Frank Gaidjunas,Villanova,,,,,,,,,,,,,,,,,
130,130,SFW,David Fox,University of the Pacific,,,,,,,,,,,,,,,,,
131,131,PHI,Hubie Marshall,La Salle,,,,,,,,,,,,,,,,,
132,132,SDR,Martin Nava,New Mexico Highlands University,,,,,,,,,,,,,,,,,
133,133,SEA,Rubin Russell,University of North Texas,,,,,,,,,,,,,,,,,
134,134,BAL,Lyn Burkholder,South Carolina,,,,,,,,,,,,,,,,,
135,135,DET,Matt Aitch,Michigan State,,,,,,,,,,,,,,,,,
136,136,CHI,Tom Storm,Montana State,,,,,,,,,,,,,,,,,
137,137,LAL,Gerry,Iowa,,,,,,,,,,,,,,,,,
138,138,CIN,John Moates,Richmond,,,,,,,,,,,,,,,,,
139,139,PHI,George Mack,North Carolina A&T,,,,,,,,,,,,,,,,,
140,140,SEA,John Schroeder,Ohio University,,,,,,,,,,,,,,,,,
141,141,SDR,Bob Chlupsa,Manhattan University,,,,,,,,,,,,,,,,,
142,142,BAL,Paul Mickey,Penn State,,,,,,,,,,,,,,,,,
143,143,CHI,Don Whitehead,Erskine College,,,,,,,,,,,,,,,,,
144,144,CIN,Jerry Pettway,Northwood University,,,,,,,,,,,,,,,,,
145,145,PHI,Wayne Brabender,University of Minnesota Morris,,,,,,,,,,,,,,,,,
146,146,SDR,John Tolbert,South Carolina State,,,,,,,,,,,,,,,,,
147,147,SEA,Jim Sutherland,Clemson,,,,,,,,,,,,,,,,,
148,148,BAL,Rich Peek,Louisiana Tech,,,,,,,,,,,,,,,,,
149,149,CHI,Jim Garza,Detroit Institute of Technology,,,,,,,,,,,,,,,,,
150,150,CIN,Earl Beechum,Midwestern State University,,,,,,,,,,,,,,,,,
151,151,PHI,Sherman Dillard,Tulsa,,,,,,,,,,,,,,,,,
152,152,SEA,Willie Campbell,Nebraska,,,,,,,,,,,,,,,,,
153,153,BAL,Gary Williams,Oklahoma,,,,,,,,,,,,,,,,,
154,154,CHI,Jimmy Dawson,Illinois,,,,,,,,,,,,,,,,,
155,155,CIN,John Vermilyea,Morningside College,,,,,,,,,,,,,,,,,
156,156,PHI,Wayne Chapman,Western Kentucky,,,,,,,,,,,,,,,,,
