--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Allen Iverson,Georgetown,14,914,37584,24368,3394,5624,.425,.313,.780,41.1,26.7,3.7,6.2,99.0,.126,3.2,49.6
2,2,TOR,Marcus Camby,UMass,17,973,28684,9262,9513,1837,.466,.205,.670,29.5,9.5,9.8,1.9,81.6,.137,2.3,31.3
3,3,VAN,Shareef Abdur-Rahim,California,12,830,28882,15028,6239,2109,.472,.297,.810,34.8,18.1,7.5,2.5,71.2,.118,1.0,21.9
4,4,MIL,Stephon Marbury,Georgia Tech,13,846,31891,16297,2516,6471,.433,.325,.784,37.7,19.3,3.0,7.6,77.5,.117,1.8,30.7
5,5,MIN,Ray Allen,UConn,18,1300,46344,24505,5272,4361,.452,.400,.894,35.6,18.9,4.1,3.4,145.1,.150,2.9,57.6
6,6,BOS,Antoine Walker,Kentucky,12,893,31531,15647,6891,3170,.414,.325,.633,35.3,17.5,7.7,3.5,38.1,.058,0.3,18.0
7,7,LAC,Lorenzen Wright,Memphis,13,778,18535,6191,4943,622,.459,.069,.645,23.8,8.0,6.4,0.8,30.5,.079,-2.6,-3.0
8,8,NJN,Kerry Kittles,Villanova,8,507,16929,7165,1983,1295,.439,.378,.780,33.4,14.1,3.9,2.6,44.8,.127,2.2,18.0
9,9,DAL,Samaki Walker,Louisville,10,445,7612,2376,2089,252,.462,.111,.630,17.1,5.3,4.7,0.6,14.2,.089,-2.6,-1.1
10,10,IND,Erick Dampier,Mississippi State,16,987,24003,7309,7005,817,.498,.125,.626,24.3,7.4,7.1,0.8,52.7,.105,-1.3,4.1
11,11,GSW,Todd Fuller,NC State,5,225,2500,835,674,46,.422,.000,.668,11.1,3.7,3.0,0.2,2.2,.041,-5.7,-2.3
12,12,CLE,Vitaly Potapenko,Wright State University,11,610,11608,3995,2725,418,.479,.167,.694,19.0,6.5,4.5,0.7,15.5,.064,-4.0,-5.9
13,13,CHH,Kobe Bryant,,20,1346,48637,33643,7047,6306,.447,.329,.837,36.1,25.0,5.2,4.7,172.7,.170,4.6,80.1
14,14,SAC,Peja Stojaković,,13,804,26966,13647,3782,1408,.450,.401,.895,33.5,17.0,4.7,1.8,82.6,.147,1.9,26.2
15,15,PHO,Steve Nash,Santa Clara,18,1217,38069,17387,3642,10335,.490,.428,.904,31.3,14.3,3.0,8.5,129.7,.164,3.0,48.2
16,16,CHH,Tony Delk,Kentucky,10,545,11702,4957,1351,1024,.408,.343,.769,21.5,9.1,2.5,1.9,19.5,.080,-0.4,4.8
17,17,POR,Jermaine O'Neal,,18,1011,27364,13309,7261,1369,.467,.147,.715,27.1,13.2,7.2,1.4,66.0,.116,0.3,15.6
18,18,NYK,John Wallace,Syracuse,7,381,6143,2901,1061,281,.462,.300,.740,16.1,7.6,2.8,0.7,6.4,.050,-2.7,-1.0
19,19,NYK,Walter McCarty,Kentucky,10,593,10374,3056,1554,670,.392,.346,.698,17.5,5.2,2.6,1.1,13.8,.064,-1.7,0.8
20,20,CLE,Zydrunas Ilgauskas,,13,843,22965,10976,6191,955,.476,.310,.780,27.2,13.0,7.3,1.1,66.3,.139,-0.2,10.2
21,21,NYK,Dontae' Jones,Mississippi State,1,15,91,44,9,5,.333,.261,,6.1,2.9,0.6,0.3,-0.3,-.175,-10.9,-0.2
22,22,VAN,Roy Rogers,Alabama,3,137,2309,652,483,57,.483,.500,.532,16.9,4.8,3.5,0.4,1.7,.035,-3.7,-1.0
23,23,DEN,Efthimios Rentzias,,1,35,144,52,26,7,.339,.500,.889,4.1,1.5,0.7,0.2,0.2,.058,-3.8,-0.1
24,24,LAL,Derek Fisher,Little Rock,18,1287,32719,10713,2658,3804,.399,.374,.817,25.4,8.3,2.1,3.0,62.3,.091,-0.9,8.9
25,25,UTA,Martin Müürsepp,,2,83,951,389,181,50,.425,.323,.693,11.5,4.7,2.2,0.6,2.0,.100,-1.6,0.1
26,26,DET,Jerome Williams,Georgetown,9,587,12755,3865,3743,474,.502,.038,.645,21.7,6.6,6.4,0.8,37.9,.143,0.3,7.4
27,27,ORL,Brian Evans,Indiana,3,102,1097,375,164,77,.381,.343,.820,10.8,3.7,1.6,0.8,1.7,.076,-0.8,0.3
28,28,ATL,Priest Lauderdale,Central State University,2,74,525,255,143,33,.472,.000,.554,7.1,3.4,1.9,0.4,-0.8,-.074,-7.9,-0.8
29,29,CHI,Travis Knight,UConn,7,371,4566,1276,1160,224,.438,.259,.696,12.3,3.4,3.1,0.6,7.9,.083,-3.0,-1.1
30,30,HOU,Othella Harrington,Georgetown,12,709,13924,5212,3130,443,.505,.000,.738,19.6,7.4,4.4,0.6,23.1,.080,-3.4,-4.9
31,31,PHI,Mark Hendrickson,Washington State,4,114,1508,381,316,63,.416,.167,.803,13.2,3.3,2.8,0.6,2.1,.067,-3.8,-0.7
32,32,PHI,Ryan Minor,Oklahoma,,,,,,,,,,,,,,,,,
33,33,MIL,Moochie Norris,University of West Florida,9,445,7640,2272,868,1233,.401,.286,.740,17.2,5.1,2.0,2.8,10.0,.063,-1.4,1.2
34,34,DAL,Shawn Harvey,West Virginia State University,,,,,,,,,,,,,,,,,
35,35,SEA,Joseph Blair,Arizona,,,,,,,,,,,,,,,,,
36,36,LAC,Doron Sheffer,UConn,,,,,,,,,,,,,,,,,
37,37,DEN,Jeff McInnis,UNC,11,576,15927,5396,1170,2514,.431,.328,.796,27.7,9.4,2.0,4.4,23.1,.070,-2.1,-0.3
38,38,BOS,Steve Hamer,Tennessee,1,35,268,76,60,7,.526,.000,.552,7.7,2.2,1.7,0.2,0.2,.031,-6.5,-0.3
39,39,PHO,Russ Millard,Iowa,,,,,,,,,,,,,,,,,
40,40,GSW,Marcus Mann,Mississippi Valley State University,,,,,,,,,,,,,,,,,
41,41,SAC,Jason Sasser,Texas Tech,2,14,108,30,15,4,.412,.333,.500,7.7,2.1,1.1,0.3,0.0,-.014,-5.7,-0.1
