--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,3,PHW,Tom Gola,La Salle,10,698,22529,7871,5617,2962,.431,,.760,32.3,11.3,8.0,4.2,53.2,.113,,
2,6,MNL,Dick Garmaker,Minnesota,6,421,12155,5597,1748,1114,.403,,.787,28.9,13.3,4.2,2.6,25.6,.101,,
3,1,STL,Dick Ricketts,Duquesne,3,212,5677,1974,1337,447,.328,,.692,26.8,9.3,6.3,2.1,2.1,.018,,
4,2,ROC,Maurice Stokes,Saint Francis University,3,202,7544,3315,3492,1062,.351,,.698,37.3,16.4,17.3,5.3,16.1,.102,,
5,4,BOS,Jim Loscutoff,Oregon,9,511,9431,3156,2848,353,.345,,.653,18.5,6.2,5.6,0.7,3.4,.017,,
6,5,NYK,Kenny Sears,Santa Clara,8,529,14923,7355,4142,843,.455,,.826,28.2,13.9,7.8,1.6,55.8,.179,,
7,7,SYR,Ed Conlin,Fordham,7,486,11392,4891,2349,949,.370,,.750,23.4,10.1,4.8,2.0,14.2,.060,,
8,8,FTW,Johnny Horan,Dayton,1,19,93,34,10,2,.286,,.909,4.9,1.8,0.5,0.1,-0.1,-.075,,
9,9,STL,Jack Stephens,Notre Dame,1,72,2219,743,377,207,.386,,.692,30.8,10.3,5.2,2.9,4.8,.103,,
10,10,ROC,Jack Twyman,Cincinnati,11,823,26147,15840,5424,1861,.450,,.778,31.8,19.2,6.6,2.3,75.0,.138,,
11,11,PHW,Corky Devlin,George Washington,3,210,4025,1496,449,446,.366,,.742,19.2,7.1,2.1,2.1,3.8,.046,,
12,12,BOS,Dick Hemric,Wake Forest,2,138,2384,863,703,102,.377,,.669,17.3,6.3,5.1,0.7,5.3,.106,,
13,13,NYK,Jerry Mullen,San Francisco,,,,,,,,,,,,,,,,,
14,14,MNL,Chuck Mencel,Minnesota,2,141,2821,983,347,333,.341,,.765,20.0,7.0,2.5,2.4,1.9,.033,,
15,15,FTW,Jesse Arnelle,Penn State,1,31,409,147,170,18,.317,,.623,13.2,4.7,5.5,0.6,0.0,-.001,,
