--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CIN,Hot Rod Hundley,West Virginia,6,431,9553,3625,1420,1455,.347,,.721,22.2,8.4,3.3,3.4,4.3,.022,,
2,2,DET,Charlie Tyra,Louisville,5,348,7811,3091,2567,315,.387,,.672,22.4,8.9,7.4,0.9,5.0,.031,,
3,3,MNL,Jim Krebs,SMU,7,515,10661,4128,3177,429,.405,,.755,20.7,8.0,6.2,0.8,12.4,.056,,
4,4,STL,Win Wilfong,Memphis,4,268,4810,1826,910,565,.361,,.744,17.9,6.8,3.4,2.1,2.7,.027,,
5,5,NYK,Brendan McCann,St. Bonaventure,3,41,331,74,50,65,.204,,.700,8.1,1.8,1.2,1.6,-0.6,-.085,,
6,6,PHW,Lennie Rosenbluth,UNC,2,82,578,342,145,29,.327,,.655,7.0,4.2,1.8,0.4,-0.7,-.057,,
7,7,SYR,George Bon Salle,Illinois,1,3,9,4,2,0,.250,,,3.0,1.3,0.7,0.0,-0.1,-.429,,
8,8,BOS,Sam Jones,NC Central,12,871,24285,15411,4305,2209,.456,,.803,27.9,17.7,4.9,2.5,92.3,.182,,
9,9,CIN,Dick Duckett,St. John's,1,34,424,132,56,47,.342,,.889,12.5,3.9,1.6,1.4,0.2,.025,,
10,10,DET,Bob McCoy,Grambling State University,,,,,,,,,,,,,,,,,
11,11,MNL,Harvey Schmidt,Illinois,,,,,,,,,,,,,,,,,
12,12,STL,Jim Palmer,Dayton,3,196,3794,1595,1040,165,.413,,.703,19.4,8.1,5.3,0.8,4.5,.057,,
13,13,NYK,Larry Friend,California,1,44,569,175,106,47,.327,,.659,12.9,4.0,2.4,1.1,-0.4,-.033,,
14,14,PHW,Jack Sullivan,Mount St. Mary's University,,,,,,,,,,,,,,,,,
15,15,SYR,Jim Morgan,Louisville,,,,,,,,,,,,,,,,,
16,16,BOS,Dick O'Neal,TCU,,,,,,,,,,,,,,,,,
17,17,CIN,Jerry Paulson,Manhattan University,1,6,68,20,10,4,.348,,.667,11.3,3.3,1.7,0.7,0.0,.016,,
18,18,DET,Bill Ebben,Detroit Mercy,1,8,50,15,8,4,.214,,.750,6.3,1.9,1.0,0.5,-0.2,-.233,,
19,19,MNL,Jim Spivey,Southeastern Oklahoma State University,,,,,,,,,,,,,,,,,
20,20,STL,John Smyth,Notre Dame,,,,,,,,,,,,,,,,,
21,21,NYK,Gary Clark,Syracuse,,,,,,,,,,,,,,,,,
22,22,PHW,Angelo Lombardo,Manhattan University,,,,,,,,,,,,,,,,,
23,23,SYR,Vince Cohen,Syracuse,,,,,,,,,,,,,,,,,
24,24,BOS,Chuck Schramm,Western Illinois University,,,,,,,,,,,,,,,,,
25,25,CIN,Jed Dommeyer,Minnesota,,,,,,,,,,,,,,,,,
26,26,DET,Kurt Engelbert,Saint Joseph's,,,,,,,,,,,,,,,,,
27,27,MNL,George Brown,Wayne State University,1,1,6,1,1,0,.000,,.500,6.0,1.0,1.0,0.0,0.0,-.308,,
28,28,STL,Hank Nowak,Canisius,,,,,,,,,,,,,,,,,
29,29,NYK,Rayford Wells,Lenoir-Rhyne College,,,,,,,,,,,,,,,,,
30,30,PHW,Ray Radziszewski,Saint Joseph's,1,1,6,0,2,1,.000,,,6.0,0.0,2.0,1.0,-0.1,-.496,,
31,31,SYR,Jerry Mallett,Baylor,,,,,,,,,,,,,,,,,
32,32,BOS,Jim Ashmore,Mississippi State,,,,,,,,,,,,,,,,,
33,33,CIN,Stuart Murray,Lafayette College,,,,,,,,,,,,,,,,,
34,34,DET,Ron Kramer,Michigan,,,,,,,,,,,,,,,,,
35,35,MNL,Gary Thompson,Iowa State,,,,,,,,,,,,,,,,,
36,36,STL,Al Rochelle,Vanderbilt,,,,,,,,,,,,,,,,,
37,37,NYK,Lee Marshall,Washington & Lee University,,,,,,,,,,,,,,,,,
38,38,PHW,Jim Radcliffe,Lafayette College,,,,,,,,,,,,,,,,,
39,39,SYR,Frank Nimmo,Cincinnati,,,,,,,,,,,,,,,,,
40,40,BOS,Grady Wallace,South Carolina,,,,,,,,,,,,,,,,,
41,41,CIN,John Maglio,NC State,,,,,,,,,,,,,,,,,
42,42,DET,Walt Adamushko,St. Francis College,,,,,,,,,,,,,,,,,
43,43,MNL,Phil Murrell,Drake University,,,,,,,,,,,,,,,,,
44,44,STL,Raymond Downs,Texas,,,,,,,,,,,,,,,,,
45,45,NYK,Jim Humphrey,Saint Michael's College,,,,,,,,,,,,,,,,,
46,46,PHW,Alonzo Lewis,La Salle,,,,,,,,,,,,,,,,,
47,47,SYR,Lyndon Lee,Oklahoma City University,,,,,,,,,,,,,,,,,
48,48,BOS,Maurice King,Kansas,2,38,973,226,106,144,.398,,.800,25.6,5.9,2.8,3.8,0.0,.000,,
49,49,CIN,Chet Forte,Columbia University,,,,,,,,,,,,,,,,,
50,50,DET,Carl Boldt,San Francisco,,,,,,,,,,,,,,,,,
51,51,MNL,George Ferguson,Michigan,,,,,,,,,,,,,,,,,
52,52,STL,Mason Cope,Kentucky Wesleyan College,,,,,,,,,,,,,,,,,
53,53,PHW,Max Jameson,Kentucky State University,,,,,,,,,,,,,,,,,
54,54,SYR,Dick Gaines,Seton Hall,,,,,,,,,,,,,,,,,
55,55,BOS,Dick Brott,Denver,,,,,,,,,,,,,,,,,
56,56,CIN,Bob Daniels,Western Kentucky,,,,,,,,,,,,,,,,,
57,57,DET,Doug Bolstorff,Minnesota,1,3,21,4,0,0,.400,,,7.0,1.3,0.0,0.0,0.0,-.004,,
58,58,MNL,Jon Haaven,University of North Dakota,,,,,,,,,,,,,,,,,
59,59,STL,Bill Darragh,Louisville,,,,,,,,,,,,,,,,,
60,60,PHW,Woody Sauldsberry,Texas Southern,7,462,12788,4930,3618,498,.348,,.610,27.7,10.7,7.8,1.1,-10.7,-.040,,
61,61,SYR,Cebe Price,Marshall,,,,,,,,,,,,,,,,,
62,62,BOS,Bill Von Weyhe,Rhode Island,,,,,,,,,,,,,,,,,
63,63,CIN,Dick Heise,DePaul,,,,,,,,,,,,,,,,,
64,64,DET,Bob Lazor,Pitt,,,,,,,,,,,,,,,,,
65,65,MNL,Jim Sutton,North Dakota State University,,,,,,,,,,,,,,,,,
66,66,STL,Calvin Grosscup,Tulane,,,,,,,,,,,,,,,,,
67,67,PHW,Steve Hamilton,Morehead State University,2,82,1094,368,278,43,.372,,.697,13.3,4.5,3.4,0.5,0.9,.040,,
68,68,SYR,Jim Brown,Syracuse,,,,,,,,,,,,,,,,,
69,69,BOS,Joe Gibbon,Ole Miss,,,,,,,,,,,,,,,,,
70,70,CIN,Mel Wright,Oklahoma State,,,,,,,,,,,,,,,,,
71,71,MNL,Gordon Fosness,Dakota Wesleyan University,,,,,,,,,,,,,,,,,
72,72,STL,Bobby Mills,SMU,,,,,,,,,,,,,,,,,
73,73,PHW,Gerry Calvert,Kentucky,,,,,,,,,,,,,,,,,
74,74,SYR,Jack Nichols,Colgate,,,,,,,,,,,,,,,,,
75,75,BOS,Jack Butcher,Memphis,,,,,,,,,,,,,,,,,
76,76,CIN,Cliff Hafer,NC State,,,,,,,,,,,,,,,,,
77,77,STL,Gerald Dreier,Macalester College,,,,,,,,,,,,,,,,,
78,78,PHW,J.C. Gipson,,,,,,,,,,,,,,,,,,
79,79,BOS,Dick Neal,Indiana,,,,,,,,,,,,,,,,,
80,80,CIN,Jim Boothe,Xavier,,,,,,,,,,,,,,,,,
81,81,STL,Bob Seitz,NC State,,,,,,,,,,,,,,,,,
82,82,SYR,Jim Weeks,New York Institute of Technology,,,,,,,,,,,,,,,,,
83,83,BOS,Don Tobin,Florida Southern College,,,,,,,,,,,,,,,,,
84,84,STL,Ted Romanoff,Oregon State,,,,,,,,,,,,,,,,,
85,85,STL,Lavelle Langston,Northwestern State University,,,,,,,,,,,,,,,,,
