--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,5,CIN,Tom Thacker,Cincinnati,4,218,2187,721,522,222,.371,,.482,10.0,3.3,2.4,1.0,-0.6,-.014,,
2,1,NYK,Art Heyman,Duke,3,147,3019,1519,414,346,.427,,.679,20.5,10.3,2.8,2.4,4.0,.063,,
3,2,BAL,Rod Thorn,West Virginia,8,466,10376,5012,1463,1214,.433,,.723,22.3,10.8,3.1,2.6,17.2,.080,,
4,3,SFW,Nate Thurmond,Bowling Green,14,964,35881,14437,14464,2575,.421,,.667,37.2,15.0,15.0,2.7,78.0,.104,1.1,5.9
5,4,DET,Eddie Miles,Seattle University,9,605,15681,8120,1860,1225,.440,,.747,25.9,13.4,3.1,2.0,24.4,.075,,
6,6,STL,Gerry Ward,Boston College,4,169,2049,542,294,237,.356,,.639,12.1,3.2,1.7,1.4,1.0,.023,,
7,7,PHI,Tom Hoover,Villanova,3,100,1270,350,425,56,.413,,.591,12.7,3.5,4.3,0.6,0.6,.023,,
8,8,LAL,Roger Strickland,Jacksonville University,1,1,4,2,0,0,.333,,,4.0,2.0,0.0,0.0,0.0,-.224,,
9,9,BOS,Bill Green,Colorado State,,,,,,,,,,,,,,,,,
10,10,NYK,Jerry Harkness,Loyola Chicago,1,5,59,29,6,6,.433,,.375,11.8,5.8,1.2,1.2,0.0,-.017,,
11,11,BAL,Gus Johnson,Idaho,9,581,20140,9944,7379,1541,.440,,.699,34.7,17.1,12.7,2.7,35.8,.085,,
12,12,SFW,Gary Hill,Oklahoma City University,2,79,1118,370,130,110,.371,,.637,14.2,4.7,1.6,1.4,0.4,.016,,
13,13,DET,Jerry Smith,Furman University,,,,,,,,,,,,,,,,,
