--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,HOU,John Lucas,Maryland,14,928,25556,9951,2151,6454,.449,,.776,27.5,10.7,2.3,7.0,53.7,.101,1.3,21.1
2,2,CHI,Scott May,Indiana,7,355,8029,3690,1450,610,.462,,.811,22.6,10.4,4.1,1.7,17.4,.104,-0.7,2.7
3,3,KCK,Richard Washington,UCLA,6,351,7874,3456,2204,409,.453,,.711,22.4,9.8,6.3,1.2,10.8,.066,-2.5,-1.1
4,4,DET,Leon Douglas,Alabama,7,456,10111,3587,2954,479,.495,,.601,22.2,7.9,6.5,1.1,15.2,.072,-3.0,-2.4
5,5,POR,Wally Walker,Virginia,8,565,10168,3968,1759,844,.467,,.643,18.0,7.0,3.1,1.5,12.9,.061,-2.2,-0.6
6,6,BUF,Adrian Dantley,Notre Dame,15,955,34151,23177,5455,2830,.540,,.818,35.8,24.3,5.7,3.0,134.2,.189,3.1,43.8
7,7,MIL,Quinn Buckner,Indiana,10,719,16245,5929,1969,3114,.461,,.657,22.6,8.2,2.7,4.3,24.7,.073,-0.1,7.7
8,8,GSW,Robert Parish,Centenary (LA),21,1611,45704,23334,14715,2180,.537,,.721,28.4,14.5,9.1,1.4,147.0,.154,1.5,40.7
9,9,ATL,Armond Hill,Princeton,8,468,11785,3214,917,2194,.408,,.829,25.2,6.9,2.0,4.7,11.3,.046,-2.3,-0.9
10,10,PHO,Ron Lee,Oregon,6,448,9586,3285,1219,1688,.416,,.705,21.4,7.3,2.7,3.8,10.7,.054,-0.4,3.9
11,11,SEA,Bob Wilkerson,Indiana,7,536,14883,5424,2236,1835,.425,,.751,27.8,10.1,4.2,3.4,8.2,.027,-2.2,-0.6
12,12,PHI,Terry Furlow,Michigan State,4,239,4809,2550,507,568,.459,,.862,20.1,10.7,2.1,2.4,7.3,.073,0.0,2.4
13,13,WSB,Mitch Kupchak,UNC,9,510,9905,5202,2730,377,.523,,.704,19.4,10.2,5.4,0.7,27.1,.131,-0.7,3.2
14,14,WSB,Larry Wright,Grambling State University,6,343,6834,2824,550,1165,.465,,.777,19.9,8.2,1.6,3.4,10.6,.074,-1.2,1.4
