--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHP,Walt Bellamy,Indiana,14,1043,38940,20941,14241,2544,.516,,.632,37.3,20.1,13.7,2.4,130.0,.160,-0.2,1.1
2,2,NYK,Tom Stith,St. Bonaventure,1,25,209,77,39,18,.336,,.300,8.4,3.1,1.6,0.7,-0.6,-.143,,
3,3,CIN,Larry Siegfried,Ohio State,9,550,13632,5960,1567,1950,.409,,.854,24.8,10.8,2.8,3.5,33.1,.116,,
4,4,DET,Ray Scott,University of Portland,9,684,21339,10184,7154,1618,.405,,.720,31.2,14.9,10.5,2.4,30.8,.069,,
5,5,LAL,Wayne Yates,Memphis,1,37,263,72,94,16,.295,,.455,7.1,1.9,2.5,0.4,-0.5,-.085,,
6,6,SYR,Ben Warley,Tennessee State,5,288,4656,1767,1524,204,.413,,.724,16.2,6.1,5.3,0.7,8.0,.083,,
7,7,PHW,Tom Meschery,Saint Mary's,10,778,23459,9904,6698,1331,.441,,.745,30.2,12.7,8.6,1.7,43.6,.089,,
8,8,STL,Cleo Hill,Winston-Salem State,1,58,1050,320,178,114,.346,,.774,18.1,5.5,3.1,2.0,0.3,.015,,
9,9,BOS,Gary Phillips,Houston,5,348,6932,2319,903,665,.370,,.629,19.9,6.7,2.6,1.9,2.3,.016,,
10,10,CHP,Jack Turner,Louisville,1,42,567,200,85,44,.380,,.762,13.5,4.8,2.0,1.0,0.0,-.002,,
11,11,CHP,Jerry Graves,Mississippi State,,,,,,,,,,,,,,,,,
12,12,CHP,York Larese,UNC,1,59,703,302,77,94,.373,,.806,11.9,5.1,1.3,1.6,0.3,.020,,
13,13,CHP,Don Kojis,Marquette,12,814,19241,9948,4555,1112,.446,,.720,23.6,12.2,5.6,1.4,35.8,.089,-0.2,1.1
14,14,CHP,Doug Moe,UNC,,,,,,,,,,,,,,,,,
15,15,NYK,Whitey Martin,St. Bonaventure,1,66,1018,227,158,115,.325,,.673,15.4,3.4,2.4,1.7,-0.5,-.022,,
16,16,CIN,Bob Wiesenhahn,Cincinnati,1,60,326,119,112,23,.317,,.567,5.4,2.0,1.9,0.4,-0.7,-.107,,
17,17,DET,Johnny Egan,Providence,11,712,14448,5521,1294,2102,.429,,.805,20.3,7.8,1.8,3.0,23.7,.079,,
18,18,LAL,Fred Sawyer,Louisville,,,,,,,,,,,,,,,,,
19,19,SYR,Chris Smith,Virginia Tech,,,,,,,,,,,,,,,,,
20,20,PHW,Ted Luckenbill,Houston,2,87,597,196,166,35,.367,,.604,6.9,2.3,1.9,0.4,0.4,.029,,
21,21,STL,Ron Horn,Indiana,2,31,314,77,77,11,.298,,.677,10.1,2.5,2.5,0.4,-0.2,-.037,,
22,22,BOS,Al Butler,Niagara University,4,234,5055,2282,696,530,.439,,.739,21.6,9.8,3.0,2.3,7.0,.067,,
23,23,CHP,Jeff Cohen,William & Mary,,,,,,,,,,,,,,,,,
24,24,NYK,Tony Jackson,St. John's,,,,,,,,,,,,,,,,,
