--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
54,54,BOS,Levern Tart,Bradley,,,,,,,,,,,,,,,,,
55,55,NYK,Em Bryant,DePaul,8,566,11451,3722,1593,1700,.410,,.690,20.2,6.6,2.8,3.0,8.6,.036,,
56,56,DET,Jerry Jackson,Ohio University,,,,,,,,,,,,,,,,,
57,57,BAL,Ron Miller,Loyola Chicago,,,,,,,,,,,,,,,,,
58,58,PHI,Gordon Hatton,Dayton,,,,,,,,,,,,,,,,,
59,59,LAL,Steve Anstett,University of Portland,,,,,,,,,,,,,,,,,
60,60,STL,Maurice McHartley,North Carolina A&T,,,,,,,,,,,,,,,,,
61,61,SFW,Dave Lee,San Francisco,,,,,,,,,,,,,,,,,
62,62,CIN,Vic Rouse,Loyola Chicago,,,,,,,,,,,,,,,,,
63,63,BOS,Rich Falk,Northwestern,,,,,,,,,,,,,,,,,
64,64,NYK,Jim Boutin,Lewis and Clark College,,,,,,,,,,,,,,,,,
65,65,DET,Ralph Telken,Rockhurst University,,,,,,,,,,,,,,,,,
66,66,BAL,Danny Schultz,Tennessee,,,,,,,,,,,,,,,,,
67,67,PHI,Bob Pelkington,Xavier,,,,,,,,,,,,,,,,,
68,68,LAL,Jay Buckley,Duke,,,,,,,,,,,,,,,,,
69,69,STL,Kendall Rhine,Rice University,,,,,,,,,,,,,,,,,
70,70,SFW,Bob Garibaldi,Santa Clara,,,,,,,,,,,,,,,,,
71,71,CIN,Joe Geiger,Xavier,,,,,,,,,,,,,,,,,
72,72,BOS,Jeff Blue,Butler,,,,,,,,,,,,,,,,,
73,73,NYK,Jack Brens,Wisconsin,,,,,,,,,,,,,,,,,
74,74,BAL,Tom Black,South Dakota State,1,71,873,299,259,44,.402,,.648,12.3,4.2,3.6,0.6,0.1,.008,,
75,75,PHI,Jim Brennan,Clemson,,,,,,,,,,,,,,,,,
76,76,STL,Darel Carrier,Western Kentucky,,,,,,,,,,,,,,,,,
77,77,SFW,Camden Wall,California,,,,,,,,,,,,,,,,,
78,78,CIN,Scotty Pierce,West Texas A&M University,,,,,,,,,,,,,,,,,
