--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,Duke,14,779,26879,18433,3173,4364,.474,.394,.888,34.5,23.7,4.1,5.6,91.0,.163,4.5,43.7
2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8
3,3,UTA,Enes Freedom,,11,748,16101,8349,5822,638,.548,.289,.777,21.5,11.2,7.8,0.9,52.8,.157,-0.1,7.6
4,4,CLE,Tristan Thompson,Texas,13,819,20432,6822,6428,800,.520,.238,.592,24.9,8.3,7.8,1.0,49.3,.116,-1.7,1.3
5,5,TOR,Jonas Valančiūnas,,14,1002,24429,12846,9052,1379,.561,.340,.793,24.4,12.8,9.0,1.4,87.6,.172,0.9,18.2
6,6,WAS,Jan Veselý,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4
7,7,SAC,Bismack Biyombo,,15,892,17053,4418,5135,587,.537,.000,.552,19.1,5.0,5.8,0.7,33.3,.094,-2.6,-2.6
8,8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,.411,.352,.807,29.3,14.0,3.1,3.9,11.6,.042,-1.6,1.4
9,9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,.418,.360,.840,33.1,19.3,3.8,5.3,59.8,.116,2.8,29.8
10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4
11,11,GSW,Klay Thompson,Washington State,13,934,29306,17346,3184,2084,.448,.409,.858,31.4,18.6,3.4,2.2,57.6,.094,0.4,17.6
12,12,UTA,Alec Burks,Colorado,14,791,17576,8346,2642,1521,.415,.386,.805,22.2,10.6,3.3,1.9,31.7,.087,-0.5,6.6
13,13,PHO,Markieff Morris,Kansas,14,791,18460,8076,3847,1221,.443,.341,.779,23.3,10.2,4.9,1.5,27.3,.071,-1.5,2.3
14,14,HOU,Marcus Morris,Kansas,13,832,22093,9965,3690,1235,.435,.377,.774,26.6,12.0,4.4,1.5,39.4,.086,-0.8,6.7
15,15,IND,Kawhi Leonard,San Diego State,14,798,25368,16546,5075,2470,.499,.391,.863,31.8,20.7,6.4,3.1,111.9,.212,6.6,55.2
