--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DAL,Cooper Flagg,Duke,1,70,2344,1473,466,316,.468,.295,.827,33.5,21.0,6.7,4.5,3.8,.078,1.4,2.0
2,2,SAS,Dylan Harper,Rutgers University,1,69,1558,813,234,266,.505,.343,.756,22.6,11.8,3.4,3.9,4.2,.130,1.4,1.3
3,3,PHI,VJ Edgecombe,Baylor,1,75,2623,1199,423,315,.438,.354,.818,35.0,16.0,5.6,4.2,4.4,.081,-0.5,1.0
4,4,CHO,Kon Knueppel,Duke,1,81,2551,1498,432,274,.475,.425,.863,31.5,18.5,5.3,3.4,8.0,.151,2.8,3.1
5,5,UTA,Ace Bailey,Rutgers University,1,72,1988,993,302,131,.443,.344,.750,27.6,13.8,4.2,1.8,-0.1,-.001,-4.4,-1.2
6,6,WAS,Tre Johnson,Texas,1,60,1443,733,170,122,.419,.358,.874,24.1,12.2,2.8,2.0,-0.7,-.024,-5.0,-1.1
7,7,NOP,Jeremiah Fears,Oklahoma,1,82,2112,1169,300,279,.434,.330,.789,25.8,14.3,3.7,3.4,0.6,.015,-2.7,-0.4
8,8,BRK,Egor Dёmin,BYU,1,52,1308,536,165,173,.399,.385,.831,25.2,10.3,3.2,3.3,0.9,.032,-1.6,0.1
9,9,TOR,Collin Murray-Boyles,South Carolina,1,57,1246,484,285,106,.579,.340,.657,21.9,8.5,5.0,1.9,4.0,.154,1.0,1.0
10,10,HOU,Khaman Maluach,Duke,1,46,411,139,133,6,.533,.238,.710,8.9,3.0,2.9,0.1,0.8,.099,-3.7,-0.2
11,11,POR,Cedric Coward,Washington State,1,62,1598,843,364,171,.471,.338,.843,25.8,13.6,5.9,2.8,2.5,.076,-0.2,0.7
12,12,CHI,Noa Essengue,,1,2,6,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,-0.1,-.417,-23.7,0.0
13,13,ATL,Derik Queen,Maryland,1,81,2023,948,572,298,.473,.261,.795,25.0,11.7,7.1,3.7,2.7,.063,-0.8,0.6
14,14,SAS,Carter Bryant,Arizona,1,71,818,298,178,47,.408,.335,.714,11.5,4.2,2.5,0.7,1.3,.076,-3.0,-0.2
15,15,OKC,Thomas Sorber,Georgetown,,,,,,,,,,,,,,,,,
16,16,MEM,Yang Hansen,,1,43,300,95,66,22,.310,.119,.824,7.0,2.2,1.5,0.5,-0.5,-.075,-9.5,-0.6
17,17,MIN,Joan Beringer,,1,40,314,156,92,12,.663,,.703,7.9,3.9,2.3,0.3,1.5,.222,0.4,0.2
18,18,WAS,Walter Clayton,Florida,1,69,1410,538,139,279,.384,.307,.901,20.4,7.8,2.0,4.0,0.3,.009,-4.3,-0.8
19,19,BRK,Nolan Traoré,,1,56,1243,499,99,213,.380,.318,.787,22.2,8.9,1.8,3.8,-1.6,-.063,-6.8,-1.5
20,20,MIA,Kasparas Jakučionis,Illinois,1,53,945,328,138,137,.429,.423,.879,17.8,6.2,2.6,2.6,2.3,.114,-0.4,0.4
21,21,UTA,Will Riley,Illinois,1,74,1633,764,212,146,.439,.316,.800,22.1,10.3,2.9,2.0,0.4,.012,-4.5,-1.0
22,22,ATL,Drake Powell,UNC,1,63,1320,408,111,91,.402,.280,.896,21.0,6.5,1.8,1.4,-0.1,-.003,-6.0,-1.3
23,23,IND,Asa Newell,Georgia,1,44,500,227,96,26,.538,.387,.552,11.4,5.2,2.2,0.6,1.2,.113,-1.5,0.1
24,24,OKC,Nique Clifford,Colorado State,1,75,1882,645,282,179,.418,.333,.722,25.1,8.6,3.8,2.4,-0.6,-.014,-4.9,-1.4
25,25,ORL,Jase Richardson,Michigan State,1,54,587,239,63,58,.473,.354,.717,10.9,4.4,1.2,1.1,1.0,.082,-2.5,-0.1
