--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,7,383,11910,5021,2840,2754,.558,.139,.592,31.1,13.1,7.4,7.2,35.4,.143,3.0,15.0
2,2,LAL,Brandon Ingram,Duke,10,572,18920,11311,2996,2414,.469,.366,.792,33.1,19.8,5.2,4.2,31.8,.081,0.2,10.3
3,3,BOS,Jaylen Brown,California,10,674,20908,13474,3700,1953,.478,.358,.739,31.0,20.0,5.5,2.9,47.5,.109,0.7,14.1
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,10,489,11727,3712,1626,1912,.443,.337,.741,24.0,7.6,3.3,3.9,15.7,.064,-1.0,2.8
6,6,NOP,Buddy Hield,Oklahoma,10,765,20999,11122,3052,1846,.433,.395,.856,27.4,14.5,4.0,2.4,28.7,.066,0.2,11.7
7,7,DEN,Jamal Murray,Kentucky,9,611,19448,11528,2348,3044,.459,.390,.874,31.8,18.9,3.8,5.0,47.6,.117,1.4,16.5
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,10,641,14469,5804,4476,1176,.636,.429,.559,22.6,9.1,7.0,1.8,48.5,.161,1.3,11.9
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,10,665,20463,10702,7096,3240,.559,.342,.729,30.8,16.1,10.7,4.9,71.0,.166,3.3,27.6
12,12,UTA,Taurean Prince,Baylor,10,608,15013,5984,2172,1051,.429,.387,.812,24.7,9.8,3.6,1.7,15.5,.050,-2.1,-0.3
