--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Doug Collins,Illinois State,8,415,13945,7427,1339,1368,.501,,.833,33.6,17.9,3.2,3.3,38.0,.131,0.4,8.4
2,2,CLE,Jim Brewer,Minnesota,9,703,15936,4099,4458,1038,.448,,.571,22.7,5.8,6.3,1.5,29.3,.088,0.1,8.6
3,3,BUF,Ernie DiGregorio,Providence,5,312,7859,2997,610,1594,.415,,.902,25.2,9.6,2.0,5.1,2.5,.016,-3.8,-3.6
4,4,SEA,Mike Green,Louisiana Tech,4,245,5410,2062,1329,340,.460,,.707,22.1,8.4,5.4,1.4,10.9,.097,-0.5,2.1
5,5,LAL,Kermit Washington,American University,10,507,12815,4666,4232,695,.526,,.656,25.3,9.2,8.3,1.4,36.0,.135,0.5,8.1
6,6,HOU,Ed Ratleff,Cal State Long Beach,5,338,8433,2813,1363,896,.454,,.803,24.9,8.3,4.0,2.7,13.8,.078,0.5,5.4
7,7,KCO,Ron Behagen,Minnesota,7,388,9131,3977,2712,624,.425,,.754,23.5,10.3,7.0,1.6,13.0,.068,-2.1,-0.2
8,8,PHO,Mike Bantom,Saint Joseph's,9,706,19725,8568,4517,1623,.468,,.692,27.9,12.1,6.4,2.3,34.8,.085,-0.8,5.7
9,9,ATL,Dwight Jones,Houston,10,766,16452,6230,4513,911,.471,,.740,21.5,8.1,5.9,1.2,27.6,.081,-1.6,1.6
10,10,ATL,John Brown,Missouri,7,486,10108,3614,2126,703,.453,,.783,20.8,7.4,4.4,1.4,16.2,.077,-2.1,-0.4
11,11,GSW,Kevin Joyce,South Carolina,,,,,,,,,,,,,,,,,
12,12,CHI,Kevin Kunnert,Iowa,9,555,12104,4602,4031,784,.476,,.682,21.8,8.3,7.3,1.4,22.0,.087,-1.2,2.4
13,13,CAP,Nick Weatherspoon,Illinois,7,453,9680,4086,2232,418,.455,,.713,21.4,9.0,4.9,0.9,15.2,.075,-2.1,-0.3
14,14,NYK,Mel Davis,St. John's,4,190,2572,1008,816,164,.376,,.709,13.5,5.3,4.3,0.9,0.3,.006,-3.8,-1.3
15,15,POR,Barry Parkhill,Virginia,,,,,,,,,,,,,,,,,
16,16,MIL,Swen Nater,UCLA,8,489,13868,5943,5297,954,.537,,.760,28.4,12.2,10.8,2.0,36.9,.128,0.2,7.5
17,17,BOS,Steve Downing,Indiana,2,27,146,64,41,11,.318,,.550,5.4,2.4,1.5,0.4,-0.2,-.060,-6.3,-0.2
18,18,PHI,Raymond Lewis,California State University Los Angeles,,,,,,,,,,,,,,,,,
19,19,CAP,Louie Nelson,Washington,5,224,4947,2113,527,436,.437,,.738,22.1,9.4,2.4,1.9,6.4,.062,-1.7,0.3
